removed_at,corpus_id,pdf_path,controversy_level,normalized_reason_category,screening_reason_category,brief_reason,title,doi
2026-06-11T16:23:31,paper-0022,extraction_papers\paper-0022_a_design_concept_for_data_driven_brewing_sensor_based_system_architecture_and_ml_application.pdf,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Micro-brewery sensor architecture emphasizes brewing sustainability, quality forecasting, and fermentation/process control; equipment maintenance is only a possible use case.",A design concept for data-driven brewing: sensor-based system architecture and ML applications for sustainability in micro-breweries,10.1007/s44163-026-01175-6
2026-06-11T16:23:31,paper-0098,extraction_papers\paper-0098_online_track_anomaly_detection_comparison_of_different_machine_learning_techniques_through_i.pdf,high,civil_geotechnical_infrastructure,environment_natural_system,"Targets railway track defects/anomaly detection, a civil/rail infrastructure condition-monitoring case excluded under the strict criteria.",Online Track Anomaly Detection: Comparison of Different Machine Learning Techniques Through Injection of Synthetic Defects on Experimental Datasets,10.3390/machines14040424
2026-06-11T16:23:31,paper-0440,extraction_papers\paper-0440_an_implicit_explicit_diffusion_model_for_industrial_data_imputation.pdf,high,civil_geotechnical_infrastructure,environment_natural_system,"Industrial data imputation method is motivated by control/fault detection/PdM, but evaluates missing-value reconstruction rather than asset condition.",An Implicit-Explicit Diffusion Model for Industrial Data Imputation,10.3390/app16083826
2026-06-11T16:23:31,paper-0767,extraction_papers\paper-0767_artificial_intelligence_driven_safety_assessment_of_scaffolding_using_lidar_sensing.pdf,high,civil_geotechnical_infrastructure,environment_natural_system,Scaffolding construction safety inspection/PHM is a temporary civil structure context rather than engineered-equipment PdM.,Artificial intelligence-driven safety assessment of scaffolding using LiDAR sensing,10.3389/fbuil.2026.1723491
2026-06-11T16:23:31,paper-1109,extraction_papers\paper-1109_predictive_rehabilitation_of_clean_water_customer_connections_leveraging_machine_learning_al.pdf,high,civil_geotechnical_infrastructure,environment_natural_system,Clean-water service lines are water-distribution infrastructure; strict criteria exclude non-equipment civil infrastructure.,Predictive Rehabilitation of Clean Water Customer Connections Leveraging Machine Learning Algorithms and Failure Time Series Data,10.3390/w18010110
2026-06-11T16:23:31,paper-1157,extraction_papers\paper-1157_condition_monitoring_technology_and_its_testing_for_5g_enabled_high_speed_railway_wireless_c.pdf,high,software_it_cyber,software_it_cyber,"Condition monitoring of a 5G railway communication network; target is telecom service reliability, not physical-asset maintenance.",Condition Monitoring Technology and Its Testing for 5G-Enabled High-Speed Railway Wireless Communication Networks: Guaranteeing the Reliability of Train–Ground Communication,10.3390/machines13121087
2026-06-11T16:23:31,paper-1195,extraction_papers\paper-1195_a_digital_pheromone_based_approach_for_in_control_out_of_control_classification.pdf,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Classifies in-control/out-of-control states in potato-chip frying; this is process QC more than asset maintenance.,A digital pheromone-based approach for in-control/out-of-control classification,10.46298/cm.16690
2026-06-11T16:23:31,paper-1234,extraction_papers\paper-1234_integrating_dynamic_features_into_machine_learning_models_for_predicting_sewer_network_failu.pdf,high,software_it_cyber,software_it_cyber,"Sewer-network pipe failures and blockages are civil water infrastructure, a strict-scope exclusion.",Integrating dynamic features into machine learning models for predicting sewer network failures: a Random Forest approach,10.1080/1573062X.2025.2589081
2026-06-11T16:23:31,paper-1278,extraction_papers\paper-1278_quasi_instantaneous_battery_end_of_discharge_time_prognosis_with_non_stationary_autoregressi.pdf,high,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"End-of-discharge time prognosis is operational battery depletion/SOC forecasting, not degradation, SOH, or RUL maintenance.",Quasi-Instantaneous Battery End-of-Discharge Time Prognosis with Non-Stationary Autoregressive Exogenous Inputs,10.36001/ijphm.2026.v17i1.4704
2026-06-11T16:23:31,paper-1287,extraction_papers\paper-1287_smart_printing_labs_ai_enabled_management_systems.pdf,high,business_social,business_social_finance,"Smart printing lab framework emphasizes workflow, defects, energy and management; the maintenance link is generic.",SMART PRINTING LABS: AI-ENABLED MANAGEMENT SYSTEMS,10.29121/shodhkosh.v6.i3s.2025.6769
2026-06-11T16:23:31,paper-1297,extraction_papers\paper-1297_reducing_waste_and_increasing_yield_in_roll_to_roll_printing_a_case_study_with_global_scalab.pdf,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Roll-to-roll printing waste/yield DMAIC case; condition-based maintenance is only one intervention, not primary PdM.",Reducing waste and increasing yield in roll-to-roll printing: a case study with global scalability,10.1007/s00170-025-16931-8
2026-06-11T16:23:31,paper-1332,extraction_papers\paper-1332_improved_nicrnisi_thin_film_thermocouple_manufacturing_process_enables_accurate_temperature.pdf,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Thermocouple fabrication/calibration for UAV temperature measurement; no fault diagnosis, prognosis, or maintenance decision.",Improved nicrnisi thin-film thermocouple manufacturing process enables accurate temperature measurement of UAV engines,10.70917/ijcisim-2026-1813
2026-06-11T16:23:31,paper-1457,extraction_papers\paper-1457_defecttwin_when_llm_meets_digital_twin_for_railway_defect_inspection.pdf,high,civil_geotechnical_infrastructure,environment_natural_system,Railway defect inspection with LLM/DT likely concerns rail infrastructure/visual defects rather than vehicles or equipment.,DefectTwin: When LLM Meets Digital Twin for Railway Defect Inspection,10.1109/ACCESS.2026.3681818
2026-06-11T16:23:31,paper-1474,extraction_papers\paper-1474_neurofusionnet_adaptive_deep_learning_for_intelligent_real_time_industrial_iot_decisions.pdf,high,weak_maintenance_link,other_nonmaintenance,Industrial IoT decisions/anomaly detection on environmental telemetry; asset or failure target is unclear.,NeuroFusionNet Adaptive Deep Learning for Intelligent Real-Time Industrial IoT Decisions,10.14569/IJACSA.2025.0161214
2026-06-11T16:23:31,paper-1549,extraction_papers\paper-1549_performance_analysis_of_rest_api_in_a_real_time_iot_based_vehicle_monitoring_system.pdf,high,software_it_cyber,software_it_cyber,Primary contribution is REST API performance/security for a vehicle monitoring system; PdM is framed as a future use.,Performance analysis of REST API in a real-time IoT-based vehicle monitoring system,10.11591/ijres.v14.i3.pp766-784
2026-06-11T16:23:31,paper-1620,extraction_papers\paper-1620_advancing_robotic_systems_with_distributed_multi_agent_digital_twins_a_scalable_and_adaptive.pdf,high,generic_method_no_asset_case,generic_nonmaintenance_ai_control,Robotics digital-twin framework optimizes navigation/collaboration; predictive maintenance is only a generic claimed capability.,Advancing Robotic Systems with Distributed Multi-Agent Digital Twins: A Scalable and Adaptive Framework,10.1007/s42979-025-04525-w
2026-06-11T16:23:31,paper-1849,extraction_papers\paper-1849_acoustic_fingerprint_in_vehicle_manufacturing_as_a_basis_for_future_applications.pdf,high,weak_maintenance_link,other_nonmaintenance,Acoustic fingerprint/database paper presents failure prediction and predictive service as future applications rather than demonstrated PdM.,Acoustic fingerprint in vehicle manufacturing as a basis for future applications,10.1556/606.2025.01260
2026-06-11T16:23:31,paper-1899,extraction_papers\paper-1899_multidimensional_maintenance_maturity_modeling_fuzzy_predictive_model_and_case_study_on_ensu.pdf,high,business_social,business_social_finance,"Maintenance maturity and organizational continuity model lacks asset condition monitoring, diagnosis, or prognostics.",Multidimensional Maintenance Maturity Modeling: Fuzzy Predictive Model and Case Study on Ensuring Operational Continuity Under Uncertainty,10.3390/app152212236
2026-06-11T16:23:31,paper-1986,extraction_papers\paper-1986_addressing_aircraft_maintenance_delays_using_a_dmaic_fmea_framework_insights_from_a_commerci.pdf,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Aircraft maintenance-delay DMAIC/FMEA case is mainly process, inventory, and quality improvement rather than predictive asset maintenance.",Addressing Aircraft Maintenance Delays Using a DMAIC-FMEA Framework: Insights from a Commercial Aviation Case Study,10.3390/app152212164
2026-06-11T16:23:31,paper-2074,extraction_papers\paper-2074_harnessing_machine_learning_for_data_transformation_in_industry_5_0_production_lines.pdf,high,generic_method_no_asset_case,generic_nonmaintenance_ai_control,"Holistic Industry 5.0 data/interface article; predictive maintenance is asserted without a concrete asset fault, degradation, or maintenance case.",Harnessing Machine Learning for Data Transformation in Industry 5.0 Production Lines,10.48084/etasr.11318
2026-06-11T16:23:31,paper-2231,extraction_papers\paper-2231_early_leak_and_burst_detection_in_water_pipeline_networks_using_machine_learning_approaches.pdf,high,civil_geotechnical_infrastructure,environment_natural_system,"Water distribution leak/burst detection targets utility infrastructure and conservation, not electromechanical equipment maintenance.",Early Leak and Burst Detection in Water Pipeline Networks Using Machine Learning Approaches,10.3390/w17142164
2026-06-11T16:23:31,paper-2275,extraction_papers\paper-2275_development_and_design_of_a_4000_amp_dc_rectifier_for_industrial_metal_scrapping.pdf,high,weak_maintenance_link,other_nonmaintenance,"High-current rectifier design for metal recycling; predictive maintenance appears as a built-in feature, not the research focus.",Development and Design Of a 4000 Amp DC Rectifier for Industrial Metal Scrapping,10.14445/23488379/IJEEE-V12I7P115
2026-06-11T16:23:31,paper-2639,extraction_papers\paper-2639_exploring_information_needed_in_maintenance_backlog_related_decision_making_in_the_finnish_r.pdf,high,software_it_cyber,software_it_cyber,Road-network maintenance backlog decision study; civil road infrastructure and budgeting rather than predictive maintenance of equipment.,Exploring information needed in maintenance backlog-related decision-making in the Finnish road network,10.1108/BEPAM-05-2024-0131
2026-06-11T16:23:31,paper-2755,extraction_papers\paper-2755_predicting_water_distribution_pipe_failures_using_machine_learning_and_cross_infrastructure.pdf,high,civil_geotechnical_infrastructure,environment_natural_system,Urban water distribution pipe failure prediction using cross-infrastructure data; civil utility infrastructure outside strict equipment PdM.,PREDICTING WATER DISTRIBUTION PIPE FAILURES USING MACHINE LEARNING AND CROSS-INFRASTRUCTURE DATA; [NAPOVED OKVAR VODOVODNIH CEVI S STROJNIM UČENJEM IN PODATKI O SOSEDNJI INFRASTRUKTURI],10.15292/acta.hydro.2025.05
