corpus_id,screening_decision,screening_reason_category,screening_confidence,screening_notes,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
paper-0001,included,physical_asset_maintenance,high,PV inverter fault prediction,Kim J.; Kim T.-Y.; Yun H.-S.; Lee S.-J.,"Kim, Jisung (57219331469); Kim, Tae-Yun (58644333800); Yun, Hong-Sic (54928067200); Lee, Seung-Jun (57221816861)",57219331469; 58644333800; 54928067200; 57221816861,Decision-Aware Multi-Horizon Fault Prediction for Photovoltaic Inverters: Analysis of Threshold-Based Alarm Policies Under Operational Constraints,2026,Sensors,26,8,2463,,,0,10.3390/s26082463,https://www.scopus.com/pages/publications/105036873345?origin=resultslist,"Photovoltaic (PV) inverter fault prediction is critical for maintaining system reliability and minimizing energy loss. While recent studies have improved predictive accuracy using data-driven approaches, most evaluations remain focused on offline settings and do not address how probabilistic predictions are translated into operational decisions. This study investigates multi-horizon fault prediction for PV inverters under real-world constraints, with a particular focus on decision-level behavior. A modular prediction framework is implemented by combining transformer-based TimeXer embeddings with probabilistic classification using XGBoost. The model operates on sliding-window sensor data and produces fault probabilities across multiple future horizons. To support operational use, these probabilities are aggregated into a single risk score, and threshold-based alarm policies are evaluated through a systematic threshold sweep. The results show that predictive performance varies across horizons, with usable lead-time information concentrated in near-term predictions. Under severe class imbalance, imbalance-aware training significantly improves detection performance in precision–recall space, but performance remains sensitive to temporal variation. Most importantly, the threshold-sweep analysis reveals a structural trade-off between detection performance and alarm burden, where achieving moderate early-warning capability requires substantially increased alarm rates. These findings indicate that improving predictive accuracy alone is insufficient for practical deployment. Instead, decision-level behavior must be explicitly considered when designing predictive maintenance systems under operational constraints. © 2026 by the authors.",alarm policy; fault prediction; multi-horizon forecasting; photovoltaic inverter; predictive maintenance; time-series transformer,Alarm systems; Behavioral research; Electric inverters; Electric transformers; Energy dissipation; Forecasting; Predictive maintenance; Alarm policy; Fault prediction; Multi-horizon forecasting; Operational constraints; Photovoltaic inverters; Predictive accuracy; Predictive maintenance; Series transformer; Time-series transformer; Times series; article; controlled study; fatigue; forecasting; photovoltaics; prediction; probability; reliability; sensor; time series analysis; Economic and social effects,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105036873345
paper-0003,included,physical_asset_maintenance,high,RUL estimation for industrial systems,Rafay Bin Shah S.; Schwung A.,"Rafay Bin Shah, Sayed (60615695600); Schwung, Andreas (26536568000)",60615695600; 26536568000,GRADA: Gradient regularized adversarial domain adaptation for remaining useful lifetime estimation,2026,Expert Systems with Applications,325,,132600,,,0,10.1016/j.eswa.2026.132600,https://www.scopus.com/pages/publications/105037866225?origin=resultslist,"In industrial applications, variations in system configurations, degradation modes, and the lack of labeled, run-to-failure data contribute to poor generalization by a domain-specific network on data from a different domain, although for a similar task. Adversarial domain adaptation attempts to mitigate this by introducing a domain classifier that discriminates between the latent features of source and target domain encoders, thereby encouraging the latter to learn domain-invariant representations. However, the discriminator’s susceptibility to oscillatory and exploding gradients negates the convergence of the target network. We present a novel Gradient Regularized Adversarial Domain Adaptation (GRADA) framework that utilizes a parameter-aware Adaptive Gradient Shrinkage (AGS) operator to regularize the discriminator. The discriminator parameters and gradients are used to develop a criterion matrix and a subsequent adaptive threshold, through which soft-thresholding is performed to suppress noisy gradients and preserve informative ones along their actual descent paths. Theoretical proofs validate the non-explosive and stabilizing properties of the AGS operator. We also incorporate AGS into an existing contrastive adversarial framework to test its use as a regularizer irrespective of the underlying framework. Our experiments focus on the remaining useful life (RUL) estimation task using the C-MAPSS dataset, as it provides suitable cross-domain scenarios with variable operational settings and fault modes. © 2026 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/",Adversarial; C-MAPSS dataset; Domain adaptation; Gradient regularization; Remaining useful lifetime (RUL); Unsupervised,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105037866225
paper-0004,included,physical_asset_maintenance,high,Oil and gas PHM health index,Alfahdi K.; Gultekin H.; Summad E.,"Alfahdi, Khalid (57988175600); Gultekin, Hakan (8107426400); Summad, Emad (57194163539)",57988175600; 8107426400; 57194163539,A novel global health index framework for asset prognostics and health management in the oil and gas industry,2026,Scientific Reports,16,1,3336,,,0,10.1038/s41598-025-33288-w,https://www.scopus.com/pages/publications/105028448498?origin=resultslist,"The oil and gas industry must remain efficient and flexible to navigate shifting market uncertainties in an era of increasing global energy demand. Ensuring the reliability and availability of oil and gas production systems is vital for meeting supply requirements at optimal cost and sustainability. Comprehensive engineering Prognostics and Health Management (PHM) approaches can significantly support these objectives. This paper introduces a novel Global Health Index (GHI) for monitoring and benchmarking production system health, serving as a foundation for big data to advance artificial intelligence and machine learning applications. The proposed GHI captures system-wide health requirements by integrating descriptive, diagnostic, predictive, and prescriptive analytics within the PHM framework. A hierarchical structure organizes sub-indices into units, systems, pillars, elements, and parameters, enabling an explicit decomposition of complex production systems. Six adaptable indicators quantify health and guide proactive management strategies at the parameter level. This comprehensive yet practical benchmark indicator provides real-time health monitoring and data-driven decision-making, enhancing system availability and efficiency. By identifying emerging issues and guiding timely interventions, the GHI improves reliability and supports sustainable growth in the oil and gas sector. © The Author(s) 2025.",Health index; Oil and gas; Production system; Prognostics and health management; Reliability,biological marker; oil; article; controlled study; gas; global health; health care management; human; oil industry; reliability,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105028448498
paper-0005,included,physical_asset_maintenance,high,CNC tool wear condition monitoring,Nazmy Hailmy M.A.; Oktaviadri M.; Yusoff A.R.,"Nazmy Hailmy, Muhammad Afnan (60512572400); Oktaviadri, Muchamad (60320693800); Yusoff, Ahmad Razlan (56986832400)",60512572400; 60320693800; 56986832400,Material-Adaptive Kurtosis Thresholding for Real-Time Multi-Parameter Condition Monitoring in CNC Milling,2026,International Journal of Automotive and Mechanical Engineering,23,1,,13237,13246,0,10.15282/ijame.23.1.2026.6.1004,https://www.scopus.com/pages/publications/105033031298?origin=resultslist,"Tool wear remains a major contributor to dimensional defects and unplanned downtime in CNC machining. Most existing monitoring strategies employ fixed vibration thresholds, which are unable to accommodate the distinct dynamic responses associated with different workpiece materials. Thresholds calibrated for hard materials such as cast iron often fail to detect early wear, whereas the same settings applied to softer polymers lead to excessive false alarms. This limitation highlights the need for material-dependent condition assessment rather than universal thresholding. This study proposes a material-adaptive monitoring framework based on kurtosis thresholds that automatically adjust when the machined material changes. Experimental validation was conducted on three materials representing a wide hardness range for cast iron of 220 to 260, aluminum of 95 to 100, and PVC of 80 to 85. A full factorial design comprising 81 milling trials of 27 per material was performed using spindle speeds of 1,500 to 3,500 rev/min, feed rates of 125 to 250 mm/min, and axial depths of cut between 0.2 and 0.7 mm. Vibration signals were acquired using accelerometers mounted on both the spindle and workpiece, and material-specific kurtosis thresholds were derived by correlating statistical features with measured tool wear. The current method achieved classification accuracies of 95.2% for cast iron, 97.8% for aluminum, and 96.7% for PVC, representing improvements of 6 to 11% over conventional fixed-threshold approaches. The monitoring system was further implemented on an IoT platform to enable real-time remote diagnostics and automated alerts. Pilot deployment indicated a 25 to 30% reduction in maintenance costs compared with existing practice. These results demonstrate that material-adaptive thresholding substantially improves the reliability and practicality of vibration-based tool condition monitoring in CNC milling environments. © 2026 The Author(s). Published by Universiti Malaysia Pahang Al-Sultan Abdullah Press. This is an open access article under the CC BY-NC 4.0 International license",Advanced manufacturing; Condition monitoring; Statistical analysis; Tool wear detection; Vibration measurement,Cutting tools; Higher order statistics; Maintenance; Vibration analysis; Vibration measurement; Wear of materials; Advanced manufacturing; CNC-milling; Condition; Multiparameters; Parameter conditions; Real- time; Thresholding; Tool wear; Tool wear detection; Wear detection; Condition monitoring,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105033031298
paper-0006,included,physical_asset_maintenance,high,Spline wear degradation monitoring,Yu H.; Yan W.; Xie J.; Cao Y.; Zhou W.; Wan Q.; Zhu R.; Chen W.,"Yu, Hu (57463128900); Yan, Weiping (59233744700); Xie, Junling (60030995400); Cao, Yudong (57222741810); Zhou, Wenguang (57226795521); Wan, Qizhi (58971675700); Zhu, Rupeng (57189656351); Chen, Weifang (57137413900)",57463128900; 59233744700; 60030995400; 57222741810; 57226795521; 58971675700; 57189656351; 57137413900,A Riemannian-Hyperbolic Space-Based Algorithm for multisensor data fusion in spline degradation monitoring,2026,Mechanical Systems and Signal Processing,253,,114321,,,0,10.1016/j.ymssp.2026.114321,https://www.scopus.com/pages/publications/105036666597?origin=resultslist,"Spline wear threatens the reliability of mechanical transmission systems, but conventional monitoring fails to reconcile heterogeneous data, capture dynamic degradation, or delineate hierarchical states. Here we present a geometric deep learning framework for multisensor fusion: vibration (macroscopic dynamics) and acoustic emission (AE, microscopic damage) signals are encoded as symmetric positive definite (SPD) matrices to form a Riemannian manifold. Log-Euclidean metrics and Riemannian means mitigate cross-modal misalignment, while an attention-based graph neural network (GATConv) fuses features to learn spatiotemporal dependencies. Fused representations are embedded into Poincaré ball space—leveraging hyperbolic geometry’s exponential volume growth to enhance hierarchical wear separability—with unsupervised clustering and temporal mapping enabling time-resolved monitoring. On industrial datasets (slewing bearing, spline wear), the framework consistently outperforms mainstream methods by achieving effective cross-modal alignment, superior clustering quality, and accurate full-cycle wear tracking. This work establishes a geometric deep learning paradigm for mechanical health monitoring, advancing predictive maintenance in critical engineering systems. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Graph neural network (GNN); Hyperbolic geometry; Multimodal fusion; Riemannian manifold; Spline wear,Alignment; Bearings (machine parts); Data fusion; Geometry; Graph neural networks; Hierarchical clustering; Interpolation; Predictive maintenance; Splines; Vibrations (mechanical); Wear of materials; Cross-modal; Graph neural network; Graph neural networks; Hyperbolic geometry; Hyperbolic spaces; Multi sensors data fusion; Multi-modal fusion; Riemannian manifold; Space-based; Spline wear; Data mining,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-105036666597
paper-0007,included,physical_asset_maintenance,high,Ship shafting RUL prediction,Dong P.; Han G.; Yuan L.,"Dong, Peng (57205575553); Han, Ge (60149258600); Yuan, Luwen (59475977700)",57205575553; 60149258600; 59475977700,Predicting the Remaining Useful Life of Ship Shafting Using Bayesian Networks with Asymmetric Probability Distributions,2026,Symmetry,18,3,443,,,0,10.3390/sym18030443,https://www.scopus.com/pages/publications/105034198499?origin=resultslist,"Accurately predicting the remaining useful life (RUL) of ship shafting is crucial for ensuring navigation safety and optimizing operation and maintenance. Traditional Bayesian Network (BN) methods are usually based on the assumption of symmetric distributions. They struggle to effectively characterize common statistical properties such as asymmetry and heavy tails during the shafting degradation process, leading to biases in prediction results. To address this issue, this study proposes an Asymmetric Distribution Bayesian Network (ADBN) method. The method consists of three key components. Firstly, each node selects the optimal asymmetric distribution form based on the Bayesian Information Criterion (BIC) to better fit data characteristics. Secondly, a Generalized Linear Model (GLM) is used to associate distribution parameters (e.g., location, scale, shape) with parent node states, enabling the conditional distribution to adaptively evolve with the system degradation process. Finally, to tackle the complex inference problem under asymmetric distributions, an approximate algorithm based on stochastic gradient variational inference is designed to ensure prediction timeliness. Experimental results show that the ADBN method outperforms traditional Gaussian networks in terms of Mean Absolute Error in the early, middle, and late stages of RUL prediction, and can provide more accurate prediction intervals. This research offers a probabilistic approach that better aligns with actual statistical properties for modeling ship shafting degradation. © 2026 by the authors.",asymmetric distribution; Bayesian network; RUL prediction; variational inference,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105034198499
paper-0009,included,physical_asset_maintenance,high,Bearing defect prognostics,Talan A.; Schwarcz O.; Bublil T.; Shoham S.; Dolev E.; Maimon Y.; Bortman J.,"Talan, Ariel (59726154700); Schwarcz, Ori (60597523300); Bublil, Tal (59735127000); Shoham, Shahar (60171854400); Dolev, Eli (60596973000); Maimon, Yoav (60597434200); Bortman, Jacob (56319156700)",59726154700; 60597523300; 59735127000; 60171854400; 60596973000; 60597434200; 56319156700,Dynamics-based condition indicators for defective rolling elements in ball bearings: a multi-sensorial endurance test and simulation analysis,2026,Engineering Failure Analysis,193,,110879,,,0,10.1016/j.engfailanal.2026.110879,https://www.scopus.com/pages/publications/105036645531?origin=resultslist,"Due to their orientation-dependent dynamics and the scarcity of long-term experimental data, rolling element (RE) defects pose significant challenges in prognostics. To investigate RE defect degradation, this study combines extended endurance testing of an angular contact bearing under combined radial and axial loading with high-fidelity multibody dynamic simulation. Multi-modal measurements using acceleration, strain, and oil debris monitoring revealed the evolution of a step-like mass loss and a critical knee point marking the onset of severe degradation. A previously unreported relationship between the fundamental train frequency (FTF) and an alternating double ball spin frequency (2xBSF) component was identified. This relationship was physically explained using a validated ADAMS model, which attributed the behavior to orientation-dependent load-carrying variations of the defective RE. Based on these findings, we propose new physics-informed condition indicators that combine FTF growth and 2xBSF decay as precursors to the knee point, thereby advancing the understanding of RE defect dynamics and supporting future remaining useful life prediction. The main contributions of this work are threefold: (i) it provides rare long-term experimental evidence of RE fatigue under combined radial and axial loading, a configuration that is highly relevant to industrial applications, yet has seldom been studied; (ii) it introduces multi-indicator condition metrics that act as precursors to the knee point and support future remaining useful life prediction; and (iii) it establishes the physical mechanisms underlying these indicators through validation utilizing a high-fidelity multibody dynamic model. Collectively, these results advance the fundamental understanding of RE defect dynamics and contribute to a robust, physics-informed strategy for predictive maintenance of RE bearings. © 2026 The Author(s)",,Ball bearings; Dynamics; Modal analysis; Predictive maintenance; Axial loading; Condition indicators; Defect dynamics; Fundamental train frequencies; High-fidelity; Knee points; Orientation dependent; Radial loadings; Remaining useful life predictions; Rolling elements; Axial loads,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105036645531
paper-0012,included,physical_asset_maintenance,high,Railway suspension predictive maintenance,Sresakoolchai J.; Puttasrijaru C.,"Sresakoolchai, Jessada (57214932308); Puttasrijaru, Chavarit (60580126000)",57214932308; 60580126000,Predictive maintenance of railway suspension systems using multi-level time–frequency vibration analysis,2026,Discover Applied Sciences,8,4,471,,,0,10.1007/s42452-026-08531-2,https://www.scopus.com/pages/publications/105035715092?origin=resultslist,"Railway suspension systems are critical for ride quality, operational safety, and track maintenance. Degradation in primary suspension components, such as reduced stiffness or damping, can cause excessive vibrations, higher track wear, and passenger discomfort. Traditional maintenance strategies, including time-based or corrective approaches, often fail to detect early-stage deterioration and can lead to unnecessary replacements or service disruptions. This study proposes a predictive maintenance framework leveraging multi-level, multi-axis vibration data and machine learning models to classify suspension degradation on curved tracks. Acceleration signals are collected at wheelset, bogie, and car body levels along longitudinal, lateral, and vertical axes. Time-frequency features are extracted using Fast Fourier Transform (FFT), while zero-padding standardizes raw time-domain signals. Five deep learning architectures consisting of CNN, LSTM, GRU, CNN-LSTM, and CNN- GRU are trained and evaluated for classification accuracy, convergence speed, and computational efficiency. Results indicate that CNN with zero-padded time-domain input achieves the highest accuracy (0.98) and fastest convergence, outperforming recurrent and hybrid models. Sensitivity analysis highlights that Z-axis vibrations from bogie and car body provide the most informative data. The proposed approach enables early fault detection, reduces sensor requirements, and supports real-time condition monitoring. © The Author(s) 2026.",Condition monitoring; Machine learning; Predictive maintenance; Railway suspension deterioration; Time–frequency analysis,Automobile bodies; Automobile suspensions; Bogies (railroad rolling stock); Computational efficiency; Deep learning; Deterioration; Fast Fourier transforms; Fault detection; Learning systems; Passenger cars; Predictive analytics; Predictive maintenance; Railroad tracks; Railroad transportation; Railroads; Time domain analysis; Carbody; Condition; Frequency vibration; Machine-learning; Multilevels; Predictive maintenance; Railway suspension deterioration; Suspension system; Time frequency; Time-frequency Analysis; Condition monitoring; Vibration analysis,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105035715092
paper-0015,included,physical_asset_maintenance,high,Naval steel corrosion monitoring,Vourna P.; Falara P.P.; Ktena A.; Hristoforou E.V.; Papadopoulos N.D.,"Vourna, Polyxeni (54411561300); Falara, Pinelopi P. (57222538954); Ktena, Aphrodite (6603341259); Hristoforou, Evangelos V. (7005554652); Papadopoulos, Nikolaos D. (15731702000)",54411561300; 57222538954; 6603341259; 7005554652; 15731702000,Correlating Fouling Corrosion in Naval Steels with Magnetic Barkhausen Noise Under Real Marine Conditions,2026,Metals,16,4,402,,,0,10.3390/met16040402,https://www.scopus.com/pages/publications/105036843816?origin=resultslist,"The correlation between fouling-driven corrosion and magnetic Barkhausen noise (MBN) in AH36 naval steel was investigated under real Mediterranean seawater conditions over a 12-month immersion period. A custom-designed MBN analyzer was used to monitor four MBN parameters at monthly intervals: RMS amplitude (MBNRMS), peak amplitude (MBNpeak), peak field position (MBNpeak pos.), and full width at half maximum (MBNFWHM). Complementary characterization included pit morphology analysis, X-ray diffraction (XRD) of corrosion products, and quantitative biofouling community profiling. Three distinct MBN evolution regimes were identified, corresponding to active pitting (T0–T3), transitional oxide formation (T3–T6), and mature corrosion equilibrium (T6–T12). Over the full exposure period, MBNRMS decreased by 50.4% and MBNpeak pos. increased by 83.3%, consistent with domain wall pinning at pit stress concentrations and electromagnetic shielding by paramagnetic corrosion product layers (γ-FeOOH, β-FeOOH, α-FeOOH). Pearson correlation analysis revealed near-unity relationships between MBNRMS and maximum pit depth (r = −0.982, p < 0.01), supporting its potential use as a quantitative non-destructive indicator of corrosion severity under comparable exposure conditions. Biofouling, particularly sulfate-reducing bacteria (SRB)-dominated communities and biogenic iron sulfides (mackinawite, greigite), was identified as a statistically significant secondary correlate of MBN signal intensity (r = −0.944 vs. SRB fraction). A composite diagnostic threshold of (MBNRMS × MBNpeak)/MBNFWHM ≈ 0.015 effectively discriminated active pitting from passive rusting. These findings provide a physically grounded framework for multiparametric MBN analysis as a non-destructive condition monitoring tool, with the caveat that the reported correlations are descriptive and require independent validation before deployment in regulatory inspection protocols. © 2026 by the authors.",AH36 naval steel; biofouling; corrosion monitoring; domain wall pinning; magnetic Barkhausen noise; marine corrosion; Mediterranean seawater; microbiologically influenced corrosion; non-destructive testing; XRD,Condition monitoring; Correlation methods; Corrosive effects; Electromagnetic shielding; Full width at half maximum; Microbial corrosion; Nondestructive examination; Pitting; Seawater corrosion; Steel corrosion; Ah36 naval steel; Corrosion-monitoring; Domain-wall pinning; Magnetic Barkhausen-noise; Marine corrosion; Mediterranean seawater; Microbiologically influenced corrosions; Naval steels; Non destructive testing; X- ray diffractions; Biofouling,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105036843816
paper-0016,included,physical_asset_maintenance,high,Bearing health and RUL prediction,Chen J.; Zhang W.; Zhang X.; Yan X.,"Chen, Jiayue (60613908100); Zhang, Wan (56693280100); Zhang, Xiaogang (57194650392); Yan, Xiaoan (56482544600)",60613908100; 56693280100; 57194650392; 56482544600,Bearing health status assessment based on unsupervised clustering and dual-prediction model,2026,Measurement Science and Technology,37,16,,,,0,10.1088/1361-6501/ae599b,https://www.scopus.com/pages/publications/105037753303?origin=resultslist,"Bearings are essential components in mechanical systems and are vital across various industrial sectors. Evaluating their health is critical for ensuring equipment reliability and developing effective maintenance strategies. This paper studies a method of health status assessment using unsupervised clustering and a dual-prediction model. Specifically, the health status assessment includes the determination of the degradation starting (DS) point and the remaining useful life (RUL) prediction. First, the autoencoder (AE) is used to extract multi-dimensional features, and incremental slow feature analysis is combined to capture the slow feature trend of the performance degradation process. Then, K-Means clustering is used to perform unsupervised anomaly detection on the slow features to accurately identify the DS point. Then, variational mode decomposition is used to decompose the features extracted by AE into low-frequency trend terms and high-frequency oscillation terms. Subsequently, the obtained slow features and low-frequency trend terms are input into the ARIMA predictor to capture long-term linear changes; the high-frequency oscillation terms are passed through a bidirectional long short-term memory network, and finally the two predictors are fused to predict the RUL. Finally, the effectiveness and generalization of the proposed method were validated using the IEEE PHM 2012 and ABLT-1. A datasets, and compared with alternative models. The results show that the proposed method has a smaller prediction error. © 2026 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved. This article is available under the terms of the https://publishingsupport.iopscience.iop.org/iop-standard/v1.",health condition assessment; incremental slow feature analysis; K-means clustering; rolling bearings; RUL prediction,Anomaly detection; Bearings (machine parts); Data mining; K-means clustering; Learning systems; Prediction models; Variational mode decomposition; Condition assessments; Health condition; Health condition assessment; Health status; Incremental slow feature analysis; K-means++ clustering; Prediction modelling; Remaining useful life predictions; Rolling bearings; Unsupervised clustering; Forecasting,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105037753303
