corpus_id,screening_decision,screening_reason_category,screening_confidence,screening_notes,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
paper-0001,included,physical_asset_maintenance,high,PV inverter fault prediction,Kim J.; Kim T.-Y.; Yun H.-S.; Lee S.-J.,"Kim, Jisung (57219331469); Kim, Tae-Yun (58644333800); Yun, Hong-Sic (54928067200); Lee, Seung-Jun (57221816861)",57219331469; 58644333800; 54928067200; 57221816861,Decision-Aware Multi-Horizon Fault Prediction for Photovoltaic Inverters: Analysis of Threshold-Based Alarm Policies Under Operational Constraints,2026,Sensors,26,8,2463,,,0,10.3390/s26082463,https://www.scopus.com/pages/publications/105036873345?origin=resultslist,"Photovoltaic (PV) inverter fault prediction is critical for maintaining system reliability and minimizing energy loss. While recent studies have improved predictive accuracy using data-driven approaches, most evaluations remain focused on offline settings and do not address how probabilistic predictions are translated into operational decisions. This study investigates multi-horizon fault prediction for PV inverters under real-world constraints, with a particular focus on decision-level behavior. A modular prediction framework is implemented by combining transformer-based TimeXer embeddings with probabilistic classification using XGBoost. The model operates on sliding-window sensor data and produces fault probabilities across multiple future horizons. To support operational use, these probabilities are aggregated into a single risk score, and threshold-based alarm policies are evaluated through a systematic threshold sweep. The results show that predictive performance varies across horizons, with usable lead-time information concentrated in near-term predictions. Under severe class imbalance, imbalance-aware training significantly improves detection performance in precision–recall space, but performance remains sensitive to temporal variation. Most importantly, the threshold-sweep analysis reveals a structural trade-off between detection performance and alarm burden, where achieving moderate early-warning capability requires substantially increased alarm rates. These findings indicate that improving predictive accuracy alone is insufficient for practical deployment. Instead, decision-level behavior must be explicitly considered when designing predictive maintenance systems under operational constraints. © 2026 by the authors.",alarm policy; fault prediction; multi-horizon forecasting; photovoltaic inverter; predictive maintenance; time-series transformer,Alarm systems; Behavioral research; Electric inverters; Electric transformers; Energy dissipation; Forecasting; Predictive maintenance; Alarm policy; Fault prediction; Multi-horizon forecasting; Operational constraints; Photovoltaic inverters; Predictive accuracy; Predictive maintenance; Series transformer; Time-series transformer; Times series; article; controlled study; fatigue; forecasting; photovoltaics; prediction; probability; reliability; sensor; time series analysis; Economic and social effects,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105036873345
paper-0002,excluded,generic_nonmaintenance_ai_control,high,controversial scan: Focuses on manufacturing quality-control ensemble fusion; asset degradation or maintenance decision is only a keyword-level linkage.,Ferraro A.; Galli A.; Gallo M.; La Gatta V.; Postiglione M.; Moscato V.,"Ferraro, Antonino (57216580951); Galli, Antonio (57210585022); Gallo, Mosè (56251053400); La Gatta, Valerio (57219926632); Postiglione, Marco (57219928964); Moscato, Vincenzo (8300789300)",57216580951; 57210585022; 56251053400; 57219926632; 57219928964; 8300789300,ExpLusion: Explanation-driven Late Fusion for enhanced production process monitoring,2026,Computers and Industrial Engineering,217,,112101,,,0,10.1016/j.cie.2026.112101,https://www.scopus.com/pages/publications/105038043185?origin=resultslist,"This study addresses limitations in current ensemble model approaches for AI-driven manufacturing by proposing an explanation-driven framework to enhance quality control systems. Design/methodology/approach: We introduce ExpLusion (Explanation-driven Late Fusion), a novel approach that integrates explanation-based late fusion strategies. Unlike traditional ensembles that combine model outputs based solely on performance metrics or learned weights, ExpLusion uses the similarity of local explanations (e.g., SHAP vectors) to select which models to aggregate for each instance. This explanation-driven selection ensures that only models exhibiting coherent reasoning patterns contribute to the final prediction, filtering out predictions based on noise or spurious correlations. Findings: ExpLusion was evaluated across multiple datasets representative of different industrial scenarios, including the SECOM and Bosch production line datasets. In particular, on the Bosch dataset, ExpLusion achieves an MCC of 0.521, outperforming all individual baseline models as well as the traditional late fusion approach (0.504 MCC). At the same time, it maintains a balanced predictive performance with precision values of 0.685 (negative) and 0.881 (positive), and recall values of 0.925 (negative) and 0.572 (positive). These results highlight the effectiveness of the proposed explanation-driven ensemble strategy for quality control in complex manufacturing processes. Research Limitations: Future studies could explore ExpLusion's scalability and adaptability in varied manufacturing contexts. Additionally, the framework's dependence on explanation quality suggests further investigation is required to ensure robustness in diverse operational scenarios. Practical Implications: By implementing intelligent fusion strategies that consider model-specific insights, manufacturers can achieve more consistent and reliable production outcomes, improving quality control efficiency. Originality/Value: This research introduces a novel explanation-driven fusion framework for manufacturing quality control that uses local interpretability consensus as a model selection criterion. Rather than relying on performance-based weights or meta-learned combinations, ExpLusion prioritizes agreement in reasoning patterns, enhancing both reliability and interpretability in industrial monitoring contexts. © 2026 Elsevier Ltd",Artificial intelligence in manufacturing; Data-driven artificial intelligence; Manufacturing industry; Predictive maintenance; Proactive failure prevention; Quality control,Predictive maintenance; Process control; Artificial intelligence in manufacturing; Data driven; Data-driven artificial intelligence; Failure prevention; Fusion strategies; Late fusion; Manufacturing industries; Predictive maintenance; Proactive failure prevention; Reasoning patterns; Industrial research,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105038043185
paper-0003,included,physical_asset_maintenance,high,RUL estimation for industrial systems,Rafay Bin Shah S.; Schwung A.,"Rafay Bin Shah, Sayed (60615695600); Schwung, Andreas (26536568000)",60615695600; 26536568000,GRADA: Gradient regularized adversarial domain adaptation for remaining useful lifetime estimation,2026,Expert Systems with Applications,325,,132600,,,0,10.1016/j.eswa.2026.132600,https://www.scopus.com/pages/publications/105037866225?origin=resultslist,"In industrial applications, variations in system configurations, degradation modes, and the lack of labeled, run-to-failure data contribute to poor generalization by a domain-specific network on data from a different domain, although for a similar task. Adversarial domain adaptation attempts to mitigate this by introducing a domain classifier that discriminates between the latent features of source and target domain encoders, thereby encouraging the latter to learn domain-invariant representations. However, the discriminator’s susceptibility to oscillatory and exploding gradients negates the convergence of the target network. We present a novel Gradient Regularized Adversarial Domain Adaptation (GRADA) framework that utilizes a parameter-aware Adaptive Gradient Shrinkage (AGS) operator to regularize the discriminator. The discriminator parameters and gradients are used to develop a criterion matrix and a subsequent adaptive threshold, through which soft-thresholding is performed to suppress noisy gradients and preserve informative ones along their actual descent paths. Theoretical proofs validate the non-explosive and stabilizing properties of the AGS operator. We also incorporate AGS into an existing contrastive adversarial framework to test its use as a regularizer irrespective of the underlying framework. Our experiments focus on the remaining useful life (RUL) estimation task using the C-MAPSS dataset, as it provides suitable cross-domain scenarios with variable operational settings and fault modes. © 2026 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/",Adversarial; C-MAPSS dataset; Domain adaptation; Gradient regularization; Remaining useful lifetime (RUL); Unsupervised,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105037866225
paper-0004,included,physical_asset_maintenance,high,Oil and gas PHM health index,Alfahdi K.; Gultekin H.; Summad E.,"Alfahdi, Khalid (57988175600); Gultekin, Hakan (8107426400); Summad, Emad (57194163539)",57988175600; 8107426400; 57194163539,A novel global health index framework for asset prognostics and health management in the oil and gas industry,2026,Scientific Reports,16,1,3336,,,0,10.1038/s41598-025-33288-w,https://www.scopus.com/pages/publications/105028448498?origin=resultslist,"The oil and gas industry must remain efficient and flexible to navigate shifting market uncertainties in an era of increasing global energy demand. Ensuring the reliability and availability of oil and gas production systems is vital for meeting supply requirements at optimal cost and sustainability. Comprehensive engineering Prognostics and Health Management (PHM) approaches can significantly support these objectives. This paper introduces a novel Global Health Index (GHI) for monitoring and benchmarking production system health, serving as a foundation for big data to advance artificial intelligence and machine learning applications. The proposed GHI captures system-wide health requirements by integrating descriptive, diagnostic, predictive, and prescriptive analytics within the PHM framework. A hierarchical structure organizes sub-indices into units, systems, pillars, elements, and parameters, enabling an explicit decomposition of complex production systems. Six adaptable indicators quantify health and guide proactive management strategies at the parameter level. This comprehensive yet practical benchmark indicator provides real-time health monitoring and data-driven decision-making, enhancing system availability and efficiency. By identifying emerging issues and guiding timely interventions, the GHI improves reliability and supports sustainable growth in the oil and gas sector. © The Author(s) 2025.",Health index; Oil and gas; Production system; Prognostics and health management; Reliability,biological marker; oil; article; controlled study; gas; global health; health care management; human; oil industry; reliability,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105028448498
paper-0005,included,physical_asset_maintenance,high,CNC tool wear condition monitoring,Nazmy Hailmy M.A.; Oktaviadri M.; Yusoff A.R.,"Nazmy Hailmy, Muhammad Afnan (60512572400); Oktaviadri, Muchamad (60320693800); Yusoff, Ahmad Razlan (56986832400)",60512572400; 60320693800; 56986832400,Material-Adaptive Kurtosis Thresholding for Real-Time Multi-Parameter Condition Monitoring in CNC Milling,2026,International Journal of Automotive and Mechanical Engineering,23,1,,13237,13246,0,10.15282/ijame.23.1.2026.6.1004,https://www.scopus.com/pages/publications/105033031298?origin=resultslist,"Tool wear remains a major contributor to dimensional defects and unplanned downtime in CNC machining. Most existing monitoring strategies employ fixed vibration thresholds, which are unable to accommodate the distinct dynamic responses associated with different workpiece materials. Thresholds calibrated for hard materials such as cast iron often fail to detect early wear, whereas the same settings applied to softer polymers lead to excessive false alarms. This limitation highlights the need for material-dependent condition assessment rather than universal thresholding. This study proposes a material-adaptive monitoring framework based on kurtosis thresholds that automatically adjust when the machined material changes. Experimental validation was conducted on three materials representing a wide hardness range for cast iron of 220 to 260, aluminum of 95 to 100, and PVC of 80 to 85. A full factorial design comprising 81 milling trials of 27 per material was performed using spindle speeds of 1,500 to 3,500 rev/min, feed rates of 125 to 250 mm/min, and axial depths of cut between 0.2 and 0.7 mm. Vibration signals were acquired using accelerometers mounted on both the spindle and workpiece, and material-specific kurtosis thresholds were derived by correlating statistical features with measured tool wear. The current method achieved classification accuracies of 95.2% for cast iron, 97.8% for aluminum, and 96.7% for PVC, representing improvements of 6 to 11% over conventional fixed-threshold approaches. The monitoring system was further implemented on an IoT platform to enable real-time remote diagnostics and automated alerts. Pilot deployment indicated a 25 to 30% reduction in maintenance costs compared with existing practice. These results demonstrate that material-adaptive thresholding substantially improves the reliability and practicality of vibration-based tool condition monitoring in CNC milling environments. © 2026 The Author(s). Published by Universiti Malaysia Pahang Al-Sultan Abdullah Press. This is an open access article under the CC BY-NC 4.0 International license",Advanced manufacturing; Condition monitoring; Statistical analysis; Tool wear detection; Vibration measurement,Cutting tools; Higher order statistics; Maintenance; Vibration analysis; Vibration measurement; Wear of materials; Advanced manufacturing; CNC-milling; Condition; Multiparameters; Parameter conditions; Real- time; Thresholding; Tool wear; Tool wear detection; Wear detection; Condition monitoring,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105033031298
paper-0006,included,physical_asset_maintenance,high,Spline wear degradation monitoring,Yu H.; Yan W.; Xie J.; Cao Y.; Zhou W.; Wan Q.; Zhu R.; Chen W.,"Yu, Hu (57463128900); Yan, Weiping (59233744700); Xie, Junling (60030995400); Cao, Yudong (57222741810); Zhou, Wenguang (57226795521); Wan, Qizhi (58971675700); Zhu, Rupeng (57189656351); Chen, Weifang (57137413900)",57463128900; 59233744700; 60030995400; 57222741810; 57226795521; 58971675700; 57189656351; 57137413900,A Riemannian-Hyperbolic Space-Based Algorithm for multisensor data fusion in spline degradation monitoring,2026,Mechanical Systems and Signal Processing,253,,114321,,,0,10.1016/j.ymssp.2026.114321,https://www.scopus.com/pages/publications/105036666597?origin=resultslist,"Spline wear threatens the reliability of mechanical transmission systems, but conventional monitoring fails to reconcile heterogeneous data, capture dynamic degradation, or delineate hierarchical states. Here we present a geometric deep learning framework for multisensor fusion: vibration (macroscopic dynamics) and acoustic emission (AE, microscopic damage) signals are encoded as symmetric positive definite (SPD) matrices to form a Riemannian manifold. Log-Euclidean metrics and Riemannian means mitigate cross-modal misalignment, while an attention-based graph neural network (GATConv) fuses features to learn spatiotemporal dependencies. Fused representations are embedded into Poincaré ball space—leveraging hyperbolic geometry’s exponential volume growth to enhance hierarchical wear separability—with unsupervised clustering and temporal mapping enabling time-resolved monitoring. On industrial datasets (slewing bearing, spline wear), the framework consistently outperforms mainstream methods by achieving effective cross-modal alignment, superior clustering quality, and accurate full-cycle wear tracking. This work establishes a geometric deep learning paradigm for mechanical health monitoring, advancing predictive maintenance in critical engineering systems. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Graph neural network (GNN); Hyperbolic geometry; Multimodal fusion; Riemannian manifold; Spline wear,Alignment; Bearings (machine parts); Data fusion; Geometry; Graph neural networks; Hierarchical clustering; Interpolation; Predictive maintenance; Splines; Vibrations (mechanical); Wear of materials; Cross-modal; Graph neural network; Graph neural networks; Hyperbolic geometry; Hyperbolic spaces; Multi sensors data fusion; Multi-modal fusion; Riemannian manifold; Space-based; Spline wear; Data mining,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-105036666597
paper-0007,included,physical_asset_maintenance,high,Ship shafting RUL prediction,Dong P.; Han G.; Yuan L.,"Dong, Peng (57205575553); Han, Ge (60149258600); Yuan, Luwen (59475977700)",57205575553; 60149258600; 59475977700,Predicting the Remaining Useful Life of Ship Shafting Using Bayesian Networks with Asymmetric Probability Distributions,2026,Symmetry,18,3,443,,,0,10.3390/sym18030443,https://www.scopus.com/pages/publications/105034198499?origin=resultslist,"Accurately predicting the remaining useful life (RUL) of ship shafting is crucial for ensuring navigation safety and optimizing operation and maintenance. Traditional Bayesian Network (BN) methods are usually based on the assumption of symmetric distributions. They struggle to effectively characterize common statistical properties such as asymmetry and heavy tails during the shafting degradation process, leading to biases in prediction results. To address this issue, this study proposes an Asymmetric Distribution Bayesian Network (ADBN) method. The method consists of three key components. Firstly, each node selects the optimal asymmetric distribution form based on the Bayesian Information Criterion (BIC) to better fit data characteristics. Secondly, a Generalized Linear Model (GLM) is used to associate distribution parameters (e.g., location, scale, shape) with parent node states, enabling the conditional distribution to adaptively evolve with the system degradation process. Finally, to tackle the complex inference problem under asymmetric distributions, an approximate algorithm based on stochastic gradient variational inference is designed to ensure prediction timeliness. Experimental results show that the ADBN method outperforms traditional Gaussian networks in terms of Mean Absolute Error in the early, middle, and late stages of RUL prediction, and can provide more accurate prediction intervals. This research offers a probabilistic approach that better aligns with actual statistical properties for modeling ship shafting degradation. © 2026 by the authors.",asymmetric distribution; Bayesian network; RUL prediction; variational inference,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105034198499
paper-0008,excluded,generic_nonmaintenance_ai_control,medium,Hot water control optimization,Grela J.; Latoń D.,"Grela, Jakub (55447003700); Latoń, Dominik (58512390200)",55447003700; 58512390200,Digital twin-based improvement of a domestic hot water control algorithm: A case study,2026,Energy and Buildings,360,,117354,,,0,10.1016/j.enbuild.2026.117354,https://www.scopus.com/pages/publications/105034490838?origin=resultslist,"The Digital Twin (DT) concept is emerging as a powerful tool in building automation and management, enabling real-time monitoring, predictive maintenance, and system optimisation to improve overall efficiency, particularly energy efficiency. This paper presents a case study on the application of a DT model for Domestic Hot Water (DHW) control in a small-scale installation equipped with an electric heater. The study investigates the integration of DT with data-driven control strategies, particularly Long Short-Term Memory (LSTM) neural networks, to enhance system performance beyond traditional PID control. A test installation was developed, collecting real-time operational data to build and validate the DT model. Various optimisation techniques, including Grey Wolf Optimisation (GWO), Genetic Algorithms (GA), and Particle Swarm Optimisation (PSO) - with a comparative analysis of their performance, were employed to fine-tune the hyperparameters of the LSTM-based predictive model. The results demonstrated that the DT-based control approach reduces fluctuations in water temperature and Control Varaibles, leading to improve predictability, and energy efficiency and user comfort compared to conventional PID control. A key finding of this study is that the DT model, trained on real-world operational data, enables rapid prototyping of new control strategies with minimal risk and lower testing costs, as well as temperature fluctuations reduction by 10.6%. The research also highlights the potential for future applications, including Reinforcement Learning (RL)-based control, where DT serves as an interactive environment for training autonomous control agents. © 2026 The Author(s).",Digital twin; Domestic hot water; Long short-term memory; Machine learning; Optimisation; Proportional-integral-derivative control,Autonomous agents; Computer aided instruction; Digital twin; E-learning; Energy efficiency; Genetic algorithms; Integration testing; Intelligent buildings; Learning systems; Particle swarm optimization (PSO); Predictive maintenance; Proportional control systems; Two term control systems; Well testing; Case-studies; Control strategies; Domestic hot water; Energy; In-buildings; Machine-learning; Optimisations; Proportional integral derivative control; Short term memory; Water control; Long short-term memory; Three term control systems,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105034490838
paper-0009,included,physical_asset_maintenance,high,Bearing defect prognostics,Talan A.; Schwarcz O.; Bublil T.; Shoham S.; Dolev E.; Maimon Y.; Bortman J.,"Talan, Ariel (59726154700); Schwarcz, Ori (60597523300); Bublil, Tal (59735127000); Shoham, Shahar (60171854400); Dolev, Eli (60596973000); Maimon, Yoav (60597434200); Bortman, Jacob (56319156700)",59726154700; 60597523300; 59735127000; 60171854400; 60596973000; 60597434200; 56319156700,Dynamics-based condition indicators for defective rolling elements in ball bearings: a multi-sensorial endurance test and simulation analysis,2026,Engineering Failure Analysis,193,,110879,,,0,10.1016/j.engfailanal.2026.110879,https://www.scopus.com/pages/publications/105036645531?origin=resultslist,"Due to their orientation-dependent dynamics and the scarcity of long-term experimental data, rolling element (RE) defects pose significant challenges in prognostics. To investigate RE defect degradation, this study combines extended endurance testing of an angular contact bearing under combined radial and axial loading with high-fidelity multibody dynamic simulation. Multi-modal measurements using acceleration, strain, and oil debris monitoring revealed the evolution of a step-like mass loss and a critical knee point marking the onset of severe degradation. A previously unreported relationship between the fundamental train frequency (FTF) and an alternating double ball spin frequency (2xBSF) component was identified. This relationship was physically explained using a validated ADAMS model, which attributed the behavior to orientation-dependent load-carrying variations of the defective RE. Based on these findings, we propose new physics-informed condition indicators that combine FTF growth and 2xBSF decay as precursors to the knee point, thereby advancing the understanding of RE defect dynamics and supporting future remaining useful life prediction. The main contributions of this work are threefold: (i) it provides rare long-term experimental evidence of RE fatigue under combined radial and axial loading, a configuration that is highly relevant to industrial applications, yet has seldom been studied; (ii) it introduces multi-indicator condition metrics that act as precursors to the knee point and support future remaining useful life prediction; and (iii) it establishes the physical mechanisms underlying these indicators through validation utilizing a high-fidelity multibody dynamic model. Collectively, these results advance the fundamental understanding of RE defect dynamics and contribute to a robust, physics-informed strategy for predictive maintenance of RE bearings. © 2026 The Author(s)",,Ball bearings; Dynamics; Modal analysis; Predictive maintenance; Axial loading; Condition indicators; Defect dynamics; Fundamental train frequencies; High-fidelity; Knee points; Orientation dependent; Radial loadings; Remaining useful life predictions; Rolling elements; Axial loads,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105036645531
paper-0010,excluded,acronym_collision,high,PDM is melanoma prognosis,Zhao P.; Chew C.; Szeto P.; Berry W.; Photiou L.; Wong N.C.; Dinan A.; McLean C.A.; Marshall V.M.; Cheung J.; Adler N.R.; Goodarzy F.; Andrews M.C.; Mar V.J.; Papenfuss A.T.; Shackleton M.,"Zhao, Peinan (57223239684); Chew, Christopher (57211539291); Szeto, Pacman (57189994988); Berry, William (16027683300); Photiou, Louise (57194614892); Wong, Nicholas C (7202836675); Dinan, Andrew (60236209200); McLean, Catriona A (7103396821); Marshall, Vikki M (58548177600); Cheung, Jen (57223227246); Adler, Nikki R (56992510200); Goodarzy, Farhad (42261785200); Andrews, Miles C (55914097500); Mar, Victoria J (37064810500); Papenfuss, Anthony T (6508111724); Shackleton, Mark (7004295059)",57223239684; 57211539291; 57189994988; 16027683300; 57194614892; 7202836675; 60236209200; 7103396821; 58548177600; 57223227246; 56992510200; 42261785200; 55914097500; 37064810500; 6508111724; 7004295059,Genomic copy number burden distinguishes the diagnosis and prognosis of primary dermal melanoma,2026,British Journal of Dermatology,194,5,,899,913,0,10.1093/bjd/ljaf507,https://www.scopus.com/pages/publications/105035846541?origin=resultslist,"Background: Primary dermal melanoma (PDM) is a subtype of melanoma with histological features indiscernible from nonepidermal metastatic cutaneous melanoma deposits, although patients with PDMs have more favourable outcomes than patients with dermal metastases. Despite the histological similarity, it is not known whether the mutational landscapes of PDMs and dermal metastases are also similar, or whether distinct mutational patterns might exist in PDMs. Objectives: To identify genomic features that distinguish PDMs from nonepidermal cutaneous melanoma metastases, thereby enhancing the accuracy of clinical diagnosis and prognostication. Methods: Twenty PDMs and 23 nonepidermal cutaneous metastases were sequenced using the TSO500 panel. Genomic features distinguishing PDMs and metastases were identified using the regularized random forest model and feature engineering. Predictive biomarkers of patient event-free survival were identified using Lasso–Cox regression. Results: PDMs and nonepidermal cutaneous metastases harboured point mutations characteristic of melanomas of epidermal origin. Compared with PDMs, metastases exhibited distinct copy number variations (CNVs) that led to gains of oncogenes and losses of tumour suppressor genes. Extreme focal amplifications were uniquely identified in cases of nonepidermal cutaneous metastases but were absent in PDMs. Large-scale CNVs and focal amplifications were identified as discriminative biomarkers between PDMs and metastases. A clinical diagnosis of PDM and an absence of BRAF CNVs collectively were associated with a reduced risk of death or disease progression after surgery vs. a clinical diagnosis of metastasis or of PDM with BRAF CNVs. Conclusion: We found that CNVs were the strongest discriminative features between PDMs and nonepidermal cutaneous metastases, with large-scale and focal CNVs abundant in metastases but not in PDMs. Notably, integrating BRAF copy number analysis with standard clinical criteria for diagnosing PDMs improved risk stratification after surgery. These data highlight the ability of panel-based genomic sequencing that enables the detection of CNVs to inform the clinical management of melanoma. © The Author(s) 2025. Published by Oxford University Press on behalf of British Association of Dermatologists.",,"Adult; Aged; Aged, 80 and over; Biomarkers, Tumor; Cutaneous Malignant Melanoma; Diagnosis, Differential; DNA Copy Number Variations; Female; Humans; Male; Melanoma; Middle Aged; Point Mutation; Prognosis; Proto-Oncogene Proteins B-raf; Skin Neoplasms; B Raf kinase; tumor marker; adult; aged; copy number variation; cutaneous melanoma; diagnosis; differential diagnosis; female; genetics; human; male; melanoma; middle aged; mortality; pathology; point mutation; prognosis; skin tumor; very elderly",Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105035846541
