corpus_id,old_decision,new_decision,screening_reason_category,audit_confidence,audit_notes,pdf_present,Title,DOI,Source title
paper-0014,included,excluded,generic_nonmaintenance_ai_control,medium,Lubrication simulation lacks maintenance decision,no,Lubrication film thickness prediction in the sliding contacts of axial piston pumps using physics-informed neural network,10.1016/j.triboint.2026.112049,Tribology International
paper-0064,included,excluded,generic_nonmaintenance_ai_control,high,Generic EIS method lacks asset use-case,no,Towards robust comparison of distributions of relaxation times,10.1016/j.electacta.2026.148339,Electrochimica Acta
paper-0131,included,excluded,generic_nonmaintenance_ai_control,high,Generic RUL uncertainty framework lacks asset case,no,A novel uncertainty-aware framework for remaining useful life prediction integrating uncertainty quantification and calibration,10.1016/j.ress.2026.112763,Reliability Engineering and System Safety
paper-0203,included,excluded,generic_nonmaintenance_ai_control,medium,Insulator leakage behavior lacks maintenance decision,yes,Investigation of Leakage Current Behaviour on Artificially Contaminated Insulators Under Superimposed HVDC Voltage Stress and Hybrid HVDC/HVAC Transmission Conditions,10.3390/en19092183,Energies
paper-0260,included,excluded,generic_nonmaintenance_ai_control,high,Statistical lifetime model lacks asset use-case,yes,Reliability Inference and Remaining Useful Life Prediction Based on the Two-Parameter Bathtub-Shaped Lifetime Distribution Under Progressive Type-II Censoring,10.3390/math14071109,Mathematics
paper-0276,included,excluded,generic_nonmaintenance_ai_control,high,Generic risk prediction lacks asset use-case,yes,Hierarchical spatio-temporal graph network for risk prediction,10.1038/s41598-025-33873-z,Scientific Reports
paper-0279,included,excluded,generic_nonmaintenance_ai_control,medium,Thermal tomography method lacks asset case,yes,Deep transfer learning framework for thermal tomographic image classification: a comparative study,10.1007/s41939-025-01153-y,"Multiscale and Multidisciplinary Modeling, Experiments and Design"
paper-0329,included,excluded,generic_nonmaintenance_ai_control,medium,GIS defect mechanism lacks maintenance decision,yes,Study on the Impact of the Synergistic Effect of Alternating Electric Field and Mechanical Vibration on the Jumping Characteristics of Particles Defects in GIS,10.3390/en19092053,Energies
paper-0459,included,excluded,generic_nonmaintenance_ai_control,medium,Temperature forecasting lacks maintenance objective,yes,Wind Turbine Gearbox Oil Temperature Forecasting Using Stochastic Differential Equations and Multi-Objective Grey Modeling,10.3390/machines14040386,Machines
paper-0504,included,excluded,generic_nonmaintenance_ai_control,high,Broad AI energy overview lacks maintenance case,yes,RENEWABLE ENERGY AND RESOURCE RECOVERY SYSTEMS USING AI TOOLS,10.5935/jetia.v12i57.3064,Journal of Engineering and Technology for Industrial Applications
paper-0538,included,excluded,generic_nonmaintenance_ai_control,medium,Filter performance study lacks maintenance decision,yes,Machine Learning Analysis of Inlet Air Filter Differential Pressure Effects on Gas Turbine Power and Efficiency with Carbon Footprint Assessment,10.3390/machines14020170,Machines
paper-0575,included,excluded,generic_nonmaintenance_ai_control,high,Generic Weibull PdM method lacks asset case,yes,Bayesian Fractional Weibull Regression for Reliability Prognostics and Predictive Maintenance,10.3390/math14010169,Mathematics
