id,controversy_level,normalized_reason_category,subagent_reason_category,recommended_action,brief_reason,current_screening_confidence,current_screening_notes,pdf_present,title,year,source,doi
paper-0002,high,process_quality_not_maintenance,generic_process_quality_control,review_exclude,Focuses on manufacturing quality-control ensemble fusion; asset degradation or maintenance decision is only a keyword-level linkage.,medium,Manufacturing monitoring with PdM keywords,no,ExpLusion: Explanation-driven Late Fusion for enhanced production process monitoring,2026,Computers and Industrial Engineering,10.1016/j.cie.2026.112101
paper-0022,high,process_quality_not_maintenance,food_process_monitoring,review_exclude,"Micro-brewery sensor architecture emphasizes brewing sustainability, quality forecasting, and fermentation/process control; equipment maintenance is only a possible use case.",medium,Brewery sensors possible equipment maintenance,yes,A design concept for data-driven brewing: sensor-based system architecture and ML applications for sustainability in micro-breweries,2026,Discover Artificial Intelligence,10.1007/s44163-026-01175-6
paper-0098,high,civil_geotechnical_infrastructure,civil_infrastructure_track,review_exclude,"Targets railway track defects/anomaly detection, a civil/rail infrastructure condition-monitoring case excluded under the strict criteria.",high,Railway track anomaly detection,yes,Online Track Anomaly Detection: Comparison of Different Machine Learning Techniques Through Injection of Synthetic Defects on Experimental Datasets,2026,Machines,10.3390/machines14040424
paper-0440,high,civil_geotechnical_infrastructure,generic_data_imputation,review_exclude,"Industrial data imputation method is motivated by control/fault detection/PdM, but evaluates missing-value reconstruction rather than asset condition.",medium,Industrial data imputation supports PdM,yes,An Implicit-Explicit Diffusion Model for Industrial Data Imputation,2026,Applied Sciences (Switzerland),10.3390/app16083826
paper-0659,high,software_it_cyber,software_it_network,review_exclude,Targets 5G radio link failures and QoS alerts rather than maintenance of a clearly defined physical asset.,medium,5G infrastructure failure prediction,no,Predictive Maintenance and Reliability in Intelligent 5G Networks Based on Graph Neural Networks,2026,IEEE Access,10.1109/ACCESS.2026.3673933
paper-0767,high,civil_geotechnical_infrastructure,civil_construction_safety,review_exclude,Scaffolding construction safety inspection/PHM is a temporary civil structure context rather than engineered-equipment PdM.,high,Scaffolding inspection health assessment,yes,Artificial intelligence-driven safety assessment of scaffolding using LiDAR sensing,2026,Frontiers in Built Environment,10.3389/fbuil.2026.1723491
paper-0835,high,performance_or_energy_optimization,generic_digital_twin_control,review_exclude,NPP digital twin is primarily for robot behavior simulation and plant performance; PdM is incidental with no degradation model.,medium,NPP digital twin mentions maintenance,no,iFANnpp: Nuclear power plant digital twin for robots and autonomous intelligence,2026,Annals of Nuclear Energy,10.1016/j.anucene.2025.111993
paper-1109,high,civil_geotechnical_infrastructure,civil_utility_infrastructure,review_exclude,Clean-water service lines are water-distribution infrastructure; strict criteria exclude non-equipment civil infrastructure.,high,Water service line failure prediction,yes,Predictive Rehabilitation of Clean Water Customer Connections Leveraging Machine Learning Algorithms and Failure Time Series Data,2026,Water (Switzerland),10.3390/w18010110
paper-1157,high,software_it_cyber,it_telecom_network,review_exclude,"Condition monitoring of a 5G railway communication network; target is telecom service reliability, not physical-asset maintenance.",medium,Rail communication monitoring reliability,yes,Condition Monitoring Technology and Its Testing for 5G-Enabled High-Speed Railway Wireless Communication Networks: Guaranteeing the Reliability of Train–Ground Communication,2025,Machines,10.3390/machines13121087
paper-1195,high,process_quality_not_maintenance,process_quality_control,review_exclude,Classifies in-control/out-of-control states in potato-chip frying; this is process QC more than asset maintenance.,medium,Process state classification supports maintenance,yes,A digital pheromone-based approach for in-control/out-of-control classification,2026,Communications in Mathematics,10.46298/cm.16690
paper-1234,high,software_it_cyber,civil_utility_infrastructure,review_exclude,"Sewer-network pipe failures and blockages are civil water infrastructure, a strict-scope exclusion.",high,Sewer asset failure prediction,yes,Integrating dynamic features into machine learning models for predicting sewer network failures: a Random Forest approach,2026,Urban Water Journal,10.1080/1573062X.2025.2589081
paper-1255,high,performance_or_energy_optimization,energy_system_viability_not_pdm,review_exclude,"Second-life battery PV-storage viability for rural heating; no condition monitoring, RUL, or maintenance decision is central.",medium,Reused battery remaining life,no,On the Viability of Reused Vehicle Li-Ion Batteries as PV Storage for High-Altitude Rural Areas: Case Study in Cusco-Peru,2026,IEEE Access,10.1109/ACCESS.2026.3657190
