corpus_id,screening_decision,screening_reason_category,screening_confidence,screening_notes,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
paper-0002,excluded,generic_nonmaintenance_ai_control,high,controversial scan: Focuses on manufacturing quality-control ensemble fusion; asset degradation or maintenance decision is only a keyword-level linkage.,Ferraro A.; Galli A.; Gallo M.; La Gatta V.; Postiglione M.; Moscato V.,"Ferraro, Antonino (57216580951); Galli, Antonio (57210585022); Gallo, Mosè (56251053400); La Gatta, Valerio (57219926632); Postiglione, Marco (57219928964); Moscato, Vincenzo (8300789300)",57216580951; 57210585022; 56251053400; 57219926632; 57219928964; 8300789300,ExpLusion: Explanation-driven Late Fusion for enhanced production process monitoring,2026,Computers and Industrial Engineering,217,,112101,,,0,10.1016/j.cie.2026.112101,https://www.scopus.com/pages/publications/105038043185?origin=resultslist,"This study addresses limitations in current ensemble model approaches for AI-driven manufacturing by proposing an explanation-driven framework to enhance quality control systems. Design/methodology/approach: We introduce ExpLusion (Explanation-driven Late Fusion), a novel approach that integrates explanation-based late fusion strategies. Unlike traditional ensembles that combine model outputs based solely on performance metrics or learned weights, ExpLusion uses the similarity of local explanations (e.g., SHAP vectors) to select which models to aggregate for each instance. This explanation-driven selection ensures that only models exhibiting coherent reasoning patterns contribute to the final prediction, filtering out predictions based on noise or spurious correlations. Findings: ExpLusion was evaluated across multiple datasets representative of different industrial scenarios, including the SECOM and Bosch production line datasets. In particular, on the Bosch dataset, ExpLusion achieves an MCC of 0.521, outperforming all individual baseline models as well as the traditional late fusion approach (0.504 MCC). At the same time, it maintains a balanced predictive performance with precision values of 0.685 (negative) and 0.881 (positive), and recall values of 0.925 (negative) and 0.572 (positive). These results highlight the effectiveness of the proposed explanation-driven ensemble strategy for quality control in complex manufacturing processes. Research Limitations: Future studies could explore ExpLusion's scalability and adaptability in varied manufacturing contexts. Additionally, the framework's dependence on explanation quality suggests further investigation is required to ensure robustness in diverse operational scenarios. Practical Implications: By implementing intelligent fusion strategies that consider model-specific insights, manufacturers can achieve more consistent and reliable production outcomes, improving quality control efficiency. Originality/Value: This research introduces a novel explanation-driven fusion framework for manufacturing quality control that uses local interpretability consensus as a model selection criterion. Rather than relying on performance-based weights or meta-learned combinations, ExpLusion prioritizes agreement in reasoning patterns, enhancing both reliability and interpretability in industrial monitoring contexts. © 2026 Elsevier Ltd",Artificial intelligence in manufacturing; Data-driven artificial intelligence; Manufacturing industry; Predictive maintenance; Proactive failure prevention; Quality control,Predictive maintenance; Process control; Artificial intelligence in manufacturing; Data driven; Data-driven artificial intelligence; Failure prevention; Fusion strategies; Late fusion; Manufacturing industries; Predictive maintenance; Proactive failure prevention; Reasoning patterns; Industrial research,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105038043185
paper-0008,excluded,generic_nonmaintenance_ai_control,medium,Hot water control optimization,Grela J.; Latoń D.,"Grela, Jakub (55447003700); Latoń, Dominik (58512390200)",55447003700; 58512390200,Digital twin-based improvement of a domestic hot water control algorithm: A case study,2026,Energy and Buildings,360,,117354,,,0,10.1016/j.enbuild.2026.117354,https://www.scopus.com/pages/publications/105034490838?origin=resultslist,"The Digital Twin (DT) concept is emerging as a powerful tool in building automation and management, enabling real-time monitoring, predictive maintenance, and system optimisation to improve overall efficiency, particularly energy efficiency. This paper presents a case study on the application of a DT model for Domestic Hot Water (DHW) control in a small-scale installation equipped with an electric heater. The study investigates the integration of DT with data-driven control strategies, particularly Long Short-Term Memory (LSTM) neural networks, to enhance system performance beyond traditional PID control. A test installation was developed, collecting real-time operational data to build and validate the DT model. Various optimisation techniques, including Grey Wolf Optimisation (GWO), Genetic Algorithms (GA), and Particle Swarm Optimisation (PSO) - with a comparative analysis of their performance, were employed to fine-tune the hyperparameters of the LSTM-based predictive model. The results demonstrated that the DT-based control approach reduces fluctuations in water temperature and Control Varaibles, leading to improve predictability, and energy efficiency and user comfort compared to conventional PID control. A key finding of this study is that the DT model, trained on real-world operational data, enables rapid prototyping of new control strategies with minimal risk and lower testing costs, as well as temperature fluctuations reduction by 10.6%. The research also highlights the potential for future applications, including Reinforcement Learning (RL)-based control, where DT serves as an interactive environment for training autonomous control agents. © 2026 The Author(s).",Digital twin; Domestic hot water; Long short-term memory; Machine learning; Optimisation; Proportional-integral-derivative control,Autonomous agents; Computer aided instruction; Digital twin; E-learning; Energy efficiency; Genetic algorithms; Integration testing; Intelligent buildings; Learning systems; Particle swarm optimization (PSO); Predictive maintenance; Proportional control systems; Two term control systems; Well testing; Case-studies; Control strategies; Domestic hot water; Energy; In-buildings; Machine-learning; Optimisations; Proportional integral derivative control; Short term memory; Water control; Long short-term memory; Three term control systems,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105034490838
paper-0010,excluded,acronym_collision,high,PDM is melanoma prognosis,Zhao P.; Chew C.; Szeto P.; Berry W.; Photiou L.; Wong N.C.; Dinan A.; McLean C.A.; Marshall V.M.; Cheung J.; Adler N.R.; Goodarzy F.; Andrews M.C.; Mar V.J.; Papenfuss A.T.; Shackleton M.,"Zhao, Peinan (57223239684); Chew, Christopher (57211539291); Szeto, Pacman (57189994988); Berry, William (16027683300); Photiou, Louise (57194614892); Wong, Nicholas C (7202836675); Dinan, Andrew (60236209200); McLean, Catriona A (7103396821); Marshall, Vikki M (58548177600); Cheung, Jen (57223227246); Adler, Nikki R (56992510200); Goodarzy, Farhad (42261785200); Andrews, Miles C (55914097500); Mar, Victoria J (37064810500); Papenfuss, Anthony T (6508111724); Shackleton, Mark (7004295059)",57223239684; 57211539291; 57189994988; 16027683300; 57194614892; 7202836675; 60236209200; 7103396821; 58548177600; 57223227246; 56992510200; 42261785200; 55914097500; 37064810500; 6508111724; 7004295059,Genomic copy number burden distinguishes the diagnosis and prognosis of primary dermal melanoma,2026,British Journal of Dermatology,194,5,,899,913,0,10.1093/bjd/ljaf507,https://www.scopus.com/pages/publications/105035846541?origin=resultslist,"Background: Primary dermal melanoma (PDM) is a subtype of melanoma with histological features indiscernible from nonepidermal metastatic cutaneous melanoma deposits, although patients with PDMs have more favourable outcomes than patients with dermal metastases. Despite the histological similarity, it is not known whether the mutational landscapes of PDMs and dermal metastases are also similar, or whether distinct mutational patterns might exist in PDMs. Objectives: To identify genomic features that distinguish PDMs from nonepidermal cutaneous melanoma metastases, thereby enhancing the accuracy of clinical diagnosis and prognostication. Methods: Twenty PDMs and 23 nonepidermal cutaneous metastases were sequenced using the TSO500 panel. Genomic features distinguishing PDMs and metastases were identified using the regularized random forest model and feature engineering. Predictive biomarkers of patient event-free survival were identified using Lasso–Cox regression. Results: PDMs and nonepidermal cutaneous metastases harboured point mutations characteristic of melanomas of epidermal origin. Compared with PDMs, metastases exhibited distinct copy number variations (CNVs) that led to gains of oncogenes and losses of tumour suppressor genes. Extreme focal amplifications were uniquely identified in cases of nonepidermal cutaneous metastases but were absent in PDMs. Large-scale CNVs and focal amplifications were identified as discriminative biomarkers between PDMs and metastases. A clinical diagnosis of PDM and an absence of BRAF CNVs collectively were associated with a reduced risk of death or disease progression after surgery vs. a clinical diagnosis of metastasis or of PDM with BRAF CNVs. Conclusion: We found that CNVs were the strongest discriminative features between PDMs and nonepidermal cutaneous metastases, with large-scale and focal CNVs abundant in metastases but not in PDMs. Notably, integrating BRAF copy number analysis with standard clinical criteria for diagnosing PDMs improved risk stratification after surgery. These data highlight the ability of panel-based genomic sequencing that enables the detection of CNVs to inform the clinical management of melanoma. © The Author(s) 2025. Published by Oxford University Press on behalf of British Association of Dermatologists.",,"Adult; Aged; Aged, 80 and over; Biomarkers, Tumor; Cutaneous Malignant Melanoma; Diagnosis, Differential; DNA Copy Number Variations; Female; Humans; Male; Melanoma; Middle Aged; Point Mutation; Prognosis; Proto-Oncogene Proteins B-raf; Skin Neoplasms; B Raf kinase; tumor marker; adult; aged; copy number variation; cutaneous melanoma; diagnosis; differential diagnosis; female; genetics; human; male; melanoma; middle aged; mortality; pathology; point mutation; prognosis; skin tumor; very elderly",Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105035846541
paper-0011,excluded,environment_natural_system,high,civil infra update: bridge structure condition assessment,Zhen Q.; Su W.; Dong Y.; Zhang B.,"Zhen, Qianqian (60617190700); Su, Wenming (60616920700); Dong, Yongquan (60616652200); Zhang, Ben (59739409400)",60617190700; 60616920700; 60616652200; 59739409400,Accurate assessment technology of BIM bridge structure status using spatiotemporal transformation graph neural network,2026,Discover Internet of Things,6,1,57,,,0,10.1007/s43926-026-00321-x,https://www.scopus.com/pages/publications/105037933137?origin=resultslist,"Traditional bridge structural condition assessments struggle to integrate the physical topological information of BIM models with the spatiotemporal evolution of long-term monitoring data, resulting in low assessment accuracy and a lack of damage localization capabilities. To address this, this paper proposes a precise assessment framework based on a spatiotemporal transformer graph neural network (ST-Transformer GNN). Component attributes and connectivity relationships are automatically extracted from the IFC (Industry Foundation Classes) model of BIM (Building Information Modeling), constructing a dynamic graph structure with physical weights. Multi-source sensor data is mapped to corresponding nodes based on spatial location, forming a temporal input sequence. A physics-guided spatiotemporal attention module based on the Transformer architecture is then designed. This module, through a stiffness-constrained spatial propagation mechanism and temporal dynamic weighting, enables joint modeling of inter-component load responses. Finally, by combining multi-task learning with gradient interpretability analysis, component-level health status is output, and a damage heatmap is generated. Experimental results demonstrate that this method achieves an average component-level health status classification accuracy of 96.3%, and achieves a peak error of 0.8με in temporal response prediction, significantly outperforming competing models such as ST-GCN and DCRNN. The conclusions suggest that the deep integration of BIM and the physically enhanced spatiotemporal transform graph neural network (ST-Transformer GNN) can effectively enhance the intelligence level of bridge condition assessment. © The Author(s) 2026.",Accurate assessment; Bridge structure condition assessment; Building information model; Graph neural network; Spatiotemporal transformation,Architectural design; Bridges; Building components; Building Information Model; Condition monitoring; Graph neural networks; Graph structures; Graphic methods; Information theory; Learning systems; Structural analysis; Accurate assessment; Bridge structure condition assessment; Bridge structures; Building Information Modelling; Component levels; Condition assessments; Graph neural networks; Health status; Spatiotemporal transformation; Structure conditions; Damage detection,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105037933137
paper-0013,excluded,generic_nonmaintenance_ai_control,medium,controversial scan: Manufacturing anomaly/root-cause analysis targets process deviations and optimization; the physical asset health target is unclear.,Nguyen T.P.Q.; Hoang T.N.H.G.; Le T.H.A.,"Nguyen, Thi Phuong Quyen (57189299045); Hoang, Ton Nu Huong Giang (59091019000); Le, Thi Huynh Anh (57271604300)",57189299045; 59091019000; 57271604300,Multi-objective optimization-based sequential clustering and classification approach for anomaly detection and root cause analysis in the multi-stage manufacturing process,2026,Engineering Research Express,8,9,,,,0,10.1088/2631-8695/ae6421,https://www.scopus.com/pages/publications/105037897099?origin=resultslist,"Anomaly detection (AD) and root cause analysis (RCA) are vital for reducing production risks and downtime. This study proposes an integrated approach, MOSCA-SCC, that combines sequential clustering and classification with a multi-objective sine-cosine algorithm to investigate AD and RCA simultaneously. The (MOSCA-SCC) first clusters performance variables to distinguish abnormal states, then classifies operational variables to identify the factors most associated with deviations. Validated with over 14 000 data points from a real-world multi-stage manufacturing process, the model identified fuzzy c-means backpropagation neural network (BPNN) as the top performer for Stage 1 and k-means-BPNN for Stage 2. The model detects abnormal patterns and accurately identifies key causal factors such as material hardness, temperature, and machine speed deviation. Results show that MOSCA-SCC outperforms conventional methods in both accuracy and interpretability. This framework provides clear diagnostic insights, effectively supports predictive maintenance and process optimization, making it a powerful tool for smart manufacturing systems. © 2026 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved. This article is available under the terms of the https://publishingsupport.iopscience.iop.org/iop-standard/v1.",anomaly detection; manufacturing process; multi-objective optimization; root cause analysis; sequential clustering and classification,Backpropagation; Clustering algorithms; Data mining; Fuzzy systems; Neural networks; Predictive maintenance; Risk assessment; Anomaly detection; Back-propagation neural networks; Classification approach; Clustering approach; Manufacturing process; Multi-objectives optimization; Multistage manufacturing; Root cause analysis; Sequential clustering; Sequential clustering and classification; Anomaly detection; Multiobjective optimization,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105037897099
paper-0014,excluded,generic_nonmaintenance_ai_control,medium,generic cleanup: Lubrication simulation lacks maintenance decision,Qiu H.; Tinsley L.; Ompusunggu A.P.,"Qiu, Hongsen (60260110800); Tinsley, Lawrence (55886688400); Ompusunggu, Agusmian Partogi (36188470200)",60260110800; 55886688400; 36188470200,Lubrication film thickness prediction in the sliding contacts of axial piston pumps using physics-informed neural network,2026,Tribology International,221,,112049,,,0,10.1016/j.triboint.2026.112049,https://www.scopus.com/pages/publications/105035498196?origin=resultslist,"This paper presents the development of a novel Physics-Informed Neural Networks (PINN) method to predict lubrication film characteristics at the slipper–swashplate interface of axial piston pumps. It embeds the Reynolds equation and continuity conditions into the neural network’s (NN) loss function, bridging conventional numerical simulations and data-driven methods. A numerical model for the slipper–swashplate interface was established using the Finite Difference Method (FDM) to generate datasets for training two PINN model variants that incorporate physical constraints, as well as a counterpart pure-data-driven Neural Network (NN) model. The validation shows excellent accuracy of the PINN models (the relative error below 5%) compared with the counterpart NN model (the relative error about 8%). Regarding prediction runtime, the trained PINN and NN models reduce computational time by 99.4% relative to the FDM approach. The study highlights the capabilities and limitations of PINN in tribology, stressing explicit geometric constraints for physical consistency. This study presents an efficient surrogate model for real-time lubrication assessment, establishes a framework for using PINNs in complex tribological systems, and contributes to hydraulic system design optimization and condition monitoring to enable more efficient operation of axial piston pumps. © 2026 The Author(s).",Axial piston pumps; Finite difference methods (FDM); Oil film thickness; Physics-informed neural network (PINN); Slipper pair,Condition monitoring; Film thickness; Hydraulic equipment; Interfaces (materials); Lubricating oils; Neural networks; Numerical methods; Numerical models; Reynolds equation; Tribology; Axial piston pump; Finite difference method; Finite-difference methods; Lubrication films; Neural network model; Neural-networks; Oil film thickness; Physic-informed neural network; Relative errors; Slipper pairs; Finite difference method; Forecasting,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105035498196
paper-0017,excluded,other_nonmaintenance,high,strict update: Pipeline design failure modeling not maintenance,Rezvanfar A.A.; Farokhi Nejad A.; Tamin M.N.; Dickhut T.; R. Koloor S.S.,"Rezvanfar, A.A. (60124608200); Farokhi Nejad, A. (56441180700); Tamin, M.N. (6603828319); Dickhut, T. (57195420133); R. Koloor, S.S. (60633837700)",60124608200; 56441180700; 6603828319; 57195420133; 60633837700,Data-driven machine learning and finite element-informed surrogate modeling for design optimization and failure prediction of reinforced thermoplastic pipes,2026,Journal of Materials Research and Technology,42,,,8557,8571,0,10.1016/j.jmrt.2026.05.062,https://www.scopus.com/pages/publications/105039050233?origin=resultslist,"Reinforced Thermoplastic Pipes (RTPs) offer a significant advantage as corrosion-resistant alternative to metallic pipelines, yet their mechanical performance under combined loading is not fully understood. This study proposes a comprehensive outline integrating finite element (FE) modeling with machine learning (ML) to predict RTP failure under multi-factorial conditions, including pressure, temperature, and bending. An LS-DYNA model of an experiment of flexural testing with 4.34% mean error validated the FE model and simulation of the RTP behavior with high accuracy. Through 135 parametric simulations, the diameter-to-thickness (D/t) ratio was identified as the most influential factor for bending moment capacity, while fiber orientation angle predominantly affected rotation angle at failure. A Random Forest regression model trained on this data achieved high predictive accuracy (R2 = 0.93 for bending moment, R2 = 0.97 for rotation angle). This ML-enhanced framework enabled the identification of optimal RTP designs, demonstrating significant potential for reducing computational costs and guiding future design optimization strategies for composite pipes. © 2026 The Authors.",Failure prediction; Finite element analysis; Machine learning; Pipeline design; Reinforced thermoplastic pipes,Corrosion resistance; Failure (mechanical); Forecasting; Learning systems; Machine learning; Optimization; Pipeline corrosion; Pipelines; Plastic pipe; Regression analysis; Reinforced plastics; Thermoplastics; Data driven; Design failures; Design optimization; Failures prediction; Finite element analyse; Machine-learning; Pipeline design; Reinforced thermoplastic pipe; Rotation angles; Surrogate modeling; Bending moments,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105039050233
paper-0018,excluded,business_social_finance,high,Supply chain resilience study,Freund A.; Jámbor Z.; Nagy J.,"Freund, Anna (57221614479); Jámbor, Zsófia (57207861248); Nagy, Judit (56714870900)",57221614479; 57207861248; 56714870900,A capability hierarchy for building resilience in multi-actor agri-food supply chains: a digitalisation perspective,2026,Journal of Manufacturing Technology Management,37,9,,19,39,0,10.1108/JMTM-12-2024-0718,https://www.scopus.com/pages/publications/105033445257?origin=resultslist,"Purpose – This study investigates how digital technologies support the development of resilience capabilities across the agri-food supply chain (AFSC). While prior research has identified multiple resilience capabilities, limited attention has been given to how these capabilities function as a structured system or how digitalisation enables capability development across different AFSC actors. The study addresses this gap by examining how foundational, operational and transformational capabilities emerge and interact in digitally enabled AFSCs. Design/methodology/approach – The research applies a qualitative, planned pragmatic multiple-case study design across six AFSC sub-sectors, including raw material producers, processors, manufacturers and retailers. Combining deductive grounding in resilience and the dynamic capabilities theory with inductive cross-case pattern identification, the study draws on 22 semi-structured interviews and supplementary field materials. The analysis followed an iterative abductive logic, integrating theoretical propositions with emergent insights on capability development and the role of digital technologies. Findings – The study confirms that AFSC actors rely on a shared set of ten core resilience capabilities organised into a hierarchical structure. Foundational capabilities support readiness and rapid response, operational capabilities enable recovery and stabilisation, while transformational capabilities facilitate long-term adaptation and strategic renewal. Digital technologies act as cross-cutting enablers: cloud systems and IoT strengthen foundational visibility, automation and predictive maintenance reinforce operational recovery and advanced analytics and AI support transformational adaptation. The findings validate all three propositions and demonstrate that the relevance of each capability shifts systematically across the resilience cycle. Originality/value – The study advances the resilience theory by conceptualising resilience as a multi-level capability architecture rather than a flat set of practices. It introduces the Digital Resilience Capability Architecture, which explains how digitalisation enables progression across capability layers. Methodologically, the research demonstrates the value of a planned pragmatic case design for studying complex socio-technical phenomena such as digital resilience in AFSCs. © 2026 Anna Freund, Zsófia Jámbor and Judit Nagy",Agri-food supply chain; Capability hierarchy; Digitalisation; Dynamic capabilities; Food manufacturing; Resilience,Agri-food; Food supply; Iterative methods; Predictive maintenance; Agri-food supply chains; Capability development; Capability hierarchy; Digital technologies; Digitalization; Dynamics capability; Food manufacturing; Multi actors; Resilience; Supply chain actors; Predictive analytics,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105033445257
paper-0022,excluded,generic_nonmaintenance_ai_control,high,"controversial scan: Micro-brewery sensor architecture emphasizes brewing sustainability, quality forecasting, and fermentation/process control; equipment maintenance is only a possible use case.",Nettesheim P.; Burggräf P.; Steinberg F.,"Nettesheim, Philipp (58480865700); Burggräf, Peter (36637002600); Steinberg, Fabian (57218711696)",58480865700; 36637002600; 57218711696,A design concept for data-driven brewing: sensor-based system architecture and ML applications for sustainability in micro-breweries,2026,Discover Artificial Intelligence,6,1,307,,,0,10.1007/s44163-026-01175-6,https://www.scopus.com/pages/publications/105035900385?origin=resultslist,"Breweries, as part of the food manufacturing sector, face increasing demands to reconcile traditional craftsmanship with modern expectations for sustainability, efficiency, and consistent product quality. Recent advances in digitalization and machine learning (ML) offer new opportunities to monitor, predict, and optimize complex production processes such as brewing. For micro-breweries, however, the practical implementation of such technologies remains particularly challenging, as they often lack both the technical infrastructure and a clear framework for how process data can be systematically collected and used to enable predictive maintenance, quality forecasting, and real-time optimization. Here we show an integrated concept based on a sensor- and ML-driven system architecture that supports data-driven decision-making across critical stages of the brewing process, contributing to resource efficiency and process stability. The proposed concept defines specific use cases and maps them to relevant sensor signals and ML models, including Support Vector Machines, neural networks, and reinforcement learning. A modular system architecture is proposed, linking IO-Link sensors, a process control system, and a time-series database to enable real-time feedback and model-based process control. The study highlights the need for high-resolution sensor data to compensate for raw material variability and to stabilize biological processes, particularly during fermentation. These findings provide a practical blueprint for micro-breweries seeking to implement intelligent process monitoring and control. The proposed framework lays the foundation for future prototyping and empirical validation and supports the broader digital transformation of sustainable food production. © The Author(s) 2026.",Artificial intelligence; Brewing process; Food industry; Food manufacturing; Machine learning applications; Smart solutions; Sustainability,Brewing; Forecasting; Learning systems; Metadata; Predictive maintenance; Process control; Process monitoring; Software architecture; Support vector machines; Brewing process; Data driven; Design concept; Food industries; Food manufacturing; Machine learning applications; Machine-learning; Sensor based systems; Smart solutions; Systems architecture; Decision making,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105035900385
paper-0031,excluded,environment_natural_system,medium,Mine strata seepage mechanisms,Dong J.; Liu H.; Sun W.; Liu X.; Tao Z.,"Dong, Jiaxu (59748766200); Liu, Hao (57209844202); Sun, Wenbin (55485180000); Liu, Xinxue (59748783000); Tao, Zhijie (59748775300)",59748766200; 57209844202; 55485180000; 59748783000; 59748775300,Fracture propagation and water seepage behavior in overburden strata at Tunbao coal mine,2026,Scientific Reports,16,1,291,,,0,10.1038/s41598-025-29348-w,https://www.scopus.com/pages/publications/105026724025?origin=resultslist,"This study investigates water inrush mechanisms in goaf roof strata through multi-scale analysis of fracture network evolution and seepage dynamics. A three-zone overburden model was established via PFC3D simulation and validated with experimental data. Coupled PFC-CFD simulations reveal that seepage is governed by the interplay of pressure gradients, fracture pathways, and flow rates. Key findings include: nonlinear attenuation of pressure gradients amplifies flow velocities in dominant channels; increased injection rates widen effective channels by 86%; and high-velocity flow enhances permeability through erosion, resulting in significant directional anisotropy. These results provide insight into the positive feedback mechanisms controlling dynamic seepage in fractured rock masses. © The Author(s) 2025.",Failure prediction; Hydraulic properties; Overburden strata fracture; Water seepage behavior,article; coal mining; drug therapy; fracture; human; prediction; water,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105026724025
