query_index,normalized_task,normalized_case_study_type,normalized_case_study,normalized_online_offline,normalized_input_for_model,normalized_input_type,active__normalized_task,active__normalized_case_study_type,active__normalized_case_study,active__normalized_online_offline,active__normalized_input_for_model,active__normalized_input_type,active_content_fields,active_beyond_task,query_information_pattern
1,Health assessment,,,,,,True,False,False,False,False,False,1,0,task
2,Remaining useful life estimation,,Solid/Liquid Hybrid Electrolyte Lithium-ion Battery (SLE-LIB),,,"FactsImpedanceFeatures, FactsecmParametersTemperature",True,False,True,False,False,True,3,2,task+case_study+input_type
3,Fault detection,,,,,"conduction current, real component of complex permittivity, FactsSpaceCharge",True,False,False,False,False,True,2,1,task+input_type
4,Fault identification,,,,,"FactsCurrentSignal, FactsSpeedSignal, FactsTemperatureSignal, FactsVoltageSignal",True,False,False,False,False,True,2,1,task+input_type
5,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
6,Remaining useful life estimation,,,,,"FactsCapacityMeasure, charge/discharge conditions, environmental factors, internal electrochemical evolution",True,False,False,False,False,True,2,1,task+input_type
7,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
8,Fault detection,,15 kg LPG pressure vessel,,,FBG strain signal,True,False,True,False,False,True,3,2,task+case_study+input_type
9,One step future state forecast,,Self-Excited Induction Generator,,,"Capacitance variation, FactsExcitationCapacitance, load variation, rotor speed",True,False,True,False,False,True,3,2,task+case_study+input_type
10,Fault detection,,,,,"FactsRms_2, FactsspectralEnergyRatios",True,False,False,False,False,True,2,1,task+input_type
11,Fault identification,,modeled pipeline segment,,,,True,False,True,False,False,False,2,1,task+case_study
12,One step future state forecast,,real aircraft composite structure (subject under test),,,,True,False,True,False,False,False,2,1,task+case_study
13,Fault identification,,cutter c4,,,"FactsAcousticData, FactsDenoising, FactsMultiSensorData, FactsPrimaryCuttingForce, FactsTemperatureData, FactsTimeFrequencyInputs, FactsToolVibrations, Factsscalogram1",True,False,True,False,False,True,3,2,task+case_study+input_type
14,Fault detection,,44.10 kWp array,,,,True,False,True,False,False,False,2,1,task+case_study
15,Remaining useful life estimation,,,,,"FactsIsolationForestFeature, FactsNoveltyFeature, FactsThermalImaging, FactsUavImages, FactsVibrationData",True,False,False,False,False,True,2,1,task+input_type
16,One step future state forecast,,,,,"FactsTimeFrequencyFeature, Factsvibrationsignal_1",True,False,False,False,False,True,2,1,task+input_type
17,Fault detection,,,,,"FactsTemperatureSpike, FactsVoltageAnomaly, Factsdataset1_2",True,False,False,False,False,True,2,1,task+input_type
