query_index,facts_file,case_count,additional_cases_not_used,triples_after_cleanup,rdfstar_reification_blocks_removed,explicit_task_evidence,Reference,informative__Reference,Publication Year,informative__Publication Year,Task,informative__Task,Case study,informative__Case study,Case study type,informative__Case study type,Input for the model,informative__Input for the model,Number of input variables,informative__Number of input variables,Input type,informative__Input type,Data Pre-processing,informative__Data Pre-processing,Model Approach,informative__Model Approach,Model Type,informative__Model Type,Models,informative__Models,Online/Off-line,informative__Online/Off-line,Number of failure modes,informative__Number of failure modes,Performance indicator,informative__Performance indicator,Performance,informative__Performance,Complementary notes,informative__Complementary notes,Study title,informative__Study title,Publication identifier,informative__Publication identifier
1,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_007742b6c86c.ttl,1,0,211,196,True,1,True,2021,False,Health assessment,True,FactsHemisphereStructure,False,Maintainable item,False,Not reported,False,1,True,FactsPixelCount,False,no,False,Single model,True,Not reported,False,Factsmethod_3,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,FactsLdedStudy,False,urn:ontocast:facts:FactsLdedStudy,False
2,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_021ea55a70f1.ttl,1,0,174,159,True,1,True,2026,True,Remaining useful life estimation,True,Solid/Liquid Hybrid Electrolyte Lithium-ion Battery (SLE-LIB),True,Maintainable item,False,Not reported,False,2,True,"FactsImpedanceFeatures, FactsecmParametersTemperature",False,no,False,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,FactsarticleImpedanceModeling,False,urn:ontocast:facts:FactsarticleImpedanceModeling,False
3,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_046ebc06c607.ttl,1,0,212,195,True,1,True,2021,False,Fault detection,True,FactsLongCable,False,Maintainable item,False,Not reported,False,3,True,"conduction current, real component of complex permittivity, FactsSpaceCharge",True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: electrical property (used to evaluate insulation degradation),True,FactsArticle1_11,False,urn:ontocast:facts:FactsArticle1_11,False
4,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_051f27a6a164.ttl,1,0,168,153,True,1,True,2026,True,Fault identification,True,FactsCncFeedDrive,False,Maintainable item,False,Not reported,False,4,True,"FactsCurrentSignal, FactsSpeedSignal, FactsTemperatureSignal, FactsVoltageSignal",False,yes,True,Multi model,True,Predictive maintenance case,True,"FactsExperiment1_1, Predictive maintenance (PdM) strategy extracted from text",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsModuleDesignDetail, FactsPatientRobotInteraction, FactsSignalToNoiseIssue, FactsThermalCues",True,Factsarticle1_22,False,urn:ontocast:facts:Factsarticle1_22,False
5,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_08d54e2673f7.ttl,2,1,96,81,True,1,True,2021,False,Fault detection,True,Not reported,False,Maintainable item,False,Not reported,False,1,True,Factsintegerparameter_1,False,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsAperture, FactsExampleUla, FactsPeakSidelobeLevel, FactsSteeringVectorConcept",True,FactsPaper1,False,urn:ontocast:facts:FactsPaper1,False
6,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_098cb9c7ac60.ttl,3,2,168,153,True,1,True,2026,True,Remaining useful life estimation,True,FactsBattery1,False,Maintainable item,False,Not reported,False,4,True,"FactsCapacityMeasure, charge/discharge conditions, environmental factors, internal electrochemical evolution",True,yes,True,Multi model,True,"Algorithm, Predictive maintenance system module, Predictive Maintenance Article",True,"interpretable autoencoder for health indicator construction, LSTM-based RUL prediction, federated learning framework for distributed scenarios",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: battery degradation patterns, FactsFrequencyDomainUnderexploited, FactsSelfAttentionComplexity, FactsStaticFusionLimitation",True,FactsArticle1_7,False,urn:ontocast:facts:FactsArticle1_7,False
7,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0d538c41d5c9.ttl,1,0,130,114,False,1,True,2021,False,One step future state forecast,False,FactsPcdBearing,False,Maintainable item,False,Not reported,False,1,True,FactsmaxRotationalSpeed,False,yes,True,Multi model,True,predictive maintenance module function,True,"FactsActiveModelbasedBalancing, FactsCalibratedMultibodyFramework",False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Keywords: PCD bearings; turbomachinery; multibody dynamic modelling; experimental modal validation; subsea machinery monitoring; rotor balancing; non-linear contact forces; Design details: FactsContactForceModelSelection, FactsHighClearanceConfiguration, FactsHighTemperatureStability, FactsIntegrationExperimentalModalAnalysisAndTransientContactSimulations, FactsValidationRubImpactReplication",True,FactsStudy_1,False,urn:ontocast:facts:FactsStudy_1,False
8,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0e5bc1020e80.ttl,2,1,246,229,True,1,True,2021,False,Fault detection,True,15 kg LPG pressure vessel,True,Maintainable item,False,Not reported,False,1,True,FBG strain signal,True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: bonding quality, carrier-resolved waveform analysis, dense sensor layouts, multiresolution wavelet analysis design detail, FBG effectiveness dependencies, increased hardware complexity, high-sensitivity strain measurement, high-speed acquisition systems, immune to electromagnetic interference, interrogation bandwidth, lightweight, low-complexity monitoring scenarios, practicality for low-cost deployment, relationship between measured optical response and structural wavefield, sensor orientation, improved signal interpretation",True,present study,True,urn:ontocast:facts:FactsThisStudy_1,False
9,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1015dc489115.ttl,1,0,198,180,True,1,True,2021,False,One step future state forecast,True,Self-Excited Induction Generator,True,Maintainable item,False,Not reported,False,4,True,"Capacitance variation, FactsExcitationCapacitance, load variation, rotor speed",True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: excitation capacitance,True,Study [11],True,urn:ontocast:facts:Factsdoc1,False
10,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_13663772d3a7.ttl,1,0,154,138,True,1,True,2026,True,Fault detection,True,Factsspindlemotor_3,False,Maintainable item,False,Not reported,False,2,True,"FactsRms_2, FactsspectralEnergyRatios",False,yes,True,Single model,True,Predictive maintenance system module,True,CNN-LSTM classifier (downstream),True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Keywords: Transformer-based Variational Autoencoder; vibration; spindle motor; anomaly detection; data augmentation; Design details: FactsKlAnnealing, FactsMultiHeadSelfAttention, FactsPositionalEncoding, FactsdesignDetailVibration",True,Factsarticle1_26,False,urn:ontocast:facts:Factsarticle1_26,False
