id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-2514,medium,generic_method_civil_shm,review_exclude,Virtual-sensing paper evaluated partly on train-bridge live-load prediction; maintenance use is only potential and includes civil SHM.,Graph neural networks for virtual sensing in complex systems: Addressing heterogeneous temporal dynamics
paper-2529,low,generic_process_monitoring,review_keep,Industrial process anomaly visualization in a robotic cell; asset-maintenance purpose is not explicit beyond PdM framing.,Time-Shifted Maps for Industrial Data Analysis: Monitoring Production Processes and Predicting Undesirable Situations
paper-2538,high,civil_infrastructure,review_exclude,Urban water-supply infrastructure asset management for buried pipes; civil utility infrastructure rather than industrial/electromechanical equipment.,Ilorin metropolitan water supply infrastructure (WSI) asset management under limited data
paper-2547,medium,generic_ai_energy,review_exclude,"Broad generative-AI solar-energy overview spanning design, site selection, forecasting, and grids; predictive maintenance is only one application.",Revolutionizing solar energy resources: The central role of generative AI in elevating system sustainability and efficiency
paper-2591,medium,business_process_management,review_keep,AI-enhanced FMEA/RPN prediction for business-process risk in glass manufacturing; maintenance planning is secondary and asset target is vague.,Optimization of Business Processes Using Artificial Intelligence
paper-2617,medium,infrastructure_it_equipment,review_keep,Highway toll on-board-unit status monitoring also targets fee evasion/transactions; maintenance of the device is secondary.,Real-Time Monitoring of On-Board Unit Status in Highway Electronic Toll Collection Systems Using Graphsage-Based Heterogeneous Graph Learning
paper-2639,high,civil_infrastructure,review_exclude,Road-network maintenance backlog decision study; civil road infrastructure and budgeting rather than predictive maintenance of equipment.,Exploring information needed in maintenance backlog-related decision-making in the Finnish road network
paper-2672,medium,operations_safety_monitoring,review_exclude,"Wheel-rail friction estimation supports low-adhesion mitigation and operations safety, not fault/degradation maintenance of an asset.",Estimation of wheel-rail friction coefficient using deep CNN on axlebox accelerations
paper-2676,low,business_management,review_keep,"Enterprise-level economic/adoption study of PdM benefits; not an asset-level predictive-maintenance method, though explicitly PdM-related.","Predictive Maintenance Algorithms, Artificial Intelligence Digital Twin Technologies, and Internet of Robotic Things in Big Data-Driven Industry 4.0 Manufacturing Systems"
paper-2679,low,data_quality_supporting_monitoring,review_keep,Missing-data imputation for UPFC submodule monitoring; maintenance relevance is indirect through condition/fault-warning data quality.,Research on Missing Data Estimation Method for UPFC Submodules Based on Bayesian Multiple Imputation and Support Vector Machines
