id,controversy_level,normalized_reason_category,subagent_reason_category,recommended_action,brief_reason,current_screening_confidence,current_screening_notes,pdf_present,title,year,source,doi
paper-0019,medium,medical_bio_non_equipment,generic_ai_unclear_maintenance,review_keep,"Consumer-electronics maintenance is mentioned, but the abstract blends personalization and biometric security with no concrete asset fault or degradation case.",high,Consumer electronics predictive maintenance,yes,AI driven system for enhancing consumer electronics through maintenance personalization and security,2026,Scientific Reports,10.1038/s41598-026-37401-5
paper-0058,medium,process_quality_not_maintenance,data_quality_support_not_asset_fault,review_keep,"Detects and imputes anomalous/missing vessel data for digital-twin development, not actual marine-engine faults or maintenance needs.",medium,Marine engine data supports condition monitoring,no,Localized anomaly detection and recovery of marine engine data to support digital twin development in shipping,2026,Ocean Engineering,10.1016/j.oceaneng.2026.124356
paper-0089,medium,process_quality_not_maintenance,operational_performance_monitoring,review_keep,Renewable-energy production-imbalance detection is framed around performance/security; asset failure prevention is asserted but maintenance linkage is weak.,high,Renewable energy anomaly detection,yes,Adaptive Thresholding for Production Imbalance Detection in Renewable Energy Systems Using Statistical and Machine Learning Models,2026,International Journal of Intelligent Engineering and Systems,10.22266/ijies2026.0430.01
paper-0237,medium,sensor_material_only,environmental_vibration_study,review_keep,AC motor vibration study mainly characterizes vibration and environmental impact; predictive maintenance is presented as a future/use implication.,medium,motor vibration analysis,no,EXPERIMENTAL STUDY ON VIBRATION CHARACTERISTICS OF AN AC SYNCHRONOUS MOTOR AND THEIR ENVIRONMENTAL IMPACT,2026,International Journal of GEOMATE,10.21660/2026.140.g15191
paper-0251,medium,process_quality_not_maintenance,process_temperature_prediction,review_keep,"Extruder nozzle temperature prediction may help avoid clogging/failure, but the study is closer to additive-manufacturing process monitoring.",medium,nozzle failure monitoring,no,An ensemble stacking machine learning model for temperature prediction of extruder nozzle in an additive manufacturing process,2026,Engineering Research Express,10.1088/2631-8695/ae5917
paper-0293,medium,performance_or_energy_optimization,lab_scale_operational_anomaly,review_keep,Lab-scale pipe-flow digital twin detects flow-rate anomalies; predictive-maintenance use for hydro turbines is only prospective.,medium,pipe anomaly detection,no,Digital twin of a pipe conveying fluid: Flow rate anomaly detection and quantification via multi-fidelity Kalman filters and event based cameras signals,2026,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114027
paper-0300,medium,performance_or_energy_optimization,operational_control_strategy,review_keep,"Gas-turbine transient performance/control study discusses reliability and FDD, but primary contribution is control strategy rather than maintenance prediction.",medium,gas turbine diagnostics,no,Transient performance and control strategy of three shaft variable geometry industrial gas turbines,2026,Aerospace Science and Technology,10.1016/j.ast.2026.111718
paper-0602,medium,process_quality_not_maintenance,process_supervision,review_keep,AI/LLM architecture is mainly batch-process/CIP supervision; equipment health and preventive maintenance are secondary.,medium,Industrial batch process PdM decision support,yes,Hybrid AI and LLM-Enabled Agent-Based Real-Time Decision Support Architecture for Industrial Batch Processes: A Clean-in-Place Case Study,2026,AI (Switzerland),10.3390/ai7020051
paper-0652,medium,software_it_cyber,software_it_network,review_keep,Predicts optical-network amplifier failures; boundary between physical telecom equipment PdM and IT/network service reliability is ambiguous.,high,Optical amplifier failure prediction,no,Failure Prediction in Optical Transport Networks Through the Integration of Digital Twins and Deep Learning,2026,Journal of Lightwave Technology,10.1109/JLT.2026.3655186
paper-0738,medium,civil_geotechnical_infrastructure,broad_review_infrastructure,review_keep,"Broad Drone-of-Things/AI overview for power sector; predictive maintenance is one application among many, not a focused PdM study.",high,Power infrastructure drone inspection,yes,AI APPLICATIONS FOR DRONE OF THINGS IN THE POWER SECTOR,2026,Journal of Engineering and Technology for Industrial Applications,10.5935/jetia.v12i57.3030
