corpus_id,old_decision,new_decision,controversy_level,normalized_reason_category,mapped_screening_reason_category,brief_reason,pdf_present_before,Title,DOI,Source title
paper-0002,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Focuses on manufacturing quality-control ensemble fusion; asset degradation or maintenance decision is only a keyword-level linkage.,no,ExpLusion: Explanation-driven Late Fusion for enhanced production process monitoring,10.1016/j.cie.2026.112101,Computers and Industrial Engineering
paper-0022,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Micro-brewery sensor architecture emphasizes brewing sustainability, quality forecasting, and fermentation/process control; equipment maintenance is only a possible use case.",yes,A design concept for data-driven brewing: sensor-based system architecture and ML applications for sustainability in micro-breweries,10.1007/s44163-026-01175-6,Discover Artificial Intelligence
paper-0098,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,"Targets railway track defects/anomaly detection, a civil/rail infrastructure condition-monitoring case excluded under the strict criteria.",yes,Online Track Anomaly Detection: Comparison of Different Machine Learning Techniques Through Injection of Synthetic Defects on Experimental Datasets,10.3390/machines14040424,Machines
paper-0440,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,"Industrial data imputation method is motivated by control/fault detection/PdM, but evaluates missing-value reconstruction rather than asset condition.",yes,An Implicit-Explicit Diffusion Model for Industrial Data Imputation,10.3390/app16083826,Applied Sciences (Switzerland)
paper-0659,included,excluded,high,software_it_cyber,software_it_cyber,Targets 5G radio link failures and QoS alerts rather than maintenance of a clearly defined physical asset.,no,Predictive Maintenance and Reliability in Intelligent 5G Networks Based on Graph Neural Networks,10.1109/ACCESS.2026.3673933,IEEE Access
paper-0767,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,Scaffolding construction safety inspection/PHM is a temporary civil structure context rather than engineered-equipment PdM.,yes,Artificial intelligence-driven safety assessment of scaffolding using LiDAR sensing,10.3389/fbuil.2026.1723491,Frontiers in Built Environment
paper-0835,included,excluded,high,performance_or_energy_optimization,generic_nonmaintenance_ai_control,NPP digital twin is primarily for robot behavior simulation and plant performance; PdM is incidental with no degradation model.,no,iFANnpp: Nuclear power plant digital twin for robots and autonomous intelligence,10.1016/j.anucene.2025.111993,Annals of Nuclear Energy
paper-1109,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,Clean-water service lines are water-distribution infrastructure; strict criteria exclude non-equipment civil infrastructure.,yes,Predictive Rehabilitation of Clean Water Customer Connections Leveraging Machine Learning Algorithms and Failure Time Series Data,10.3390/w18010110,Water (Switzerland)
paper-1157,included,excluded,high,software_it_cyber,software_it_cyber,"Condition monitoring of a 5G railway communication network; target is telecom service reliability, not physical-asset maintenance.",yes,Condition Monitoring Technology and Its Testing for 5G-Enabled High-Speed Railway Wireless Communication Networks: Guaranteeing the Reliability of Train–Ground Communication,10.3390/machines13121087,Machines
paper-1195,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Classifies in-control/out-of-control states in potato-chip frying; this is process QC more than asset maintenance.,yes,A digital pheromone-based approach for in-control/out-of-control classification,10.46298/cm.16690,Communications in Mathematics
paper-1234,included,excluded,high,software_it_cyber,software_it_cyber,"Sewer-network pipe failures and blockages are civil water infrastructure, a strict-scope exclusion.",yes,Integrating dynamic features into machine learning models for predicting sewer network failures: a Random Forest approach,10.1080/1573062X.2025.2589081,Urban Water Journal
paper-1255,included,excluded,high,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"Second-life battery PV-storage viability for rural heating; no condition monitoring, RUL, or maintenance decision is central.",no,On the Viability of Reused Vehicle Li-Ion Batteries as PV Storage for High-Altitude Rural Areas: Case Study in Cusco-Peru,10.1109/ACCESS.2026.3657190,IEEE Access
paper-1278,included,excluded,high,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"End-of-discharge time prognosis is operational battery depletion/SOC forecasting, not degradation, SOH, or RUL maintenance.",yes,Quasi-Instantaneous Battery End-of-Discharge Time Prognosis with Non-Stationary Autoregressive Exogenous Inputs,10.36001/ijphm.2026.v17i1.4704,International Journal of Prognostics and Health Management
paper-1287,included,excluded,high,business_social,business_social_finance,"Smart printing lab framework emphasizes workflow, defects, energy and management; the maintenance link is generic.",yes,SMART PRINTING LABS: AI-ENABLED MANAGEMENT SYSTEMS,10.29121/shodhkosh.v6.i3s.2025.6769,ShodhKosh: Journal of Visual and Performing Arts
paper-1297,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Roll-to-roll printing waste/yield DMAIC case; condition-based maintenance is only one intervention, not primary PdM.",yes,Reducing waste and increasing yield in roll-to-roll printing: a case study with global scalability,10.1007/s00170-025-16931-8,International Journal of Advanced Manufacturing Technology
paper-1332,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Thermocouple fabrication/calibration for UAV temperature measurement; no fault diagnosis, prognosis, or maintenance decision.",yes,Improved nicrnisi thin-film thermocouple manufacturing process enables accurate temperature measurement of UAV engines,10.70917/ijcisim-2026-1813,International Journal of Computer Information Systems and Industrial Management Applications
paper-1421,included,excluded,high,business_social,business_social_finance,"Predicts indoor air quality in labs; maintenance is IAQ/ventilation management, not clearly asset condition.",no,A Maintenance 4.0 Framework for Proactive Indoor Air Quality Management in Laboratory Environments,10.1155/ina/6839868,Indoor Air
paper-1457,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,Railway defect inspection with LLM/DT likely concerns rail infrastructure/visual defects rather than vehicles or equipment.,yes,DefectTwin: When LLM Meets Digital Twin for Railway Defect Inspection,10.1109/ACCESS.2026.3681818,IEEE Access
paper-1474,included,excluded,high,weak_maintenance_link,other_nonmaintenance,Industrial IoT decisions/anomaly detection on environmental telemetry; asset or failure target is unclear.,yes,NeuroFusionNet Adaptive Deep Learning for Intelligent Real-Time Industrial IoT Decisions,10.14569/IJACSA.2025.0161214,International Journal of Advanced Computer Science and Applications
paper-1549,included,excluded,high,software_it_cyber,software_it_cyber,Primary contribution is REST API performance/security for a vehicle monitoring system; PdM is framed as a future use.,yes,Performance analysis of REST API in a real-time IoT-based vehicle monitoring system,10.11591/ijres.v14.i3.pp766-784,International Journal of Reconfigurable and Embedded Systems
