id,update_decision,new_reason_category,confidence,notes
paper-2408,keep,still_relevant_physical_asset_maintenance,high,Gas pipeline fault detection management
paper-2409,keep,still_relevant_physical_asset_maintenance,medium,Torque sensing supports drivetrain maintenance
paper-2421,newly_exclude,generic_nonmaintenance,high,Generic edge ML without asset case
paper-2431,keep,still_relevant_physical_asset_maintenance,high,Robot condition monitoring for CBM
paper-2434,newly_exclude,generic_structural_material,medium,Pipeline weld fatigue mechanics only
paper-2437,keep,still_relevant_physical_asset_maintenance,medium,Water network predictive maintenance opportunities
paper-2444,keep,still_relevant_physical_asset_maintenance,high,Industrial machine failure prediction
paper-2469,newly_exclude,heritage_culture_building,high,Cultural heritage conservation system
paper-2471,keep,still_relevant_physical_asset_maintenance,high,Fuel cell stack failure diagnosis
paper-2479,keep,still_relevant_physical_asset_maintenance,medium,Crusher blade wear supports CBM
paper-2490,newly_exclude,generic_nonmaintenance,medium,End of line motor quality inspection
paper-2497,newly_exclude,heritage_culture_building,high,Smart building energy models
paper-2498,keep,still_relevant_physical_asset_maintenance,high,Machine spindle condition monitoring
paper-2500,newly_exclude,generic_nonmaintenance,medium,PV power forecasting not maintenance
paper-2507,keep,still_relevant_physical_asset_maintenance,medium,Battery degradation supports BMS reliability
paper-2513,keep,still_relevant_physical_asset_maintenance,high,IIoT architecture enables oil gas PdM
paper-2523,newly_exclude,generic_nonmaintenance,high,Generic signal imputation method
paper-2526,keep,still_relevant_physical_asset_maintenance,high,Geothermal pump condition monitoring
paper-2528,keep,still_relevant_physical_asset_maintenance,medium,Pipe crack detection supports leak prevention
paper-2529,keep,still_relevant_physical_asset_maintenance,medium,Industrial process monitoring for PdM
paper-2533,keep,still_relevant_physical_asset_maintenance,high,Marine engine maintenance optimization
paper-2535,keep,still_relevant_physical_asset_maintenance,high,Centrifugal pump fault diagnosis
paper-2537,keep,still_relevant_physical_asset_maintenance,medium,Compressor system maintenance optimization
paper-2538,keep,still_relevant_physical_asset_maintenance,high,Water infrastructure asset management
paper-2543,keep,still_relevant_physical_asset_maintenance,medium,Bearing defect vibration modeling
paper-2546,keep,still_relevant_physical_asset_maintenance,high,Hydropower turbine reliability analysis
