id,update_decision,new_reason_category,confidence,notes
paper-0002,keep,still_relevant_physical_asset_maintenance,medium,Manufacturing monitoring explicitly lists predictive maintenance
paper-0013,keep,still_relevant_physical_asset_maintenance,medium,Manufacturing anomaly RCA targets downtime
paper-0014,newly_exclude,generic_nonmaintenance,medium,Lubrication simulation lacks maintenance decision
paper-0015,keep,still_relevant_physical_asset_maintenance,medium,Naval steel corrosion monitoring via NDT
paper-0017,newly_exclude,generic_structural_material,high,Pipeline design failure modeling not maintenance
paper-0022,keep,still_relevant_physical_asset_maintenance,medium,Brewery architecture explicitly enables predictive maintenance
paper-0023,keep,still_relevant_physical_asset_maintenance,medium,Transformer DC bias state prediction
paper-0042,keep,still_relevant_physical_asset_maintenance,high,Generator capacitor degradation and faults
paper-0052,keep,still_relevant_physical_asset_maintenance,high,Wind blade crack severity for PdM
paper-0055,keep,still_relevant_physical_asset_maintenance,high,Web machine slip virtual sensor for PdM
paper-0058,keep,still_relevant_physical_asset_maintenance,medium,Marine engine data cleaning supports condition monitoring
paper-0059,newly_exclude,generic_structural_material,medium,Ignition mechanism lacks maintenance use-case
paper-0062,keep,still_relevant_physical_asset_maintenance,high,Battery impedance aging condition monitoring
paper-0064,newly_exclude,generic_nonmaintenance,high,Generic EIS method lacks asset use-case
paper-0075,keep,still_relevant_physical_asset_maintenance,high,Transformer insulation degradation and life loss
paper-0079,keep,still_relevant_physical_asset_maintenance,high,Industrial equipment RUL prediction
paper-0083,keep,still_relevant_physical_asset_maintenance,high,Machinery vibration condition monitoring sensor
paper-0089,keep,still_relevant_physical_asset_maintenance,high,Renewable facility anomaly detection for PdM
paper-0091,keep,still_relevant_physical_asset_maintenance,high,Optical amplifier fault prediction and reliability
paper-0100,keep,still_relevant_physical_asset_maintenance,high,Battery electrode degradation diagnosis
paper-0107,keep,still_relevant_physical_asset_maintenance,medium,Heliostat field condition monitoring calibration
paper-0108,keep,still_relevant_physical_asset_maintenance,medium,Hydraulic displacement sensing for condition monitoring
paper-0111,keep,still_relevant_physical_asset_maintenance,high,Crane jib fatigue reliability monitoring
paper-0115,keep,still_relevant_physical_asset_maintenance,high,Power module RUL prediction
paper-0123,keep,still_relevant_physical_asset_maintenance,high,Power cable health index assessment
paper-0125,keep,still_relevant_physical_asset_maintenance,medium,Aircraft condition monitoring parameter selection
paper-0126,keep,still_relevant_physical_asset_maintenance,medium,Smart grid disturbance and fault prediction
paper-0131,newly_exclude,generic_nonmaintenance,high,Generic RUL uncertainty framework lacks asset case
paper-0139,newly_exclude,generic_structural_material,medium,Polyimide aging study lacks maintenance decision
paper-0142,keep,still_relevant_physical_asset_maintenance,high,Predictive maintenance rare failure detection
paper-0151,keep,still_relevant_physical_asset_maintenance,high,Concrete infrastructure maintenance decision modeling
paper-0153,keep,still_relevant_physical_asset_maintenance,medium,Offshore wind fatigue assessment from monitoring data
paper-0161,keep,still_relevant_physical_asset_maintenance,medium,CNC spindle error classification for reliability
paper-0162,keep,still_relevant_physical_asset_maintenance,medium,Telescope motor normal behavior monitoring
paper-0177,keep,still_relevant_physical_asset_maintenance,high,PV real-time fault diagnostics
paper-0181,newly_exclude,generic_structural_material,high,Composite failure mechanics lacks maintenance use-case
paper-0188,newly_exclude,generic_structural_material,medium,Numerical corrosion solver lacks asset case
paper-0191,newly_exclude,other_nonmaintenance,high,Dental restoration diagnostics not equipment maintenance
paper-0194,newly_exclude,heritage_culture_building,high,Cultural heritage risk prediction excluded
paper-0199,newly_exclude,heritage_culture_building,high,Residential building energy retrofit maintenance excluded
paper-0200,keep,still_relevant_physical_asset_maintenance,high,HV insulator condition monitoring classification
paper-0203,newly_exclude,generic_nonmaintenance,medium,Insulator leakage behavior lacks maintenance decision
paper-0218,keep,still_relevant_physical_asset_maintenance,high,BESS degradation-aware SOH dispatch
paper-0222,keep,still_relevant_physical_asset_maintenance,high,Industrial fan fatigue life assessment
paper-0236,keep,still_relevant_physical_asset_maintenance,high,Gear wear particle diagnostics
paper-0237,keep,still_relevant_physical_asset_maintenance,medium,Motor vibration analysis targets failures
paper-0240,keep,still_relevant_physical_asset_maintenance,medium,Rail track slab fatigue life prediction
paper-0241,keep,still_relevant_physical_asset_maintenance,high,RC corrosion prediction for proactive maintenance
paper-0242,keep,still_relevant_physical_asset_maintenance,high,Rail track defect detection condition monitoring
paper-0243,keep,still_relevant_physical_asset_maintenance,high,Wind gearbox bearing RUL prognostics
paper-0245,keep,still_relevant_physical_asset_maintenance,high,Tool wear trend prediction
paper-0248,keep,still_relevant_physical_asset_maintenance,medium,Fusion facility remote maintenance support
paper-0251,keep,still_relevant_physical_asset_maintenance,high,Extruder nozzle failure temperature prediction
paper-0260,newly_exclude,generic_nonmaintenance,high,Statistical lifetime model lacks asset use-case
paper-0267,keep,still_relevant_physical_asset_maintenance,high,Aircraft composite impact damage identification
paper-0270,keep,still_relevant_physical_asset_maintenance,high,TBM cutter online condition monitoring
paper-0272,keep,still_relevant_physical_asset_maintenance,high,Power plant fan status forecasting
paper-0275,keep,still_relevant_physical_asset_maintenance,medium,Compressor efficiency monitoring by vibration
paper-0276,newly_exclude,generic_nonmaintenance,high,Generic risk prediction lacks asset use-case
paper-0279,newly_exclude,generic_nonmaintenance,medium,Thermal tomography method lacks asset case
paper-0293,keep,still_relevant_physical_asset_maintenance,high,Pipe digital twin anomaly detection
paper-0300,keep,still_relevant_physical_asset_maintenance,medium,Gas turbine diagnostics and health modeling
paper-0313,keep,still_relevant_physical_asset_maintenance,high,EV battery SOH and aging management
paper-0323,keep,still_relevant_physical_asset_maintenance,high,Wire rope diameter health monitoring
paper-0329,newly_exclude,generic_nonmaintenance,medium,GIS defect mechanism lacks maintenance decision
paper-0334,keep,still_relevant_physical_asset_maintenance,high,Wind turbine condition monitoring
paper-0335,keep,still_relevant_physical_asset_maintenance,high,Bearing lubrication condition monitoring
paper-0337,keep,still_relevant_physical_asset_maintenance,high,Aircraft CFRP RUL prognostics
paper-0342,newly_exclude,generic_structural_material,high,Hydrogen tank mechanics lacks maintenance decision
paper-0353,keep,still_relevant_physical_asset_maintenance,high,HVAC fault diagnosis for predictive maintenance
paper-0358,keep,still_relevant_physical_asset_maintenance,medium,Library enables rotating machinery condition monitoring
paper-0375,keep,still_relevant_physical_asset_maintenance,high,Aero-engine liner remaining life prediction
paper-0376,keep,still_relevant_physical_asset_maintenance,high,Industrial asset degradation prognostics
paper-0382,keep,still_relevant_physical_asset_maintenance,high,RC corrosion NDT condition prediction
paper-0384,keep,still_relevant_physical_asset_maintenance,high,CFRP delamination RUL prognostics
paper-0386,keep,still_relevant_physical_asset_maintenance,high,Train coupler anomaly detection
paper-0390,keep,still_relevant_physical_asset_maintenance,high,Electrolyzer RUL and PHM
paper-0403,keep,still_relevant_physical_asset_maintenance,high,Marine engine proactive fault prediction
paper-0406,keep,still_relevant_physical_asset_maintenance,high,Automotive engine defect diagnosis for PdM
paper-0413,newly_exclude,generic_structural_material,medium,Aqueduct FEM assessment lacks maintenance decision
paper-0428,keep,still_relevant_physical_asset_maintenance,medium,PV cable insulation degradation assessment
paper-0431,keep,still_relevant_physical_asset_maintenance,medium,Industrial machine dataset supports PdM
paper-0432,keep,still_relevant_physical_asset_maintenance,high,Power grid cascading fault prediction
paper-0436,keep,still_relevant_physical_asset_maintenance,high,EV battery degradation monitoring for inspection
paper-0440,keep,still_relevant_physical_asset_maintenance,medium,Industrial data imputation supports PdM
paper-0441,keep,still_relevant_physical_asset_maintenance,medium,In-service cracked pipeline failure assessment
paper-0442,keep,still_relevant_physical_asset_maintenance,high,Gearbox fault severity classification
paper-0446,keep,still_relevant_physical_asset_maintenance,high,SOFC fault diagnosis and propagation
paper-0447,keep,still_relevant_physical_asset_maintenance,medium,Harvester enables machinery condition monitoring
paper-0451,keep,still_relevant_physical_asset_maintenance,medium,PV module characterization supports condition monitoring
paper-0455,newly_exclude,generic_structural_material,medium,Drill-pipe strength prediction lacks maintenance use-case
paper-0459,newly_exclude,generic_nonmaintenance,medium,Temperature forecasting lacks maintenance objective
paper-0460,newly_exclude,generic_structural_material,high,Pipe fracture mechanics lacks maintenance decision
paper-0466,keep,still_relevant_physical_asset_maintenance,high,Wind turbine gearbox fault diagnosis
paper-0470,newly_exclude,generic_nonmaintenance,high,Generic digital twin framework lacks asset case
paper-0477,keep,still_relevant_physical_asset_maintenance,medium,Retrofitting industrial equipment for fault diagnosis
paper-0482,keep,still_relevant_physical_asset_maintenance,high,Second-life battery degradation-aware RUL management
paper-0490,keep,still_relevant_physical_asset_maintenance,high,Mine shaft maintenance decision model
paper-0494,newly_exclude,geotechnical_natural_hazard,high,Tunnel stability prediction in clay excluded
paper-0504,newly_exclude,generic_nonmaintenance,high,Broad AI energy overview lacks maintenance case
paper-0518,keep,still_relevant_physical_asset_maintenance,high,Circuit breaker health assessment and overhaul
paper-0520,keep,still_relevant_physical_asset_maintenance,high,Cycloidal gear run-to-failure degradation
paper-0524,keep,still_relevant_physical_asset_maintenance,high,Aero-engine FMU SOH prediction
paper-0538,newly_exclude,generic_nonmaintenance,medium,Filter performance study lacks maintenance decision
paper-0549,keep,still_relevant_physical_asset_maintenance,medium,Tool use policy optimizes RUL
paper-0550,keep,still_relevant_physical_asset_maintenance,high,Robotic arm predictive fault diagnosis
paper-0551,keep,still_relevant_physical_asset_maintenance,medium,Manufacturing platform optimizes reliability and PdM
paper-0559,newly_exclude,generic_structural_material,high,Cavitation erosion model lacks asset case
paper-0568,keep,still_relevant_physical_asset_maintenance,high,AMR ultrasonic condition monitoring framework
paper-0569,keep,still_relevant_physical_asset_maintenance,high,Condition-based maintenance optimization
paper-0572,keep,still_relevant_physical_asset_maintenance,medium,Hydrogen microgrid digital twin enables PdM
