id,decision,reason_category,confidence,notes
paper-2801,included,physical_asset_maintenance,high,Wear monitoring for tribocontact degradation
paper-2802,included,physical_asset_maintenance,high,Gearbox vibration fault diagnostics
paper-2803,included,physical_asset_maintenance,high,Wear prediction for cycloidal reducers
paper-2804,included,physical_asset_maintenance,high,Predictive maintenance RUL explainability
paper-2805,included,physical_asset_maintenance,high,Transformer winding fault detection
paper-2806,included,physical_asset_maintenance,high,PMSM bearing fault detection
paper-2807,included,physical_asset_maintenance,high,Assembly line failure prediction
paper-2808,excluded,other_nonmaintenance,high,Wind blade structural modeling only
paper-2809,included,physical_asset_maintenance,high,Rolling bearing fault diagnosis
paper-2810,excluded,generic_nonmaintenance_ai_control,medium,Liquid concentration sensor not asset health
paper-2811,included,physical_asset_maintenance,high,Pipeline clogging prognostics
paper-2812,included,physical_asset_maintenance,high,Production downtime predictive maintenance
paper-2813,included,physical_asset_maintenance,high,Oil equipment maintenance strategy selection
paper-2814,included,physical_asset_maintenance,high,NGL pump maintenance optimization
paper-2815,excluded,generic_nonmaintenance_ai_control,high,Robotic grasp failure not maintenance
paper-2816,included,physical_asset_maintenance,high,Metro predictive maintenance scheduling
paper-2817,included,physical_asset_maintenance,high,Tire lifecycle retreading optimization
paper-2818,included,physical_asset_maintenance,high,Ship valve RUL prediction
paper-2819,included,physical_asset_maintenance,high,Maritime battery SOH estimation
paper-2820,included,physical_asset_maintenance,high,Machine health monitoring review
paper-2821,included,physical_asset_maintenance,high,Wind turbine gearbox diagnostics
paper-2822,included,physical_asset_maintenance,high,Concreting equipment reliability prediction
paper-2823,excluded,generic_nonmaintenance_ai_control,medium,Pump optimization without maintenance aim
paper-2824,included,physical_asset_maintenance,high,Machine degradation data correction
paper-2825,included,physical_asset_maintenance,high,Preventive maintenance for degrading components
paper-2826,included,physical_asset_maintenance,high,Power module wire bond RUL
paper-2827,included,physical_asset_maintenance,high,Traction motor PHM state prediction
paper-2828,included,physical_asset_maintenance,high,Refinery equipment corrosion RUL
paper-2829,included,physical_asset_maintenance,high,Bearing transfer fault diagnosis
paper-2830,included,physical_asset_maintenance,high,Water pipe life prognosis
paper-2831,included,physical_asset_maintenance,high,Rotating plant predictive monitoring
paper-2832,included,physical_asset_maintenance,high,Rotating machine condition monitoring
paper-2833,excluded,other_nonmaintenance,high,Composite cylinder design failure analysis
paper-2834,included,physical_asset_maintenance,high,Rail crack monitoring
paper-2835,included,physical_asset_maintenance,high,Bearing RUL prediction
paper-2836,included,physical_asset_maintenance,high,Fuel cell lifetime prediction
paper-2837,excluded,generic_nonmaintenance_ai_control,high,Generic industrial metaverse framework
paper-2838,included,physical_asset_maintenance,high,Wear particle machinery monitoring
paper-2839,excluded,other_nonmaintenance,high,Masonry strengthening structural analysis only
paper-2840,included,physical_asset_maintenance,high,Cable replacement condition ranking
paper-2841,included,physical_asset_maintenance,high,Complex equipment maintenance optimization
paper-2842,included,physical_asset_maintenance,high,Harvester bolt state monitoring
paper-2843,included,physical_asset_maintenance,high,PV module ageing monitoring
paper-2844,included,physical_asset_maintenance,high,Lithium battery RUL prediction
paper-2845,excluded,clinical_human_outcome,high,Clinical organ segmentation
paper-2846,included,physical_asset_maintenance,high,Engine oil condition diagnostics
paper-2847,included,physical_asset_maintenance,high,Vibration dataset for predictive maintenance
paper-2848,included,physical_asset_maintenance,high,Vehicle diagnostics predictive maintenance
paper-2849,included,physical_asset_maintenance,high,Turbine runner condition monitoring
paper-2850,included,physical_asset_maintenance,high,Kaplan turbine bearing friction monitoring
paper-2851,included,physical_asset_maintenance,high,HVAC predictive maintenance
paper-2852,included,physical_asset_maintenance,high,Bearing anomaly detection for maintenance
paper-2853,included,physical_asset_maintenance,high,Road maintenance decision support
paper-2854,included,physical_asset_maintenance,high,Lithium battery RUL prediction
paper-2855,included,physical_asset_maintenance,high,Rolling bearing RUL prediction
paper-2856,included,physical_asset_maintenance,high,Turbogenerator predictive maintenance
paper-2857,included,physical_asset_maintenance,high,Agricultural hydraulic system fault diagnosis
paper-2858,included,physical_asset_maintenance,high,Battery RUL and knee prediction
paper-2859,included,physical_asset_maintenance,high,Fatigue crack detection prognosis
paper-2860,included,physical_asset_maintenance,high,CNC tool wear PHM
paper-2861,included,uncertain_but_included,medium,Human factors for maritime maintenance decisions
paper-2862,included,physical_asset_maintenance,high,Transformer health index prediction
paper-2863,included,physical_asset_maintenance,high,Bearing condition monitoring
paper-2864,included,physical_asset_maintenance,high,Wind turbine monitoring and maintenance
paper-2865,included,physical_asset_maintenance,high,Tool wear and RUL prognostics
paper-2866,excluded,generic_nonmaintenance_ai_control,high,Wearable AR interaction optimization
paper-2867,excluded,other_nonmaintenance,high,Composite material failure modeling
paper-2868,included,physical_asset_maintenance,high,Wind generator fault diagnosis
paper-2869,included,physical_asset_maintenance,medium,Server memory hardware failure prediction
paper-2870,excluded,generic_nonmaintenance_ai_control,high,Operator safety action detection
paper-2871,included,physical_asset_maintenance,high,Semiconductor ageing prognostics
paper-2872,included,physical_asset_maintenance,high,Aircraft engine RUL prediction
paper-2873,included,physical_asset_maintenance,high,Fuel cell maintenance scheduling
paper-2874,included,physical_asset_maintenance,high,BMU condition monitoring fault diagnosis
paper-2875,included,uncertain_but_included,medium,EOL product component condition decisions
paper-2876,excluded,generic_nonmaintenance_ai_control,high,CNC operational state detection only
paper-2877,included,physical_asset_maintenance,high,Marine battery fault prediction
paper-2878,included,physical_asset_maintenance,high,Power transformer RUL prediction
paper-2879,excluded,generic_nonmaintenance_ai_control,high,Urban digital twin wellness monitoring
paper-2880,included,physical_asset_maintenance,high,Wireless sensor battery SOH prediction
paper-2881,included,physical_asset_maintenance,high,Industrial gas leak monitoring
paper-2882,included,physical_asset_maintenance,high,NDT defect reconstruction for SHM
paper-2883,excluded,other_nonmaintenance,high,Aircraft noise modeling not maintenance
paper-2884,included,physical_asset_maintenance,high,RUL explainability for PHM
paper-2885,excluded,clinical_human_outcome,high,Cancer treatment failure prediction
paper-2886,included,physical_asset_maintenance,high,Federated predictive maintenance manufacturing
paper-2887,included,physical_asset_maintenance,high,Wind farm condition monitoring
paper-2888,included,uncertain_but_included,medium,Reactor sensor imputation for monitoring
paper-2889,excluded,generic_nonmaintenance_ai_control,high,Mechanical design optimization digital twin
paper-2890,included,physical_asset_maintenance,high,Industrial equipment RUL modeling
paper-2891,included,physical_asset_maintenance,high,Pavement fatigue crack prediction
paper-2892,excluded,environment_natural_system,high,Crop condition monitoring
paper-2893,excluded,other_nonmaintenance,high,Rubber material crack growth model
paper-2894,included,uncertain_but_included,medium,Combustion fault diagnosis system
paper-2895,included,physical_asset_maintenance,high,Train predictive maintenance monitoring
paper-2896,included,physical_asset_maintenance,high,Battery health and safety diagnostics
paper-2897,included,physical_asset_maintenance,high,Lithium battery module RUL
paper-2898,included,physical_asset_maintenance,high,Rolling bearing RUL estimation
paper-2899,included,physical_asset_maintenance,high,Steel corrosion predictive maintenance
paper-2900,included,physical_asset_maintenance,high,IGBT failure prediction PHM
paper-2901,included,physical_asset_maintenance,high,Bearing early fault warning
paper-2902,included,physical_asset_maintenance,high,Gas turbine predictive maintenance
paper-2903,included,uncertain_but_included,medium,Electronics lifecycle condition decisions
paper-2904,included,physical_asset_maintenance,high,Battery remaining life prediction
paper-2905,included,physical_asset_maintenance,high,Battery RUL uncertainty reduction
paper-2906,included,physical_asset_maintenance,high,Pumping system prescriptive maintenance
paper-2907,included,physical_asset_maintenance,high,Wind turbine intelligent O&M
paper-2908,included,physical_asset_maintenance,high,Condition-based maintenance optimization
paper-2909,excluded,business_social_finance,high,Educational outcomes resource optimization
paper-2910,included,physical_asset_maintenance,high,Cutting tool RUL prediction
paper-2911,included,physical_asset_maintenance,high,Electrolyzer degradation state quantification
paper-2912,included,physical_asset_maintenance,high,Bearing RUL prediction
paper-2913,excluded,other_nonmaintenance,high,Archaeological landscape mapping
paper-2914,included,physical_asset_maintenance,high,Rotating system fault detection
paper-2915,included,physical_asset_maintenance,high,Railway ground deformation monitoring
paper-2916,excluded,acronym_collision,high,PDM means Porter Diamond Model
paper-2917,included,physical_asset_maintenance,medium,SSD hardware failure prediction
paper-2918,included,physical_asset_maintenance,high,Aircraft system RUL prognostics
paper-2919,included,physical_asset_maintenance,high,Elevator fault precursor prediction
paper-2920,included,physical_asset_maintenance,high,Hydropower vibration maintenance prediction
paper-2921,included,physical_asset_maintenance,high,Energy converter asset health integration
paper-2922,excluded,generic_nonmaintenance_ai_control,medium,Robot friction identification for control
paper-2923,excluded,other_nonmaintenance,high,Aero-engine exhaust spectral unmixing
paper-2924,included,physical_asset_maintenance,high,Aerospace bearing skidding and RUL
paper-2925,included,physical_asset_maintenance,high,Federated learning for CBM
paper-2926,excluded,software_it_cyber,high,AIOps IT operations framework
paper-2927,included,physical_asset_maintenance,high,PEMFC degradation RUL prediction
paper-2928,included,physical_asset_maintenance,high,Nuclear CRDM rotor RUL
paper-2929,included,physical_asset_maintenance,high,Meat grinder motor fault prediction
paper-2930,included,physical_asset_maintenance,high,Aviation health monitoring maintenance
paper-2931,excluded,acronym_collision,high,CBM means combined boiling model
paper-2932,excluded,generic_nonmaintenance_ai_control,medium,Generic frugal industrial AI framework
paper-2933,included,physical_asset_maintenance,high,Roller bearing defect fault detection
paper-2934,included,physical_asset_maintenance,high,Induction motor bearing RUL
paper-2935,excluded,software_it_cyber,high,IoT system monitoring infrastructure
paper-2936,included,physical_asset_maintenance,high,Wind turbine gearbox diagnostics
paper-2937,included,physical_asset_maintenance,high,Marine diesel engine fault detection
paper-2938,included,uncertain_but_included,medium,Tire pressure condition monitoring
paper-2939,excluded,clinical_human_outcome,high,Heart disease diagnosis
paper-2940,included,physical_asset_maintenance,high,Roller laminator cutter maintenance
paper-2941,included,physical_asset_maintenance,high,Airplane engine RUL prediction
paper-2942,included,physical_asset_maintenance,high,EV battery RUL web application
paper-2943,included,physical_asset_maintenance,high,Water pipeline failure prediction
paper-2944,excluded,generic_nonmaintenance_ai_control,high,General automotive AI mobility review
paper-2945,included,physical_asset_maintenance,high,Gear transmission condition monitoring
paper-2946,included,physical_asset_maintenance,high,Actuator fault estimation
paper-2947,included,physical_asset_maintenance,high,RUL uncertainty quantification
paper-2948,included,physical_asset_maintenance,high,GIS circuit breaker diagnostics
paper-2949,included,physical_asset_maintenance,high,PEMFC predictive maintenance
paper-2950,included,physical_asset_maintenance,high,Transformer winding fault detection
paper-2951,excluded,generic_nonmaintenance_ai_control,high,Assembly robot task failure prediction
paper-2952,included,physical_asset_maintenance,high,Aero-engine health monitoring
paper-2953,included,uncertain_but_included,medium,Building service life and wear
paper-2954,included,physical_asset_maintenance,high,Rolling bearing remaining service life
paper-2955,included,physical_asset_maintenance,high,Pavement condition preventive maintenance
paper-2956,included,physical_asset_maintenance,high,Water pumping anomaly maintenance
paper-2957,included,physical_asset_maintenance,high,Bottling machinery health monitoring
paper-2958,included,physical_asset_maintenance,high,Transformer oil fault prediction
paper-2959,included,physical_asset_maintenance,high,Punching tool wear monitoring
paper-2960,included,physical_asset_maintenance,high,School building condition assessment
