screening_decision,screening_reason_category,screening_confidence,screening_notes,corpus_id,year,title,authors,source_title,doi,doi_url,doi_prefix,publisher_family,open_access,scopus_link,eid,retrieval_status,attempted_candidates,notes,expected_pdf_filename
excluded,generic_nonmaintenance_ai_control,high,controversial scan: Focuses on manufacturing quality-control ensemble fusion; asset degradation or maintenance decision is only a keyword-level linkage.,paper-0002,2026,ExpLusion: Explanation-driven Late Fusion for enhanced production process monitoring,Ferraro A.; Galli A.; Gallo M.; La Gatta V.; Postiglione M.; Moscato V.,Computers and Industrial Engineering,10.1016/j.cie.2026.112101,https://doi.org/10.1016/j.cie.2026.112101,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105038043185?origin=resultslist,2-s2.0-105038043185,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0002_explusion_explanation_driven_late_fusion_for_enhanced_production_process_monitoring.pdf
excluded,generic_nonmaintenance_ai_control,medium,Hot water control optimization,paper-0008,2026,Digital twin-based improvement of a domestic hot water control algorithm: A case study,Grela J.; Latoń D.,Energy and Buildings,10.1016/j.enbuild.2026.117354,https://doi.org/10.1016/j.enbuild.2026.117354,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105034490838?origin=resultslist,2-s2.0-105034490838,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0008_digital_twin_based_improvement_of_a_domestic_hot_water_control_algorithm_a_case_study.pdf
excluded,acronym_collision,high,PDM is melanoma prognosis,paper-0010,2026,Genomic copy number burden distinguishes the diagnosis and prognosis of primary dermal melanoma,Zhao P.; Chew C.; Szeto P.; Berry W.; Photiou L.; Wong N.C.; Dinan A.; McLean C.A.; Marshall V.M.; Cheung J.; Adler N.R.; Goodarzy F.; Andrews M.C.; Mar V.J.; Papenfuss A.T.; Shackleton M.,British Journal of Dermatology,10.1093/bjd/ljaf507,https://doi.org/10.1093/bjd/ljaf507,10.1093,Oxford University Press,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105035846541?origin=resultslist,2-s2.0-105035846541,requires_manual_download,2,No candidate OA PDF URL produced a usable PDF automatically.,paper-0010_genomic_copy_number_burden_distinguishes_the_diagnosis_and_prognosis_of_primary_dermal_melan.pdf
excluded,generic_nonmaintenance_ai_control,medium,controversial scan: Manufacturing anomaly/root-cause analysis targets process deviations and optimization; the physical asset health target is unclear.,paper-0013,2026,Multi-objective optimization-based sequential clustering and classification approach for anomaly detection and root cause analysis in the multi-stage manufacturing process,Nguyen T.P.Q.; Hoang T.N.H.G.; Le T.H.A.,Engineering Research Express,10.1088/2631-8695/ae6421,https://doi.org/10.1088/2631-8695/ae6421,10.1088,IOP/ECS,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105037897099?origin=resultslist,2-s2.0-105037897099,requires_manual_download,1,No candidate OA PDF URL produced a usable PDF automatically.,paper-0013_multi_objective_optimization_based_sequential_clustering_and_classification_approach_for_ano.pdf
excluded,generic_nonmaintenance_ai_control,medium,generic cleanup: Lubrication simulation lacks maintenance decision,paper-0014,2026,Lubrication film thickness prediction in the sliding contacts of axial piston pumps using physics-informed neural network,Qiu H.; Tinsley L.; Ompusunggu A.P.,Tribology International,10.1016/j.triboint.2026.112049,https://doi.org/10.1016/j.triboint.2026.112049,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105035498196?origin=resultslist,2-s2.0-105035498196,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0014_lubrication_film_thickness_prediction_in_the_sliding_contacts_of_axial_piston_pumps_using_ph.pdf
excluded,other_nonmaintenance,high,strict update: Pipeline design failure modeling not maintenance,paper-0017,2026,Data-driven machine learning and finite element-informed surrogate modeling for design optimization and failure prediction of reinforced thermoplastic pipes,Rezvanfar A.A.; Farokhi Nejad A.; Tamin M.N.; Dickhut T.; R. Koloor S.S.,Journal of Materials Research and Technology,10.1016/j.jmrt.2026.05.062,https://doi.org/10.1016/j.jmrt.2026.05.062,10.1016,Elsevier / ScienceDirect,All Open Access; Gold Open Access,https://www.scopus.com/pages/publications/105039050233?origin=resultslist,2-s2.0-105039050233,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0017_data_driven_machine_learning_and_finite_element_informed_surrogate_modeling_for_design_optim.pdf
excluded,business_social_finance,high,Supply chain resilience study,paper-0018,2026,A capability hierarchy for building resilience in multi-actor agri-food supply chains: a digitalisation perspective,Freund A.; Jámbor Z.; Nagy J.,Journal of Manufacturing Technology Management,10.1108/JMTM-12-2024-0718,https://doi.org/10.1108/JMTM-12-2024-0718,10.1108,Other,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105033445257?origin=resultslist,2-s2.0-105033445257,requires_manual_download,1,No candidate OA PDF URL produced a usable PDF automatically.,paper-0018_a_capability_hierarchy_for_building_resilience_in_multi_actor_agri_food_supply_chains_a_digi.pdf
excluded,environment_natural_system,high,Forest canopy mapping,paper-0038,2026,National scale tree canopy cover modelling using google earth engine and stacking ensemble: A case study of the Greek forests,Vatitsi K.; Chrysafis I.; Bellos K.; Kokkoris I.P.; Mallinis G.,Science of the Total Environment,10.1016/j.scitotenv.2026.181628,https://doi.org/10.1016/j.scitotenv.2026.181628,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105031766092?origin=resultslist,2-s2.0-105031766092,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0038_national_scale_tree_canopy_cover_modelling_using_google_earth_engine_and_stacking_ensemble_a.pdf
excluded,environment_natural_system,high,civil infra update: pothole pavement monitoring,paper-0043,2026,3D vision and depth sensing for intelligent pothole detection using time-of-flight imaging,Ponnusamy B.,Measurement: Sensors,10.1016/j.measen.2026.102002,https://doi.org/10.1016/j.measen.2026.102002,10.1016,Elsevier / ScienceDirect,All Open Access; Gold Open Access,https://www.scopus.com/pages/publications/105039028226?origin=resultslist,2-s2.0-105039028226,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0043_3d_vision_and_depth_sensing_for_intelligent_pothole_detection_using_time_of_flight_imaging.pdf
excluded,generic_nonmaintenance_ai_control,high,Generic digital twin semantics,paper-0044,2026,Semantic drift evaluation in language and data-specific digital twin frameworks,Abbasi F.; Pruski C.; Sottet J.-S.,Future Generation Computer Systems,10.1016/j.future.2025.108240,https://doi.org/10.1016/j.future.2025.108240,10.1016,Elsevier / ScienceDirect,All Open Access; Green Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105024752563?origin=resultslist,2-s2.0-105024752563,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0044_semantic_drift_evaluation_in_language_and_data_specific_digital_twin_frameworks.pdf
excluded,generic_nonmaintenance_ai_control,medium,Flight mode recognition only,paper-0063,2026,Dynamic Multi-Stream Network with Confidence Gating for efficient flight condition recognition,Restifo A.; Villa E.; Baldi A.; Mariani U.; Tanelli M.,Machine Learning with Applications,10.1016/j.mlwa.2026.100896,https://doi.org/10.1016/j.mlwa.2026.100896,10.1016,Elsevier / ScienceDirect,All Open Access; Gold Open Access,https://www.scopus.com/pages/publications/105037790523?origin=resultslist,2-s2.0-105037790523,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0063_dynamic_multi_stream_network_with_confidence_gating_for_efficient_flight_condition_recogniti.pdf
