removed_at,corpus_id,pdf_path,civil_reason_category,screening_reason_category,screening_confidence,screening_notes,title,doi
2026-06-11T14:34:49,paper-0011,extraction_papers\paper-0011_accurate_assessment_technology_of_bim_bridge_structure_status_using_spatiotemporal_transform.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,bridge structure condition assessment,Accurate assessment technology of BIM bridge structure status using spatiotemporal transformation graph neural network,10.1007/s43926-026-00321-x
2026-06-11T14:34:49,paper-0045,extraction_papers\paper-0045_idrrs_iot_inertial_device_for_real_time_road_surface_classification_and_position_estimation.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,road surface classification,IDRRS: IOT INERTIAL DEVICE FOR REAL-TIME ROAD SURFACE CLASSIFICATION AND POSITION ESTIMATION ENHANCEMENT; [IDRRS: ИНЕРЦИАЛЬНОЕ ИОТ-УСТРОЙСТВО ДЛЯ КЛАССИФИКАЦИИ ДОРОЖНОГО ПОКРЫТИЯ В РЕЖИМЕ РЕАЛЬНОГО ВРЕМЕНИ И ПОВЫШЕНИЯ ТОЧНОСТИ ОЦЕНКИ МЕСТОПОЛОЖЕНИЯ],10.15622/ia.25.2.7
2026-06-11T14:34:49,paper-0132,extraction_papers\paper-0132_field_validated_digital_twin_enabled_structural_health_monitoring_for_offshore_high_pile_wha.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,wharf pile structural monitoring,Field-Validated Digital Twin–Enabled Structural Health Monitoring for Offshore High-Pile Wharves,10.70917/fce-2026-010
2026-06-11T14:34:49,paper-0202,extraction_papers\paper-0202_automated_damage_identification_for_condition_monitoring_using_short_and_time_varying_struct.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,civil structural condition assessment,Automated damage identification for condition monitoring using short and time-varying structural responses,10.1007/s13349-025-01064-z
2026-06-11T14:34:49,paper-0225,extraction_papers\paper-0225_advanced_hybrid_transformer_cnn_vision_framework_for_automated_crack_detection_to_enhance_st.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,civil structure crack detection,Advanced Hybrid Transformer–CNN Vision Framework for Automated Crack Detection to Enhance Structural Condition Assessment of Civil Structures,10.3390/app16094549
2026-06-11T14:34:49,paper-0240,extraction_papers\paper-0240_physics_guided_gnn_transformer_model_for_multi_scale_fatigue_life_prediction_of_concrete_tra.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,concrete rail track slab fatigue,Physics-guided GNN-transformer model for multi-scale fatigue life prediction of concrete track slabs in high-speed railways,10.1038/s41598-026-37173-y
2026-06-11T14:34:49,paper-0242,extraction_papers\paper-0242_research_on_multi_stage_on_board_detection_algorithm_of_track_defects_of_high_speed_railway.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,high-speed rail track defects,Research on multi-stage on-board detection algorithm of track defects of high-speed railway based on the influence mechanism of track defects,10.1038/s41598-025-34483-5
2026-06-11T14:34:49,paper-0294,extraction_papers\paper-0294_urban_road_surface_crack_detection_based_on_u_net_and_resnext_network.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,urban road crack detection,Urban road surface crack detection based on U-net and ResNeXt network,10.1371/journal.pone.0347145
2026-06-11T14:34:49,paper-0295,extraction_papers\paper-0295_research_on_the_application_of_time_frequency_characteristics_of_gpr_in_railway_mud_pumping.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,railway ballast defect detection,Research on the Application of Time-Frequency Characteristics of GPR in Railway Mud Pumping Intelligent Detection,10.3390/rs18091393
2026-06-11T14:34:49,paper-0310,extraction_papers\paper-0310_comparative_evaluation_of_cnn_architectures_for_road_damage_classification_using_digital_ima.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,road damage classification,COMPARATIVE EVALUATION OF CNN ARCHITECTURES FOR ROAD DAMAGE CLASSIFICATION USING DIGITAL IMAGES IN SLEMAN REGENCY,10.30598/barekengvol20iss3pp2681-2692
