id,decision,reason_category,confidence,notes
paper-0011,excluded,civil_geotechnical_infrastructure,high,bridge structure condition assessment
paper-0022,included,physical_asset_maintenance,medium,brewery process equipment PdM concept
paper-0025,included,physical_asset_maintenance,high,pressure vessel void diagnostics
paper-0027,included,physical_asset_maintenance,high,boiler tube predictive maintenance
paper-0028,included,physical_asset_maintenance,high,hydrogen pipeline steel monitoring
paper-0033,included,physical_asset_maintenance,high,rail vehicle axle wheel detectors
paper-0034,included,physical_asset_maintenance,high,wind turbine tower bearing life
paper-0043,excluded,civil_geotechnical_infrastructure,high,pothole pavement monitoring
paper-0045,excluded,civil_geotechnical_infrastructure,high,road surface classification
paper-0074,excluded,civil_geotechnical_infrastructure,high,railway track irregularity monitoring
paper-0076,included,physical_asset_maintenance,high,wind turbine gearbox fault detection
paper-0079,included,physical_asset_maintenance,high,industrial equipment RUL prediction
paper-0089,included,physical_asset_maintenance,high,renewable energy unit anomaly detection
paper-0103,included,physical_asset_maintenance,high,rotor bearing fault diagnostics
paper-0106,included,physical_asset_maintenance,high,rotor fault diagnosis
paper-0109,included,physical_asset_maintenance,high,quay crane breakdown prediction
paper-0132,excluded,civil_geotechnical_infrastructure,high,wharf pile structural monitoring
paper-0134,included,physical_asset_maintenance,high,vehicle lubricant diagnostics
paper-0146,included,physical_asset_maintenance,high,vehicle lubricating oil diagnostics
paper-0148,included,physical_asset_maintenance,high,motor fault diagnosis
paper-0151,excluded,civil_geotechnical_infrastructure,high,reinforced concrete maintenance modeling
paper-0156,excluded,civil_geotechnical_infrastructure,high,bridge damage detection
paper-0183,included,physical_asset_maintenance,high,smart manufacturing equipment RUL
paper-0185,included,physical_asset_maintenance,high,screw compressor condition monitoring
paper-0186,excluded,civil_geotechnical_infrastructure,high,bridge damage mapping
paper-0193,included,physical_asset_maintenance,high,compressor predictive maintenance
paper-0194,excluded,civil_geotechnical_infrastructure,high,architectural heritage risk prediction
paper-0199,excluded,civil_geotechnical_infrastructure,high,residential building envelope maintenance
paper-0202,excluded,civil_geotechnical_infrastructure,high,civil structural condition assessment
paper-0219,included,physical_asset_maintenance,high,rotating machinery maintenance decisions
paper-0222,included,physical_asset_maintenance,high,industrial centrifugal fan fatigue
paper-0224,included,physical_asset_maintenance,high,pipeline crack detection
paper-0225,excluded,civil_geotechnical_infrastructure,high,civil structure crack detection
paper-0233,included,physical_asset_maintenance,high,EV fleet battery SOH
paper-0237,included,physical_asset_maintenance,high,AC motor vibration monitoring
paper-0240,excluded,civil_geotechnical_infrastructure,high,concrete rail track slab fatigue
paper-0241,excluded,civil_geotechnical_infrastructure,high,reinforced concrete cracking
paper-0242,excluded,civil_geotechnical_infrastructure,high,high-speed rail track defects
paper-0257,included,physical_asset_maintenance,high,bearing fault classification
paper-0265,included,physical_asset_maintenance,high,overhead line insulator monitoring
paper-0268,included,physical_asset_maintenance,high,wind turbine predictive maintenance
paper-0270,included,physical_asset_maintenance,high,TBM cutter condition monitoring
paper-0294,excluded,civil_geotechnical_infrastructure,high,urban road crack detection
paper-0295,excluded,civil_geotechnical_infrastructure,high,railway ballast defect detection
paper-0299,excluded,civil_geotechnical_infrastructure,high,steel railway bridge fatigue
paper-0301,included,physical_asset_maintenance,high,industrial RUL predictors
paper-0306,included,physical_asset_maintenance,high,UHV electrical equipment monitoring
paper-0310,excluded,civil_geotechnical_infrastructure,high,road damage classification
paper-0315,included,physical_asset_maintenance,high,ship hull corrosion monitoring
paper-0318,excluded,civil_geotechnical_infrastructure,medium,urban water network leakage monitoring
paper-0319,included,physical_asset_maintenance,high,marine centrifugal pump diagnostics
paper-0323,included,physical_asset_maintenance,high,wire rope diameter monitoring
paper-0326,included,physical_asset_maintenance,high,turbofan engine RUL estimation
paper-0337,included,physical_asset_maintenance,high,aircraft composite RUL prognostics
paper-0353,included,physical_asset_maintenance,high,HVAC fault diagnosis
paper-0359,included,physical_asset_maintenance,high,engine RUL prediction
paper-0362,excluded,civil_geotechnical_infrastructure,high,mine haul road condition monitoring
paper-0366,included,physical_asset_maintenance,high,rotating shaft condition monitoring
paper-0374,included,physical_asset_maintenance,high,powertrain condition monitoring
paper-0378,included,physical_asset_maintenance,high,wind turbine icing detection
paper-0382,excluded,civil_geotechnical_infrastructure,high,RC structure corrosion prediction
paper-0384,included,physical_asset_maintenance,medium,composite structure RUL prognostics
paper-0390,included,physical_asset_maintenance,high,electrolyzer stack RUL
paper-0395,excluded,civil_geotechnical_infrastructure,high,road surface condition monitoring
paper-0399,excluded,civil_geotechnical_infrastructure,high,pavement condition monitoring
paper-0405,included,physical_asset_maintenance,high,railway bogie RUL
paper-0410,included,physical_asset_maintenance,high,system failure process modeling
paper-0413,excluded,civil_geotechnical_infrastructure,high,aqueduct structural performance
paper-0417,excluded,civil_geotechnical_infrastructure,medium,generic SHM data recovery
paper-0430,included,physical_asset_maintenance,high,aircraft wing shape sensing
paper-0447,included,physical_asset_maintenance,high,machinery sensing energy harvester
paper-0452,included,physical_asset_maintenance,high,lithium-ion battery RUL
paper-0470,excluded,other_nonmaintenance,medium,generic active digital twin method
paper-0471,included,physical_asset_maintenance,high,GIS GIL defect diagnosis
paper-0472,excluded,civil_geotechnical_infrastructure,high,track geometry degradation
paper-0485,excluded,civil_geotechnical_infrastructure,medium,railway network fault prediction
paper-0490,excluded,civil_geotechnical_infrastructure,high,mine shaft structural maintenance
paper-0493,included,physical_asset_maintenance,high,steel pipeline leak detection
paper-0494,excluded,civil_geotechnical_infrastructure,high,tunnel clay failure prediction
paper-0500,included,physical_asset_maintenance,high,rotordynamic digital twin calibration
paper-0504,included,physical_asset_maintenance,medium,renewable energy PdM overview
paper-0510,included,physical_asset_maintenance,high,mining centrifuge predictive maintenance
paper-0535,excluded,civil_geotechnical_infrastructure,high,bridge digital twin SHM
paper-0544,included,physical_asset_maintenance,high,industrial rotating machinery FDD
paper-0553,included,physical_asset_maintenance,high,bearing RUL prediction
paper-0555,included,physical_asset_maintenance,high,battery RUL edge prediction
paper-0556,excluded,civil_geotechnical_infrastructure,high,rail surface contaminant detection
paper-0557,included,physical_asset_maintenance,high,substation equipment maintenance
paper-0559,included,physical_asset_maintenance,medium,cavitation erosion degradation model
paper-0561,included,physical_asset_maintenance,high,prescriptive maintenance algorithm
paper-0564,excluded,civil_geotechnical_infrastructure,high,railway track fault classification
paper-0565,included,physical_asset_maintenance,high,underwater data center PdM
paper-0568,included,physical_asset_maintenance,high,AMR condition monitoring framework
paper-0570,included,physical_asset_maintenance,high,aircraft landing gear fatigue
paper-0576,included,physical_asset_maintenance,high,drone blade fault diagnosis
paper-0577,included,physical_asset_maintenance,high,C-MAPSS RUL modeling
paper-0591,included,physical_asset_maintenance,high,engineering system RUL estimation
paper-0595,included,physical_asset_maintenance,high,equipment degradation modeling
paper-0602,included,physical_asset_maintenance,high,industrial batch process maintenance
paper-0604,included,physical_asset_maintenance,high,composite ship hull damage
paper-0609,excluded,civil_geotechnical_infrastructure,high,turnout track monitoring
paper-0616,included,physical_asset_maintenance,high,industrial predictive maintenance
paper-0634,excluded,civil_geotechnical_infrastructure,medium,municipal water pipeline corrosion
paper-0643,included,physical_asset_maintenance,high,composite joint fatigue RUL
paper-0650,excluded,civil_geotechnical_infrastructure,high,pavement condition comparison
paper-0656,included,physical_asset_maintenance,medium,manufacturing production system monitoring
paper-0660,included,physical_asset_maintenance,high,ball bearing RUL prognostics
paper-0661,excluded,civil_geotechnical_infrastructure,high,prestressed concrete bridge monitoring
paper-0677,included,physical_asset_maintenance,high,induction motor fault severity
paper-0682,included,physical_asset_maintenance,high,vehicle predictive maintenance routing
paper-0687,excluded,civil_geotechnical_infrastructure,high,long-span bridge point clouds
paper-0691,excluded,civil_geotechnical_infrastructure,high,architectural heritage conservation
paper-0692,included,physical_asset_maintenance,high,aeronautical structure PHM
paper-0698,included,physical_asset_maintenance,high,HVAC predictive maintenance
paper-0702,included,physical_asset_maintenance,medium,power line component inspection
paper-0707,excluded,civil_geotechnical_infrastructure,high,highway bridge monitoring
paper-0708,included,physical_asset_maintenance,high,photovoltaic system RUL
paper-0714,included,physical_asset_maintenance,high,aircraft predictive maintenance
paper-0720,included,physical_asset_maintenance,medium,shipyard equipment performance prediction
