batch_index,corpus_id,filename,source_path,staged_path,staged_by
1,paper-2356,paper-2356_hybrid_explainable_ai_for_machine_predictive_maintenance_from_symbolic_expressions_to_meta_e.pdf,extraction_papers/paper-2356_hybrid_explainable_ai_for_machine_predictive_maintenance_from_symbolic_expressions_to_meta_e.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2356_hybrid_explainable_ai_for_machine_predictive_maintenance_from_symbolic_expressions_to_meta_e.pdf,hardlink
2,paper-2357,paper-2357_advanced_gear_fault_diagnosis_in_non_stationary_conditions_with_an_improved_ceemdan_wavelet.pdf,extraction_papers/paper-2357_advanced_gear_fault_diagnosis_in_non_stationary_conditions_with_an_improved_ceemdan_wavelet.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2357_advanced_gear_fault_diagnosis_in_non_stationary_conditions_with_an_improved_ceemdan_wavelet.pdf,hardlink
3,paper-2358,paper-2358_an_integrated_experimental_and_machine_learning_approach_for_machinability_assessment_and_to.pdf,extraction_papers/paper-2358_an_integrated_experimental_and_machine_learning_approach_for_machinability_assessment_and_to.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2358_an_integrated_experimental_and_machine_learning_approach_for_machinability_assessment_and_to.pdf,hardlink
4,paper-2360,paper-2360_decision_factors_for_the_selection_of_ai_based_decision_support_systems_the_case_of_task_del.pdf,extraction_papers/paper-2360_decision_factors_for_the_selection_of_ai_based_decision_support_systems_the_case_of_task_del.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2360_decision_factors_for_the_selection_of_ai_based_decision_support_systems_the_case_of_task_del.pdf,hardlink
5,paper-2361,paper-2361_estimation_of_lead_acid_battery_degradation_a_model_for_the_optimization_of_battery_energy_s.pdf,extraction_papers/paper-2361_estimation_of_lead_acid_battery_degradation_a_model_for_the_optimization_of_battery_energy_s.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2361_estimation_of_lead_acid_battery_degradation_a_model_for_the_optimization_of_battery_energy_s.pdf,hardlink
6,paper-2369,paper-2369_multi_target_adversarial_learning_for_partial_fault_detection_applied_to_electric_motor_driv.pdf,extraction_papers/paper-2369_multi_target_adversarial_learning_for_partial_fault_detection_applied_to_electric_motor_driv.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2369_multi_target_adversarial_learning_for_partial_fault_detection_applied_to_electric_motor_driv.pdf,hardlink
7,paper-2370,paper-2370_fault_detection_in_mv_switchgears_through_unsupervised_learning_of_temperature_conditions.pdf,extraction_papers/paper-2370_fault_detection_in_mv_switchgears_through_unsupervised_learning_of_temperature_conditions.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2370_fault_detection_in_mv_switchgears_through_unsupervised_learning_of_temperature_conditions.pdf,hardlink
8,paper-2371,paper-2371_a_unified_machine_learning_framework_for_li_ion_battery_state_estimation_and_prediction.pdf,extraction_papers/paper-2371_a_unified_machine_learning_framework_for_li_ion_battery_state_estimation_and_prediction.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2371_a_unified_machine_learning_framework_for_li_ion_battery_state_estimation_and_prediction.pdf,hardlink
9,paper-2372,paper-2372_the_research_on_multi_objective_maintenance_optimization_strategy_based_on_stochastic_modeli.pdf,extraction_papers/paper-2372_the_research_on_multi_objective_maintenance_optimization_strategy_based_on_stochastic_modeli.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2372_the_research_on_multi_objective_maintenance_optimization_strategy_based_on_stochastic_modeli.pdf,hardlink
10,paper-2373,paper-2373_convolutional_neural_networks_long_short_term_memory_attention_a_novel_model_for_wear_state.pdf,extraction_papers/paper-2373_convolutional_neural_networks_long_short_term_memory_attention_a_novel_model_for_wear_state.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2373_convolutional_neural_networks_long_short_term_memory_attention_a_novel_model_for_wear_state.pdf,hardlink
11,paper-2377,paper-2377_demonstration_of_a_condition_monitoring_scheme_for_a_locomotive_suspension_system.pdf,extraction_papers/paper-2377_demonstration_of_a_condition_monitoring_scheme_for_a_locomotive_suspension_system.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2377_demonstration_of_a_condition_monitoring_scheme_for_a_locomotive_suspension_system.pdf,hardlink
12,paper-2378,paper-2378_transformer_winding_fault_locating_using_frequency_domain_reflectometry_fdr_technology.pdf,extraction_papers/paper-2378_transformer_winding_fault_locating_using_frequency_domain_reflectometry_fdr_technology.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2378_transformer_winding_fault_locating_using_frequency_domain_reflectometry_fdr_technology.pdf,hardlink
13,paper-2381,paper-2381_large_language_model_based_autonomous_agent_for_prognostics_and_health_management.pdf,extraction_papers/paper-2381_large_language_model_based_autonomous_agent_for_prognostics_and_health_management.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2381_large_language_model_based_autonomous_agent_for_prognostics_and_health_management.pdf,hardlink
14,paper-2383,paper-2383_fram_based_health_monitoring_for_high_reliability_equipment_considering_function_performance.pdf,extraction_papers/paper-2383_fram_based_health_monitoring_for_high_reliability_equipment_considering_function_performance.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2383_fram_based_health_monitoring_for_high_reliability_equipment_considering_function_performance.pdf,hardlink
15,paper-2384,paper-2384_data_driven_fault_diagnosis_for_rotating_industrial_paper_cutting_machinery.pdf,extraction_papers/paper-2384_data_driven_fault_diagnosis_for_rotating_industrial_paper_cutting_machinery.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2384_data_driven_fault_diagnosis_for_rotating_industrial_paper_cutting_machinery.pdf,hardlink
16,paper-2386,paper-2386_real_time_monitoring_system_for_stator_and_rotor_temperature_of_hydroelectric_generator_base.pdf,extraction_papers/paper-2386_real_time_monitoring_system_for_stator_and_rotor_temperature_of_hydroelectric_generator_base.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2386_real_time_monitoring_system_for_stator_and_rotor_temperature_of_hydroelectric_generator_base.pdf,hardlink
17,paper-2388,paper-2388_advanced_mro_processes_in_industry_4_0_with_proactive_asset_administration_shell_and_digital.pdf,extraction_papers/paper-2388_advanced_mro_processes_in_industry_4_0_with_proactive_asset_administration_shell_and_digital.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2388_advanced_mro_processes_in_industry_4_0_with_proactive_asset_administration_shell_and_digital.pdf,hardlink
18,paper-2389,paper-2389_development_of_a_cavitation_indicator_for_prediction_of_failure_in_pump_as_turbines_using_nu.pdf,extraction_papers/paper-2389_development_of_a_cavitation_indicator_for_prediction_of_failure_in_pump_as_turbines_using_nu.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2389_development_of_a_cavitation_indicator_for_prediction_of_failure_in_pump_as_turbines_using_nu.pdf,hardlink
19,paper-2394,paper-2394_meta_learning_based_lstm_autoencoder_for_low_data_anomaly_detection_in_retrofitted_cnc_machi.pdf,extraction_papers/paper-2394_meta_learning_based_lstm_autoencoder_for_low_data_anomaly_detection_in_retrofitted_cnc_machi.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2394_meta_learning_based_lstm_autoencoder_for_low_data_anomaly_detection_in_retrofitted_cnc_machi.pdf,hardlink
20,paper-2400,paper-2400_flight_safe_inference_svd_compressed_lstm_acceleration_for_real_time_uav_engine_monitoring_u.pdf,extraction_papers/paper-2400_flight_safe_inference_svd_compressed_lstm_acceleration_for_real_time_uav_engine_monitoring_u.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2400_flight_safe_inference_svd_compressed_lstm_acceleration_for_real_time_uav_engine_monitoring_u.pdf,hardlink
21,paper-2402,paper-2402_a_junction_temperature_prediction_method_based_on_multivariate_linear_regression_using_curre.pdf,extraction_papers/paper-2402_a_junction_temperature_prediction_method_based_on_multivariate_linear_regression_using_curre.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2402_a_junction_temperature_prediction_method_based_on_multivariate_linear_regression_using_curre.pdf,hardlink
22,paper-2403,paper-2403_multiclass_fault_diagnosis_in_power_transformers_using_dissolved_gas_analysis_and_grid_searc.pdf,extraction_papers/paper-2403_multiclass_fault_diagnosis_in_power_transformers_using_dissolved_gas_analysis_and_grid_searc.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2403_multiclass_fault_diagnosis_in_power_transformers_using_dissolved_gas_analysis_and_grid_searc.pdf,hardlink
23,paper-2404,paper-2404_innovative_distributed_maintenance_concept_from_the_design_to_cost_optimisation.pdf,extraction_papers/paper-2404_innovative_distributed_maintenance_concept_from_the_design_to_cost_optimisation.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2404_innovative_distributed_maintenance_concept_from_the_design_to_cost_optimisation.pdf,hardlink
24,paper-2406,paper-2406_assessing_hmm_and_svm_for_condition_based_monitoring_and_fault_detection_in_hev_electrical_m.pdf,extraction_papers/paper-2406_assessing_hmm_and_svm_for_condition_based_monitoring_and_fault_detection_in_hev_electrical_m.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2406_assessing_hmm_and_svm_for_condition_based_monitoring_and_fault_detection_in_hev_electrical_m.pdf,hardlink
25,paper-2407,paper-2407_wind_turbine_fault_detection_through_autoencoder_based_neural_network_and_fmsa.pdf,extraction_papers/paper-2407_wind_turbine_fault_detection_through_autoencoder_based_neural_network_and_fmsa.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2407_wind_turbine_fault_detection_through_autoencoder_based_neural_network_and_fmsa.pdf,hardlink
26,paper-2408,paper-2408_data_analysis_and_modeling_of_gas_pipeline_intelligent_management_system_based_on_machine_le.pdf,extraction_papers/paper-2408_data_analysis_and_modeling_of_gas_pipeline_intelligent_management_system_based_on_machine_le.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2408_data_analysis_and_modeling_of_gas_pipeline_intelligent_management_system_based_on_machine_le.pdf,hardlink
27,paper-2409,paper-2409_a_low_cost_iot_based_bidirectional_torque_measurement_system_with_strain_gauge_technology.pdf,extraction_papers/paper-2409_a_low_cost_iot_based_bidirectional_torque_measurement_system_with_strain_gauge_technology.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2409_a_low_cost_iot_based_bidirectional_torque_measurement_system_with_strain_gauge_technology.pdf,hardlink
28,paper-2410,paper-2410_multiplicative_method_for_assessing_the_technical_condition_of_switching_bay_devices_in_a_su.pdf,extraction_papers/paper-2410_multiplicative_method_for_assessing_the_technical_condition_of_switching_bay_devices_in_a_su.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2410_multiplicative_method_for_assessing_the_technical_condition_of_switching_bay_devices_in_a_su.pdf,hardlink
29,paper-2412,paper-2412_stator_fault_diagnostics_in_asymmetrical_six_phase_induction_motor_drives_with_model_predict.pdf,extraction_papers/paper-2412_stator_fault_diagnostics_in_asymmetrical_six_phase_induction_motor_drives_with_model_predict.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2412_stator_fault_diagnostics_in_asymmetrical_six_phase_induction_motor_drives_with_model_predict.pdf,hardlink
30,paper-2414,paper-2414_fault_identification_model_using_convolutional_neural_networks_with_transformer_architecture.pdf,extraction_papers/paper-2414_fault_identification_model_using_convolutional_neural_networks_with_transformer_architecture.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2414_fault_identification_model_using_convolutional_neural_networks_with_transformer_architecture.pdf,hardlink
31,paper-2415,paper-2415_artificial_intelligence_based_human_centric_decision_support_framework_an_application_to_pre.pdf,extraction_papers/paper-2415_artificial_intelligence_based_human_centric_decision_support_framework_an_application_to_pre.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2415_artificial_intelligence_based_human_centric_decision_support_framework_an_application_to_pre.pdf,hardlink
32,paper-2417,paper-2417_advancing_aviation_safety_through_predictive_maintenance_a_machine_learning_approach_for_car.pdf,extraction_papers/paper-2417_advancing_aviation_safety_through_predictive_maintenance_a_machine_learning_approach_for_car.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2417_advancing_aviation_safety_through_predictive_maintenance_a_machine_learning_approach_for_car.pdf,hardlink
33,paper-2418,paper-2418_unsupervised_bearing_fault_diagnosis_using_masked_self_supervised_learning_and_swin_transfor.pdf,extraction_papers/paper-2418_unsupervised_bearing_fault_diagnosis_using_masked_self_supervised_learning_and_swin_transfor.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2418_unsupervised_bearing_fault_diagnosis_using_masked_self_supervised_learning_and_swin_transfor.pdf,hardlink
34,paper-2420,paper-2420_ihgr_rag_an_enhanced_retrieval_augmented_generation_framework_for_accurate_and_interpretable.pdf,extraction_papers/paper-2420_ihgr_rag_an_enhanced_retrieval_augmented_generation_framework_for_accurate_and_interpretable.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2420_ihgr_rag_an_enhanced_retrieval_augmented_generation_framework_for_accurate_and_interpretable.pdf,hardlink
35,paper-2422,paper-2422_human_centric_iot_driven_digital_twins_in_predictive_maintenance_for_optimizing_industry_5_0.pdf,extraction_papers/paper-2422_human_centric_iot_driven_digital_twins_in_predictive_maintenance_for_optimizing_industry_5_0.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2422_human_centric_iot_driven_digital_twins_in_predictive_maintenance_for_optimizing_industry_5_0.pdf,hardlink
36,paper-2424,paper-2424_resolving_non_proportional_frequency_components_in_rotating_machinery_signals_using_local_en.pdf,extraction_papers/paper-2424_resolving_non_proportional_frequency_components_in_rotating_machinery_signals_using_local_en.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2424_resolving_non_proportional_frequency_components_in_rotating_machinery_signals_using_local_en.pdf,hardlink
37,paper-2425,paper-2425_challenges_and_strategies_for_implementation_of_lead_acid_battery_health_monitoring_and_pred.pdf,extraction_papers/paper-2425_challenges_and_strategies_for_implementation_of_lead_acid_battery_health_monitoring_and_pred.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2425_challenges_and_strategies_for_implementation_of_lead_acid_battery_health_monitoring_and_pred.pdf,hardlink
