query_index,facts_file,task,baseline_refs,diverse_refs,changed_order,changed_reference_set,top1_preserved,baseline_top_similarity,diverse_top_similarity,baseline_mean_similarity,diverse_mean_similarity,baseline_unique_models,diverse_unique_models,baseline_has_duplicate_models,diverse_has_duplicate_models,baseline_intra_list_dissimilarity,diverse_intra_list_dissimilarity
1,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_007742b6c86c.ttl,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
2,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_021ea55a70f1.ttl,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.521,0.521,0.521,0.521,4,5,1,0,0.3189603238866397,0.5494555202976256
3,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_046ebc06c607.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
4,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_051f27a6a164.ttl,Fault identification,"210,201,202,203,48","210,48,247,212,243",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.5280894698410694,0.6597099496709253
5,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_08d54e2673f7.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
6,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_098cb9c7ac60.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
7,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0d538c41d5c9.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
8,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0e5bc1020e80.ttl,Fault detection,"218,245,19,166,167","218,47,200,215,19",True,True,True,0.514,0.514,0.5115999999999999,0.5098,4,5,1,0,0.5024491064491065,0.5484096941070625
9,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1015dc489115.ttl,One step future state forecast,"131,132,106,135,133","131,10,135,132,133",True,True,True,0.509,0.509,0.509,0.5075999999999999,5,5,0,0,0.29957983193277304,0.32854030501089326
10,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_13663772d3a7.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
11,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_14cabde81b60.ttl,Fault identification,"252,210,48,50,49","252,210,212,216,246",True,True,True,0.601,0.601,0.5985999999999999,0.5955999999999999,5,5,0,0,0.4748623876765084,0.5775378957086275
