corpus_id,source_title,pdf_file,pdf_sha256,duplicate_sha256_count,final_extraction_run,actual_model,chunks,retry_run_count,sanitization,run_notes,facts_file,facts_sha256,query_index,extracted_title,extracted_task,extracted_case_count,matched_graph_literal,linkage_method,title_match_score,linkage_confidence
paper-0001,Decision-Aware Multi-Horizon Fault Prediction for Photovoltaic Inverters: Analysis of Threshold-Based Alarm Policies Under Operational Constraints,extraction_papers/paper-0001_decision_aware_multi_horizon_fault_prediction_for_photovoltaic_inverters_analysis_of_thresho.pdf,f20da0c62eeb96ced35ec21a85cabfa3ab9dc2b39acacc089cbb72e45923d701,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_64dc30950f8c.ttl,2ee605072584b02e5545339fbf74033a8e436fc66e489879d3dca1ae138aeeb4,42,Factsstudy1,Multiple steps future state forecast,1,Decision-Aware Multi-Horizon Fault Prediction for Photovoltaic Inverters: Analysis of Threshold-Based Alarm Policies Under Operational Constraints,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0004,A novel global health index framework for asset prognostics and health management in the oil and gas industry,extraction_papers/paper-0004_a_novel_global_health_index_framework_for_asset_prognostics_and_health_management_in_the_oil.pdf,23699b1ff20d149cf914726ae79d1bac75c9d9418f2642dd1b34f2e33b4ef275,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_db4c696f6545.ttl,5d193c30983e4c4172c06aa3e8ccedee012f8e1a0be06879d74d40e2ff18a3a3,81,case study: installing active redundant cooler in HCU and FMEA-based RPN prioritization,Fault detection,2,A novel global health index framework for asset prognostics and health management in the oil and gas industry,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0005,Material-Adaptive Kurtosis Thresholding for Real-Time Multi-Parameter Condition Monitoring in CNC Milling,extraction_papers/paper-0005_material_adaptive_kurtosis_thresholding_for_real_time_multi_parameter_condition_monitoring_i.pdf,0cf0446605cbec569afa14613aaefa43f6ecb92a3d6db93e73faa113ad209d9c,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_7893f607735e.ttl,b499492a15ac0855337763c626cf5aa56d0a7b52002b0174d5d258631b0ab082,46,FactsThisArticle,Fault identification,2,Material-adaptive kurtosis thresholding for real-time multi-parameter condition monitoring in CNC milling,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0007,Predicting the Remaining Useful Life of Ship Shafting Using Bayesian Networks with Asymmetric Probability Distributions,extraction_papers/paper-0007_predicting_the_remaining_useful_life_of_ship_shafting_using_bayesian_networks_with_asymmetri.pdf,c310b57c0144f69284fee9e04b557a213474ac27a1fc5afdf1eca60721dc68f3,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_39a966494a3b.ttl,6426949a9d9c9b7b2f1a6e1c24c06dbce50e29bf2acf4552ba77693b5dfed3d6,25,Factsarticle_Weiner2026,Remaining useful life estimation,2,Predicting the Remaining Useful Life of Ship Shafting Using Bayesian Networks with Asymmetric Probability Distributions,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0012,Predictive maintenance of railway suspension systems using multi-level time–frequency vibration analysis,extraction_papers/paper-0012_predictive_maintenance_of_railway_suspension_systems_using_multi_level_time_frequency_vibrat.pdf,46f23d66a5ad99e371d2ac9e51ac8a3e51d4b3df5d45cc071938bf5b2909b235,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_3945d25e6654.ttl,282a04d136b8ec163dc5c62be8c45e9322e619d5aec0efddc4f0a5f4723ea0b7,24,factsarticleRailwaySuspension,Fault detection,1,Predictive maintenance of railway suspension systems using multi-level time-frequency vibration analysis,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0015,Correlating Fouling Corrosion in Naval Steels with Magnetic Barkhausen Noise Under Real Marine Conditions,extraction_papers/paper-0015_correlating_fouling_corrosion_in_naval_steels_with_magnetic_barkhausen_noise_under_real_mari.pdf,b5a920d65deaad150c6eaca5e0d2aae6ae07d4e1453304bae7d6d498aea5f8af,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_5d3461a99457.ttl,1d82ae4ca233b23d452b160932f2feac465819c9ca55610615745154524fd433,36,Factsarticle_1,Fault detection,2,Correlating Fouling Corrosion in Naval Steels with Magnetic Barkhausen Noise Under Real Marine Conditions,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0019,AI driven system for enhancing consumer electronics through maintenance personalization and security,extraction_papers/paper-0019_ai_driven_system_for_enhancing_consumer_electronics_through_maintenance_personalization_and.pdf,6f900d1f35ce3fa4e40985ca94180dbaf62dfd7fc0e0d9719d98d804104f71f0,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_8477986e81ed.ttl,450bef771e6828570f6e093ab2fcc92c46f8f85a7e07102b25aabd20a1410086,51,AI driven system for enhancing consumer electronics through maintenance personalization and security,Health assessment,1,AI driven system for enhancing consumer electronics through maintenance personalization and security,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0021,Tool-Health Digital Twin for CNC Predictive Maintenance via Innovation-Adaptive Sensor Fusion and Uncertainty-Aware Prognostics,extraction_papers/paper-0021_tool_health_digital_twin_for_cnc_predictive_maintenance_via_innovation_adaptive_sensor_fusio.pdf,5a24269e4ce57de7800617213337ae68610cf921ecbf0b19548bf190fa78857a,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_5dec38f8cc66.ttl,ffdee15344581aa278328131d73f72cf7ed7e8deefbe55a5c21c39fa9a637b48,37,Factsarticle1,Remaining useful life estimation,1,Tool-Health Digital Twin for CNC Predictive Maintenance via Innovation-Adaptive Sensor Fusion and Uncertainty-Aware Prognostics,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0023,Magnetostriction of Silicon Steel Sheets and Its Application in Predicting DC Bias,extraction_papers/paper-0023_magnetostriction_of_silicon_steel_sheets_and_its_application_in_predicting_dc_bias.pdf,ba4d26550bfd717a96cda7bfbfd030e96e3ad09125ef20299fd2260ba1e20b85,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_8d2f5e129936.ttl,d540c21f549f798199470e27d65dd59bddca5867a3890daaad55a1d0efb0dbed,55,Factsmodel_1,Fault feature extraction,1,Magnetostriction of Silicon Steel Sheets and Its Application in Predicting DC Bias,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0024,An Edge-Enabled Predictive Maintenance Approach Based on Anomaly-Driven Health Indicators for Industrial Production Systems,extraction_papers/paper-0024_an_edge_enabled_predictive_maintenance_approach_based_on_anomaly_driven_health_indicators_fo.pdf,8dc1935483c8e7c1f2cf24ee3c8fe43143f84d733971a5160e5f178a27338382,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_623ac38deaa2.ttl,3b03956247a789f0915378ff6b78a38d7358331fcb4d4e115727e78bdb396aa4,40,FactsThisArticle_1,Health assessment,1,An Edge-Enabled Predictive Maintenance Approach Based on Anomaly-Driven Health Indicators for Industrial Production Systems,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0025,Energy-Based Multiresolution Analysis of FBG-Measured Strain Responses for Void Detection in Curved Pressure Vessel Structures Under Guided Wave Excitation,extraction_papers/paper-0025_energy_based_multiresolution_analysis_of_fbg_measured_strain_responses_for_void_detection_in.pdf,533791a8d0c71279710ca2e92f3a4a8eeeb0d80959e15379e3b675a05cf9a6b4,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_0e5bc1020e80.ttl,a3084bec8670ab126f0fe2b3add0b8890833d5af7d043e7a019c55b7aba555a4,8,present study,Fault detection,2,Energy-Based Multiresolution Analysis of FBG-Measured Strain Responses for Void Detection in Curved Pressure Vessel Structures Under Guided Wave Excitation,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0026,Physics-Informed Monotonic Conformer for Remaining Useful Life Prediction of Hydraulic Systems,extraction_papers/paper-0026_physics_informed_monotonic_conformer_for_remaining_useful_life_prediction_of_hydraulic_syste.pdf,025425efb291f64cb899c5c1f07f23e81d27a62d19575b1d97c38f8f51fd19dd,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_7f3c89f45832.ttl,35307fde4bb244d03f94fd1f07533865ad639f4998b1d7d0ac428ae14a754056,49,Factsarticle1_1,One step future state forecast,1,Physics-Informed Monotonic Conformer for Remaining Useful Life Prediction of Hydraulic Systems,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0029,Simulation-Guided Interpretable Fault Diagnosis of Hydraulic Directional Control Valves Under Limited Fault Data Conditions,extraction_papers/paper-0029_simulation_guided_interpretable_fault_diagnosis_of_hydraulic_directional_control_valves_unde.pdf,026de06c0f8a5e065d8e77022e8039eb1eab5b33d03f65a63b87613923a1a8da,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_37204455217d.ttl,67300c581eabe7d6b07997c5ec9e386b547b70ce8a1cc7a1b9b5788017a94ba7,22,FactsArticle1_1,Fault detection,5,Simulation-Guided Interpretable Fault Diagnosis of Hydraulic Directional Control Valves Under Limited Fault Data Conditions,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0034,Continuous-lifetime-monitoring technique for structural components and main bearings in wind turbines based on measured strain and virtual load sensors,extraction_papers/paper-0034_continuous_lifetime_monitoring_technique_for_structural_components_and_main_bearings_in_wind.pdf,10f2852fc4f8cf3c691820f5fafb220866ba327929d84ba89b41d8dbce0aa2ce,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_d8bff7381708.ttl,a499c3e65ead81db4d8541ef6cda6de83d54ad0ba4230d649acb26ff05107844,80,Factsarticle1_2,Remaining useful life estimation,3,Continuous lifetime monitoring technique for structural components and main bearings in wind turbines based on measured strain and virtual load sensors,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0035,Optimal condition-based maintenance decision-making for nonlinear degrading systems: A time-scale transformed wiener process modeling approach,extraction_papers/paper-0035_optimal_condition_based_maintenance_decision_making_for_nonlinear_degrading_systems_a_time_s.pdf,fe415469d97774e181f0a32a754a59ffa84b35e07e076e885b6d43b7780c5dbe,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_9b451b7f7ee0.ttl,8e73bc66a2a1687469e54641f27e716fca8288b15d5736f9cd8ea012f10b47a9,60,Linear Wiener (linear alternatives) model,Health assessment,1,Optimal condition-based maintenance decision-making for nonlinear degrading systems: A time-scale transformed wiener process modeling approach,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0042,Analysis of the external network parameters influence on the operating characteristics of self-excited induction generators,extraction_papers/paper-0042_analysis_of_the_external_network_parameters_influence_on_the_operating_characteristics_of_se.pdf,82cfa3dedc32fd806d6e245da8561cf4f878c5179ab11276be325881da57f586,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_1015dc489115.ttl,b9bc2fe9e3119ca82d1178bfc84caa60756c1c410d9b0b97bf19f7ea90e08bcd,9,Study [11],One step future state forecast,1,Analysis of the external network parameters influence on the operating characteristics of self-excited induction generators,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0046,RUL Prediction Based on xLSTM–Transformer Neural Network for Rolling Element Bearings Under Different Working Conditions,extraction_papers/paper-0046_rul_prediction_based_on_xlstm_transformer_neural_network_for_rolling_element_bearings_under.pdf,f9a8ca80e8e3fc246035153ebaf29c98048837d095824b3c0cfa75dc8b473518,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_ea68a5c8efe4.ttl,2c9591c103e5d98839820760c7786592b0ac9bd6ed0cde74e0484bb92723b558,90,FactsStudyJin,Remaining useful life estimation,2,RUL Prediction Based on xLSTM-Transformer Neural Network for Rolling Element Bearings Under Different Working Conditions,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0047,A deep learning framework for remaining useful life prediction of turbofan engines with partial sensor failure,extraction_papers/paper-0047_a_deep_learning_framework_for_remaining_useful_life_prediction_of_turbofan_engines_with_part.pdf,f64af40c0e0050cd1dd52eff61f66c93acc94f81ac2deeb9002cf7d0426a04af,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_a933cf332592.ttl,055f9612c073bbf5f44d1649449bd2fc4ab4f70a86a4c7e05b03d30d6d497074,64,FactsThisArticle_2,Remaining useful life estimation,2,A deep learning framework for remaining useful life prediction of turbofan engines with partial sensor failure,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
paper-0048,Deployment-Oriented Lithium-Ion Battery Remaining Useful Life Prediction with Adaptive History Selection and Parameter-Efficient Updating,extraction_papers/paper-0048_deployment_oriented_lithium_ion_battery_remaining_useful_life_prediction_with_adaptive_histo.pdf,7ace5c858f1e5973268813f128b785ae61a9c4378bcc9a60b530916018aa56cd,1,run_100_20260611_194110,gpt-5-mini,3,0,false,direct,extraction_papers/ontocast_runs/run_100_20260611_194110/output/facts_aca7906e2b63.ttl,be55a9785809a855be9fe4989d6ad0448c5a2f91faecaf80ccd22655bccb3d43,65,FactsStudyThisStudy,Remaining useful life estimation,2,Deployment-Oriented Lithium-Ion Battery Remaining Useful Life Prediction with Adaptive History Selection and Parameter-Efficient Updating,reconstructed_bipartite_title_match,1.000000,exact_or_near_exact
