batch_index,corpus_id,filename,source_path,staged_path,staged_by,retry_reason
1,paper-2552,paper-2552_multiband_multisine_excitation_signal_for_online_impedance_spectroscopy_of_battery_cells.pdf,extraction_papers/paper-2552_multiband_multisine_excitation_signal_for_online_impedance_spectroscopy_of_battery_cells.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-2552_multiband_multisine_excitation_signal_for_online_impedance_spectroscopy_of_battery_cells.pdf,hardlink,persistent_invalid_iri
2,paper-2621,paper-2621_data_augmentation_for_damaged_scenarios_in_floating_offshore_wind_turbines_an_approach_based.pdf,extraction_papers/paper-2621_data_augmentation_for_damaged_scenarios_in_floating_offshore_wind_turbines_an_approach_based.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-2621_data_augmentation_for_damaged_scenarios_in_floating_offshore_wind_turbines_an_approach_based.pdf,hardlink,persistent_invalid_iri
3,paper-2704,paper-2704_predicting_filter_medium_performances_in_chamber_filter_presses_with_digital_twins_using_neu.pdf,extraction_papers/paper-2704_predicting_filter_medium_performances_in_chamber_filter_presses_with_digital_twins_using_neu.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-2704_predicting_filter_medium_performances_in_chamber_filter_presses_with_digital_twins_using_neu.pdf,hardlink,persistent_invalid_iri
4,paper-2731,paper-2731_integrating_spare_part_inventory_management_and_predictive_maintenance_as_a_digital_supply_c.pdf,extraction_papers/paper-2731_integrating_spare_part_inventory_management_and_predictive_maintenance_as_a_digital_supply_c.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-2731_integrating_spare_part_inventory_management_and_predictive_maintenance_as_a_digital_supply_c.pdf,hardlink,persistent_invalid_iri
5,paper-2904,paper-2904_data_driven_battery_remaining_life_prediction_based_on_resnet_with_ga_optimization.pdf,extraction_papers/paper-2904_data_driven_battery_remaining_life_prediction_based_on_resnet_with_ga_optimization.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-2904_data_driven_battery_remaining_life_prediction_based_on_resnet_with_ga_optimization.pdf,hardlink,persistent_invalid_iri
6,paper-2933,paper-2933_dynamic_multibody_modeling_of_spherical_roller_bearings_with_localized_defects_for_large_sca.pdf,extraction_papers/paper-2933_dynamic_multibody_modeling_of_spherical_roller_bearings_with_localized_defects_for_large_sca.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-2933_dynamic_multibody_modeling_of_spherical_roller_bearings_with_localized_defects_for_large_sca.pdf,hardlink,persistent_invalid_iri
7,paper-3050,paper-3050_autonomous_structural_health_monitoring_and_remaining_useful_life_estimation_of_floating_off.pdf,extraction_papers/paper-3050_autonomous_structural_health_monitoring_and_remaining_useful_life_estimation_of_floating_off.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-3050_autonomous_structural_health_monitoring_and_remaining_useful_life_estimation_of_floating_off.pdf,hardlink,persistent_invalid_iri
8,paper-3064,paper-3064_predictive_maintenance_algorithm_of_a_six_dof_robotic_arm_using_gradient_boosting_regression.pdf,extraction_papers/paper-3064_predictive_maintenance_algorithm_of_a_six_dof_robotic_arm_using_gradient_boosting_regression.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-3064_predictive_maintenance_algorithm_of_a_six_dof_robotic_arm_using_gradient_boosting_regression.pdf,hardlink,persistent_invalid_iri
9,paper-3447,paper-3447_identification_of_operational_deflection_shapes_of_a_wind_turbine_gearbox_using_fiber_optic.pdf,extraction_papers/paper-3447_identification_of_operational_deflection_shapes_of_a_wind_turbine_gearbox_using_fiber_optic.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-3447_identification_of_operational_deflection_shapes_of_a_wind_turbine_gearbox_using_fiber_optic.pdf,hardlink,persistent_invalid_iri
10,paper-3492,paper-3492_integrated_model_based_control_allocation_strategies_oriented_to_predictive_maintenance_of_s.pdf,extraction_papers/paper-3492_integrated_model_based_control_allocation_strategies_oriented_to_predictive_maintenance_of_s.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-3492_integrated_model_based_control_allocation_strategies_oriented_to_predictive_maintenance_of_s.pdf,hardlink,persistent_invalid_iri
11,paper-3554,paper-3554_availability_and_maintenance_modeling_of_competing_risk_system_based_on_sequential_health_mo.pdf,extraction_papers/paper-3554_availability_and_maintenance_modeling_of_competing_risk_system_based_on_sequential_health_mo.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-3554_availability_and_maintenance_modeling_of_competing_risk_system_based_on_sequential_health_mo.pdf,hardlink,persistent_invalid_iri
12,paper-3658,paper-3658_temperature_characteristics_of_axle_box_bearings_under_wheel_flat_excitation.pdf,extraction_papers/paper-3658_temperature_characteristics_of_axle_box_bearings_under_wheel_flat_excitation.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-3658_temperature_characteristics_of_axle_box_bearings_under_wheel_flat_excitation.pdf,hardlink,persistent_invalid_iri
13,paper-3769,paper-3769_comparative_analysis_of_machine_learning_algorithms_for_flow_rate_prediction_in_optimizing_p.pdf,extraction_papers/paper-3769_comparative_analysis_of_machine_learning_algorithms_for_flow_rate_prediction_in_optimizing_p.pdf,extraction_papers/ontocast_runs/run_retry_final_17_gpt-5.6-luna_20260726_040000/input/paper-3769_comparative_analysis_of_machine_learning_algorithms_for_flow_rate_prediction_in_optimizing_p.pdf,hardlink,persistent_invalid_iri
