removed_at,corpus_id,pdf_path,strict_reason_category,screening_reason_category,screening_confidence,screening_notes,title,doi
2026-06-11T14:24:34,paper-0059,extraction_papers\paper-0059_ignition_of_vegetation_induced_by_discharge_from_abraded_medium_voltage_insulated_overhead_l.pdf,generic_structural_material,other_nonmaintenance,medium,Ignition mechanism lacks maintenance use-case,Ignition of Vegetation Induced by Discharge from Abraded Medium-Voltage Insulated Overhead Lines,10.3390/en19081990
2026-06-11T14:24:34,paper-0188,extraction_papers\paper-0188_fast_solution_of_a_phase_field_model_of_pitting_corrosion.pdf,generic_structural_material,other_nonmaintenance,medium,Numerical corrosion solver lacks asset case,Fast solution of a phase-field model of pitting corrosion,10.1016/j.jcp.2026.114717
2026-06-11T14:24:34,paper-0191,extraction_papers\paper-0191_smart_diagnostics_hierarchical_deep_learning_of_acoustic_emission_signals_for_early_crack_de.pdf,other_nonmaintenance,other_nonmaintenance,high,Dental restoration diagnostics not equipment maintenance,Smart Diagnostics: Hierarchical Deep Learning of Acoustic Emission Signals for Early Crack Detection in Zirconia Dental Structures,10.3390/s26092682
2026-06-11T14:24:34,paper-0194,extraction_papers\paper-0194_optimization_of_architectural_cultural_heritage_protection_and_sustainable_development_strat.pdf,heritage_culture_building,other_nonmaintenance,high,Cultural heritage risk prediction excluded,Optimization of architectural cultural heritage protection and sustainable development strategy based on deep learning and data mining,10.1007/s44163-026-00913-0
2026-06-11T14:24:34,paper-0199,extraction_papers\paper-0199_maintenance_as_an_opportunity_to_improve_residential_buildings_energy_efficiency_evaluation.pdf,heritage_culture_building,other_nonmaintenance,high,Residential building energy retrofit maintenance excluded,Maintenance as an Opportunity to Improve Residential Buildings’ Energy Efficiency: Evaluation of Life-Cycle Costs,10.3390/buildings16081551
2026-06-11T14:24:34,paper-0413,extraction_papers\paper-0413_temperature_sensitivity_analysis_and_service_performance_evaluation_of_aqueduct_arch_ring_be.pdf,generic_structural_material,other_nonmaintenance,medium,Aqueduct FEM assessment lacks maintenance decision,Temperature sensitivity analysis and service performance evaluation of aqueduct arch ring beam structures based on finite element method,10.1038/s41598-025-34804-8
2026-06-11T14:24:34,paper-0634,extraction_papers\paper-0634_an_investigation_into_the_degradation_of_the_mechanical_properties_of_mild_steel_pipelines_i.pdf,generic_structural_material,other_nonmaintenance,high,Pipeline material corrosion study lacks maintenance decision,"An investigation into the degradation of the mechanical properties of mild steel pipelines in simulated soil and tap water environments sourced from Bishoftu Town, Ethiopia",10.1007/s42452-026-08230-y
2026-06-11T14:24:34,paper-0833,extraction_papers\paper-0833_demonstrating_the_viability_of_through_transmission_eddy_current_for_crack_detection.pdf,generic_structural_material,other_nonmaintenance,medium,Generic eddy current crack method lacks asset context,Demonstrating the Viability of Through-Transmission Eddy Current for Crack Detection,10.1007/s10921-026-01328-8
2026-06-11T14:24:34,paper-0847,extraction_papers\paper-0847_integration_of_digital_twin_technology_and_industry_4_0_principles_for_real_time_structural.pdf,heritage_culture_building,other_nonmaintenance,medium,Facility structural monitoring is building management,Integration of Digital Twin Technology and Industry 4.0 Principles for Real-Time Structural Health Monitoring in Smart Manufacturing Facilities,10.24867/IJIEM-400
2026-06-11T14:24:34,paper-0897,extraction_papers\paper-0897_corrosion_microstructural_evolution_and_non_destructive_monitoring_of_high_strength_low_allo.pdf,generic_structural_material,other_nonmaintenance,high,Marine steel corrosion study lacks asset maintenance context,"Corrosion, Microstructural Evolution and Non-Destructive Monitoring of High-Strength Low-Alloy Steels Under Multiparametric Marine Exposure",10.3390/met16030270
2026-06-11T14:24:34,paper-1099,extraction_papers\paper-1099_gepres_a_geospatially_enabled_predictive_recommendation_system_for_the_preventive_management.pdf,heritage_culture_building,other_nonmaintenance,high,Historical building preventive management is heritage conservation,GEPReS: A Geospatially Enabled Predictive Recommendation System for the Preventive Management of Historical Buildings,10.3390/ijgi15010001
2026-06-11T14:24:34,paper-1280,extraction_papers\paper-1280_intelligent_modeling_of_erosion_corrosion_in_polymer_composites_integrating_fuzzy_logic_and.pdf,generic_structural_material,other_nonmaintenance,high,Pipe erosion model lacks maintenance use-case,Intelligent Modeling of Erosion-Corrosion in Polymer Composites: Integrating Fuzzy Logic and Machine Learning,10.3390/polym18010009
2026-06-11T14:24:34,paper-1315,extraction_papers\paper-1315_concrete_crack_segmentation_using_u_net_based_models_with_various_pre_trained_backbones.pdf,generic_structural_material,other_nonmaintenance,high,Generic concrete crack segmentation only,CONCRETE CRACK SEGMENTATION USING U-NET BASED MODELS WITH VARIOUS PRE-TRAINED BACKBONES,10.28919/cmbn/9738
2026-06-11T14:24:34,paper-1405,extraction_papers\paper-1405_a_digital_engineering_framework_for_piston_pin_bearings_via_multi_physics_thermo_elasto_hydr.pdf,generic_structural_material,other_nonmaintenance,medium,Engine bearing simulation for design durability,A Digital Engineering Framework for Piston Pin Bearings via Multi-Physics Thermo-Elasto-Hydrodynamic Modeling,10.3390/systems14010077
2026-06-11T14:24:34,paper-1447,extraction_papers\paper-1447_using_machine_learning_to_automate_seismoacoustic_process_monitoring_of_a_nuclear_pyroproces.pdf,other_nonmaintenance,other_nonmaintenance,medium,Nuclear process monitoring not maintenance,Using machine learning to automate seismoacoustic process monitoring of a nuclear pyroprocessing element chopper,10.3389/fenrg.2026.1714056
2026-06-11T14:24:34,paper-1460,extraction_papers\paper-1460_data_driven_ai_model_for_time_based_prediction_of_friction_and_wear_in_lubricated_tribosyste.pdf,generic_structural_material,other_nonmaintenance,high,Tribology wear tester no maintenance decision,Data-Driven AI Model for Time-Based Prediction of Friction and Wear in Lubricated Tribosystems,10.3390/lubricants14010022
2026-06-11T14:24:34,paper-1478,extraction_papers\paper-1478_influence_of_temperature_on_the_reliability_of_graphene_based_ozone_sensors.pdf,generic_structural_material,other_nonmaintenance,high,Graphene sensor material aging study,Influence of Temperature on the Reliability of Graphene-Based Ozone Sensors,10.1002/smll.202510466
2026-06-11T14:24:34,paper-1479,extraction_papers\paper-1479_visible_infrared_hyperspectral_data_fusion_and_machine_learning_based_automated_defect_detec.pdf,generic_structural_material,other_nonmaintenance,high,Carbon fiber material defect inspection only,Visible–infrared hyperspectral data fusion and machine learning-based automated defect detection in carbon fiber materials,10.1007/s12596-026-03100-7
2026-06-11T14:24:34,paper-1536,extraction_papers\paper-1536_finite_element_analysis_of_an_automotive_steering_system_considering_spherical_joint_clearan.pdf,generic_structural_material,other_nonmaintenance,medium,Steering clearance FEA not maintenance,Finite Element Analysis of an Automotive Steering System Considering Spherical Joint Clearance,10.3390/vibration8040080
2026-06-11T14:24:34,paper-1573,extraction_papers\paper-1573_energy_and_water_management_in_smart_buildings_using_spiking_neural_networks_a_low_power_eve.pdf,heritage_culture_building,other_nonmaintenance,high,Smart building control not equipment maintenance,"Energy and Water Management in Smart Buildings Using Spiking Neural Networks: A Low-Power, Event-Driven Approach for Adaptive Control and Anomaly Detection",10.3390/en18195089
2026-06-11T14:24:34,paper-1596,extraction_papers\paper-1596_ai_based_proactive_maintenance_for_cultural_heritage_conservation_a_hybrid_neuro_fuzzy_appro.pdf,heritage_culture_building,other_nonmaintenance,high,Cultural heritage conservation excluded,AI-Based Proactive Maintenance for Cultural Heritage Conservation: A Hybrid Neuro-Fuzzy Approach,10.3390/fi17110510
2026-06-11T14:24:34,paper-1715,extraction_papers\paper-1715_prediction_of_skid_resistance_of_asphalt_pavements_on_highways_based_on_machine_learning_the.pdf,generic_structural_material,other_nonmaintenance,high,Pavement skid prediction lacks maintenance purpose,Prediction of Skid Resistance of Asphalt Pavements on Highways Based on Machine Learning: The Impact of Activation Functions and Optimizer Selection,10.3390/sym17101708
2026-06-11T14:24:34,paper-1741,extraction_papers\paper-1741_enhancing_facility_maintenance_using_knowledge_based_bim_systems.pdf,heritage_culture_building,other_nonmaintenance,high,Facility BIM building maintenance excluded,Enhancing facility maintenance using knowledge-based BIM systems,10.1038/s41598-025-30057-7
2026-06-11T14:24:34,paper-1758,extraction_papers\paper-1758_linear_heat_diffusion_inverse_problem_solution_with_spatio_temporal_constraints_for_3d_finit.pdf,generic_structural_material,other_nonmaintenance,medium,Insulator heat inverse problem not maintenance,Linear Heat Diffusion Inverse Problem Solution with Spatio-Temporal Constraints for 3D Finite Element Models,10.3390/computation13110255
2026-06-11T14:24:34,paper-1779,extraction_papers\paper-1779_digital_twin_enabled_framework_for_intelligent_monitoring_and_anomaly_detection_in_multi_zon.pdf,heritage_culture_building,other_nonmaintenance,high,Smart building DT excluded,Digital Twin-Enabled Framework for Intelligent Monitoring and Anomaly Detection in Multi-Zone Building Systems,10.3390/buildings15224030
