removed_at,corpus_id,pdf_path,screening_reason_category,screening_confidence,screening_notes,title,doi
2026-06-04T15:43:31,paper-0031,extraction_papers\paper-0031_fracture_propagation_and_water_seepage_behavior_in_overburden_strata_at_tunbao_coal_mine.pdf,environment_natural_system,medium,Mine strata seepage mechanisms,Fracture propagation and water seepage behavior in overburden strata at Tunbao coal mine,10.1038/s41598-025-29348-w
2026-06-04T15:43:31,paper-0037,extraction_papers\paper-0037_gbc_ast_a_cluster_based_oversampling_method_for_heart_failure_prediction_in_imbalanced_medic.pdf,clinical_human_outcome,high,Heart failure prediction,GBC-AST: a cluster-based oversampling method for heart failure prediction in imbalanced medical data sets,10.1186/s12911-026-03436-x
2026-06-04T15:43:31,paper-0061,extraction_papers\paper-0061_active_inspection_with_knowledge_distillation_for_cost_effective_fault_prediction_in_manufac.pdf,generic_nonmaintenance_ai_control,high,Product inspection quality prediction,Active inspection with knowledge distillation for cost-effective fault prediction in manufacturing process,10.1038/s41598-026-39412-8
2026-06-04T15:43:31,paper-0080,extraction_papers\paper-0080_a_comparative_study_of_strain_and_stress_based_failure_prediction_methods_in_single_point_in.pdf,other_nonmaintenance,high,Sheet forming material failure,A comparative study of strain- and stress-based failure prediction methods in single-point incremental forming of Al/Ti two-layer sheets considering different strain paths,10.1038/s41598-025-34971-8
2026-06-04T15:43:31,paper-0087,extraction_papers\paper-0087_assessment_of_the_soil_erosion_and_sedimentation_levels_of_selected_small_water_impounding_s.pdf,environment_natural_system,high,Soil erosion sedimentation assessment,"Assessment of the soil erosion and sedimentation levels of selected Small Water Impounding Systems (SWIS) in Nueva Ecija, Philippines",10.15243/jdmlm.2026.132.9717
2026-06-04T15:43:31,paper-0095,extraction_papers\paper-0095_dynamic_microbiota_in_water_kefir_microbial_shift_and_ecological_selection_during_fermentati.pdf,biology_biotech_non_equipment,high,Microbiota fermentation dynamics,Dynamic microbiota in water kefir: microbial shift and ecological selection during fermentation,10.1186/s12866-025-04461-y
2026-06-04T15:43:31,paper-0097,extraction_papers\paper-0097_mathematical_modeling_of_a_hydro_mechanical_system_with_a_positive_displacement_motor_and_hy.pdf,acronym_collision,high,PDM is positive displacement motor,Mathematical Modeling of a Hydro-mechanical System with a Positive Displacement Motor and Hydraulic Thruster to Optimize the Drilling Process for Extended-reach Drilling Wells,10.5829/ije.2026.39.05b.03
2026-06-04T15:43:31,paper-0119,extraction_papers\paper-0119_protein_qid74_protects_the_cell_wall_of_trichoderma_from_degradation_caused_by_its_own_chiti.pdf,acronym_collision,high,CBM is carbohydrate binding module,"Protein QID74 protects the cell wall of Trichoderma from degradation caused by its own chitinase, which lacks a carbohydrate-binding module",10.1128/mbio.00018-26
2026-06-04T15:43:31,paper-0130,extraction_papers\paper-0130_a_framework_for_the_predictive_monitoring_and_data_quality_assurance_in_the_cloud_continuum.pdf,software_it_cyber,high,Cloud continuum monitoring,A framework for the predictive monitoring and data quality assurance in the cloud continuum,10.1186/s13677-026-00881-x
2026-06-04T15:43:31,paper-0158,extraction_papers\paper-0158_artificial_neural_network_based_classification_of_industrial_sustainability_profiles_for_dif.pdf,business_social_finance,high,Sustainability fiscal policy classification,Artificial Neural Network-Based Classification of Industrial Sustainability Profiles for Differentiated Fiscal Policy Design in Remanufacturing Processes,10.3390/pr14091501
