query_index;facts_file;extracted_case_count;task;case_study_type;case_study;online_offline;input_for_model;input_type;normalization_notes;normalized_task;normalized_case_study_type;normalized_case_study;normalized_online_offline;normalized_input_for_model;normalized_input_type;top_k;pool_size
1;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_007742b6c86c.ttl;1;Health assessment;Maintainable item;FactsHemisphereStructure;Unknown synchronization;Not reported;FactsPixelCount;case-study type dropped: Maintainable item | case study dropped: FactsHemisphereStructure | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsPixelCount;Health assessment;;;;;;5;15
2;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_021ea55a70f1.ttl;1;Remaining useful life estimation;Maintainable item;Solid/Liquid Hybrid Electrolyte Lithium-ion Battery (SLE-LIB);Unknown synchronization;Not reported;FactsImpedanceFeatures, FactsecmParametersTemperature;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;Solid/Liquid Hybrid Electrolyte Lithium-ion Battery (SLE-LIB);;;FactsImpedanceFeatures, FactsecmParametersTemperature;5;15
3;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_046ebc06c607.ttl;1;Fault detection;Maintainable item;FactsLongCable;Unknown synchronization;Not reported;conduction current, real component of complex permittivity, FactsSpaceCharge;case-study type dropped: Maintainable item | case study dropped: FactsLongCable | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;conduction current, real component of complex permittivity, FactsSpaceCharge;5;15
4;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_051f27a6a164.ttl;1;Fault identification;Maintainable item;FactsCncFeedDrive;Unknown synchronization;Not reported;FactsCurrentSignal, FactsSpeedSignal, FactsTemperatureSignal, FactsVoltageSignal;case-study type dropped: Maintainable item | case study dropped: FactsCncFeedDrive | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;;;;FactsCurrentSignal, FactsSpeedSignal, FactsTemperatureSignal, FactsVoltageSignal;5;15
5;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_08d54e2673f7.ttl;2;Fault detection;Maintainable item;Not reported;Unknown synchronization;Not reported;Factsintegerparameter_1;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factsintegerparameter_1;Fault detection;;;;;;5;15
6;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_098cb9c7ac60.ttl;3;Remaining useful life estimation;Maintainable item;FactsBattery1;Unknown synchronization;Not reported;FactsCapacityMeasure, charge/discharge conditions, environmental factors, internal electrochemical evolution;case-study type dropped: Maintainable item | case study dropped: FactsBattery1 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;;;;FactsCapacityMeasure, charge/discharge conditions, environmental factors, internal electrochemical evolution;5;15
7;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0d538c41d5c9.ttl;1;One step future state forecast;Maintainable item;FactsPcdBearing;Unknown synchronization;Not reported;FactsmaxRotationalSpeed;case-study type dropped: Maintainable item | case study dropped: FactsPcdBearing | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsmaxRotationalSpeed;One step future state forecast;;;;;;5;15
8;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0e5bc1020e80.ttl;2;Fault detection;Maintainable item;15 kg LPG pressure vessel;Unknown synchronization;Not reported;FBG strain signal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;15 kg LPG pressure vessel;;;FBG strain signal;5;15
9;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1015dc489115.ttl;1;One step future state forecast;Maintainable item;Self-Excited Induction Generator;Unknown synchronization;Not reported;Capacitance variation, FactsExcitationCapacitance, load variation, rotor speed;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;Self-Excited Induction Generator;;;Capacitance variation, FactsExcitationCapacitance, load variation, rotor speed;5;15
10;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_13663772d3a7.ttl;1;Fault detection;Maintainable item;Factsspindlemotor_3;Unknown synchronization;Not reported;FactsRms_2, FactsspectralEnergyRatios;case-study type dropped: Maintainable item | case study dropped: Factsspindlemotor_3 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;FactsRms_2, FactsspectralEnergyRatios;5;15
11;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_14cabde81b60.ttl;3;Fault identification;Maintainable item;modeled pipeline segment;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault identification;;modeled pipeline segment;;;;5;15
12;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1a71ce029db3.ttl;2;One step future state forecast;Maintainable item;real aircraft composite structure (subject under test);Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;real aircraft composite structure (subject under test);;;;5;15
13;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1f647e26aadf.ttl;3;Fault identification;Maintainable item;cutter c4;Unknown synchronization;Not reported;FactsAcousticData, FactsDenoising, FactsMultiSensorData, FactsPrimaryCuttingForce, FactsTemperatureData, FactsTimeFrequencyInputs, FactsToolVibrations, Factsscalogram1;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;cutter c4;;;FactsAcousticData, FactsDenoising, FactsMultiSensorData, FactsPrimaryCuttingForce, FactsTemperatureData, FactsTimeFrequencyInputs, FactsToolVibrations, Factsscalogram1;5;15
