removed_at,corpus_id,pdf_path,screening_reason_category,screening_confidence,screening_notes,title,doi
2026-06-11T14:56:46,paper-0203,extraction_papers\paper-0203_investigation_of_leakage_current_behaviour_on_artificially_contaminated_insulators_under_sup.pdf,generic_nonmaintenance_ai_control,medium,Insulator leakage behavior lacks maintenance decision,Investigation of Leakage Current Behaviour on Artificially Contaminated Insulators Under Superimposed HVDC Voltage Stress and Hybrid HVDC/HVAC Transmission Conditions,10.3390/en19092183
2026-06-11T14:56:46,paper-0260,extraction_papers\paper-0260_reliability_inference_and_remaining_useful_life_prediction_based_on_the_two_parameter_bathtu.pdf,generic_nonmaintenance_ai_control,high,Statistical lifetime model lacks asset use-case,Reliability Inference and Remaining Useful Life Prediction Based on the Two-Parameter Bathtub-Shaped Lifetime Distribution Under Progressive Type-II Censoring,10.3390/math14071109
2026-06-11T14:56:46,paper-0276,extraction_papers\paper-0276_hierarchical_spatio_temporal_graph_network_for_risk_prediction.pdf,generic_nonmaintenance_ai_control,high,Generic risk prediction lacks asset use-case,Hierarchical spatio-temporal graph network for risk prediction,10.1038/s41598-025-33873-z
2026-06-11T14:56:46,paper-0279,extraction_papers\paper-0279_deep_transfer_learning_framework_for_thermal_tomographic_image_classification_a_comparative.pdf,generic_nonmaintenance_ai_control,medium,Thermal tomography method lacks asset case,Deep transfer learning framework for thermal tomographic image classification: a comparative study,10.1007/s41939-025-01153-y
2026-06-11T14:56:46,paper-0329,extraction_papers\paper-0329_study_on_the_impact_of_the_synergistic_effect_of_alternating_electric_field_and_mechanical_v.pdf,generic_nonmaintenance_ai_control,medium,GIS defect mechanism lacks maintenance decision,Study on the Impact of the Synergistic Effect of Alternating Electric Field and Mechanical Vibration on the Jumping Characteristics of Particles Defects in GIS,10.3390/en19092053
2026-06-11T14:56:46,paper-0459,extraction_papers\paper-0459_wind_turbine_gearbox_oil_temperature_forecasting_using_stochastic_differential_equations_and.pdf,generic_nonmaintenance_ai_control,medium,Temperature forecasting lacks maintenance objective,Wind Turbine Gearbox Oil Temperature Forecasting Using Stochastic Differential Equations and Multi-Objective Grey Modeling,10.3390/machines14040386
2026-06-11T14:56:46,paper-0504,extraction_papers\paper-0504_renewable_energy_and_resource_recovery_systems_using_ai_tools.pdf,generic_nonmaintenance_ai_control,high,Broad AI energy overview lacks maintenance case,RENEWABLE ENERGY AND RESOURCE RECOVERY SYSTEMS USING AI TOOLS,10.5935/jetia.v12i57.3064
2026-06-11T14:56:46,paper-0538,extraction_papers\paper-0538_machine_learning_analysis_of_inlet_air_filter_differential_pressure_effects_on_gas_turbine_p.pdf,generic_nonmaintenance_ai_control,medium,Filter performance study lacks maintenance decision,Machine Learning Analysis of Inlet Air Filter Differential Pressure Effects on Gas Turbine Power and Efficiency with Carbon Footprint Assessment,10.3390/machines14020170
2026-06-11T14:56:46,paper-0575,extraction_papers\paper-0575_bayesian_fractional_weibull_regression_for_reliability_prognostics_and_predictive_maintenanc.pdf,generic_nonmaintenance_ai_control,high,Generic Weibull PdM method lacks asset case,Bayesian Fractional Weibull Regression for Reliability Prognostics and Predictive Maintenance,10.3390/math14010169
2026-06-11T14:56:46,paper-0578,extraction_papers\paper-0578_efficient_hierarchical_latent_gaussian_models_for_heterogeneous_and_skewed_iot_reliability_d.pdf,generic_nonmaintenance_ai_control,medium,Generic IoT reliability model lacks asset case,Efficient Hierarchical Latent Gaussian Models for Heterogeneous and Skewed IoT Reliability Data,10.3390/sym18020325
