batch_index,corpus_id,filename,source_path,staged_path,staged_by
1,paper-0269,paper-0269_service_oriented_architecture_for_decision_support_in_industrial_life_cycle_management_desig.pdf,extraction_papers/paper-0269_service_oriented_architecture_for_decision_support_in_industrial_life_cycle_management_desig.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0269_service_oriented_architecture_for_decision_support_in_industrial_life_cycle_management_desig.pdf,hardlink
2,paper-0273,paper-0273_physics_enhanced_orthogonal_sensing_for_self_supervised_anomaly_detection_in_rolling_mills.pdf,extraction_papers/paper-0273_physics_enhanced_orthogonal_sensing_for_self_supervised_anomaly_detection_in_rolling_mills.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0273_physics_enhanced_orthogonal_sensing_for_self_supervised_anomaly_detection_in_rolling_mills.pdf,hardlink
3,paper-0280,paper-0280_early_fault_detection_in_gearboxes_via_dynamic_principal_component_analysis_driven_multivari.pdf,extraction_papers/paper-0280_early_fault_detection_in_gearboxes_via_dynamic_principal_component_analysis_driven_multivari.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0280_early_fault_detection_in_gearboxes_via_dynamic_principal_component_analysis_driven_multivari.pdf,hardlink
4,paper-0284,paper-0284_explainable_machine_learning_for_incipient_anomaly_detection_in_compact_molten_salt_heat_exc.pdf,extraction_papers/paper-0284_explainable_machine_learning_for_incipient_anomaly_detection_in_compact_molten_salt_heat_exc.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0284_explainable_machine_learning_for_incipient_anomaly_detection_in_compact_molten_salt_heat_exc.pdf,hardlink
5,paper-0287,paper-0287_shap_driven_fractional_long_range_model_for_degradation_trend_prediction_of_proton_exchange.pdf,extraction_papers/paper-0287_shap_driven_fractional_long_range_model_for_degradation_trend_prediction_of_proton_exchange.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0287_shap_driven_fractional_long_range_model_for_degradation_trend_prediction_of_proton_exchange.pdf,hardlink
6,paper-0289,paper-0289_mechaforge_a_multi_strategy_time_series_synthesis_framework_for_intelligent_fault_diagnosis.pdf,extraction_papers/paper-0289_mechaforge_a_multi_strategy_time_series_synthesis_framework_for_intelligent_fault_diagnosis.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0289_mechaforge_a_multi_strategy_time_series_synthesis_framework_for_intelligent_fault_diagnosis.pdf,hardlink
7,paper-0302,paper-0302_dban_net_a_dual_branch_attention_network_for_acoustic_fault_detection_in_electrical_power_eq.pdf,extraction_papers/paper-0302_dban_net_a_dual_branch_attention_network_for_acoustic_fault_detection_in_electrical_power_eq.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0302_dban_net_a_dual_branch_attention_network_for_acoustic_fault_detection_in_electrical_power_eq.pdf,hardlink
8,paper-0305,paper-0305_machine_learning_applications_in_predictive_maintenance_data_balancing_and_feature_selection.pdf,extraction_papers/paper-0305_machine_learning_applications_in_predictive_maintenance_data_balancing_and_feature_selection.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0305_machine_learning_applications_in_predictive_maintenance_data_balancing_and_feature_selection.pdf,hardlink
9,paper-0306,paper-0306_development_and_practical_application_of_condition_monitoring_system_for_ultra_high_voltage.pdf,extraction_papers/paper-0306_development_and_practical_application_of_condition_monitoring_system_for_ultra_high_voltage.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0306_development_and_practical_application_of_condition_monitoring_system_for_ultra_high_voltage.pdf,hardlink
10,paper-0307,paper-0307_an_rl_guided_hybrid_forecasting_framework_for_aircraft_engine_rul_and_performance_emission_p.pdf,extraction_papers/paper-0307_an_rl_guided_hybrid_forecasting_framework_for_aircraft_engine_rul_and_performance_emission_p.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0307_an_rl_guided_hybrid_forecasting_framework_for_aircraft_engine_rul_and_performance_emission_p.pdf,hardlink
11,paper-0313,paper-0313_optimizing_charge_discharge_cycles_using_qpponet_enabled_hybrid_learning_framework_for_energ.pdf,extraction_papers/paper-0313_optimizing_charge_discharge_cycles_using_qpponet_enabled_hybrid_learning_framework_for_energ.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0313_optimizing_charge_discharge_cycles_using_qpponet_enabled_hybrid_learning_framework_for_energ.pdf,hardlink
12,paper-0315,paper-0315_value_of_information_based_assessment_of_strain_based_thickness_loss_monitoring_in_ship_hull.pdf,extraction_papers/paper-0315_value_of_information_based_assessment_of_strain_based_thickness_loss_monitoring_in_ship_hull.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0315_value_of_information_based_assessment_of_strain_based_thickness_loss_monitoring_in_ship_hull.pdf,hardlink
13,paper-0319,paper-0319_condition_diagnostics_of_marine_centrifugal_pumps_based_on_blade_passing_frequency_harmonics.pdf,extraction_papers/paper-0319_condition_diagnostics_of_marine_centrifugal_pumps_based_on_blade_passing_frequency_harmonics.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0319_condition_diagnostics_of_marine_centrifugal_pumps_based_on_blade_passing_frequency_harmonics.pdf,hardlink
14,paper-0320,paper-0320_gpcn_a_decomposition_based_hybrid_model_for_a_lithium_ion_capacity_forecasting_and_rul_infer.pdf,extraction_papers/paper-0320_gpcn_a_decomposition_based_hybrid_model_for_a_lithium_ion_capacity_forecasting_and_rul_infer.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0320_gpcn_a_decomposition_based_hybrid_model_for_a_lithium_ion_capacity_forecasting_and_rul_infer.pdf,hardlink
15,paper-0324,paper-0324_rul_estimation_of_rolling_element_bearings_using_a_hybrid_wavelet_packet_decomposition_recur.pdf,extraction_papers/paper-0324_rul_estimation_of_rolling_element_bearings_using_a_hybrid_wavelet_packet_decomposition_recur.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0324_rul_estimation_of_rolling_element_bearings_using_a_hybrid_wavelet_packet_decomposition_recur.pdf,hardlink
16,paper-0326,paper-0326_genetic_algorithm_based_series_parallel_mode_narx_model_gabpm_narx_for_remaining_useful_life.pdf,extraction_papers/paper-0326_genetic_algorithm_based_series_parallel_mode_narx_model_gabpm_narx_for_remaining_useful_life.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0326_genetic_algorithm_based_series_parallel_mode_narx_model_gabpm_narx_for_remaining_useful_life.pdf,hardlink
17,paper-0330,paper-0330_a_simulation_study_on_wear_monitoring_and_prognosis_in_electro_mechanical_brakes_for_a_small.pdf,extraction_papers/paper-0330_a_simulation_study_on_wear_monitoring_and_prognosis_in_electro_mechanical_brakes_for_a_small.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0330_a_simulation_study_on_wear_monitoring_and_prognosis_in_electro_mechanical_brakes_for_a_small.pdf,hardlink
18,paper-0331,paper-0331_a_lightweight_1d_cnn_transformer_for_bearing_fault_diagnosis_under_limited_data_and_awgn_int.pdf,extraction_papers/paper-0331_a_lightweight_1d_cnn_transformer_for_bearing_fault_diagnosis_under_limited_data_and_awgn_int.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0331_a_lightweight_1d_cnn_transformer_for_bearing_fault_diagnosis_under_limited_data_and_awgn_int.pdf,hardlink
19,paper-0333,paper-0333_a_machine_learning_framework_for_long_term_forecasting_of_spare_part_demand_in_end_of_life_p.pdf,extraction_papers/paper-0333_a_machine_learning_framework_for_long_term_forecasting_of_spare_part_demand_in_end_of_life_p.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0333_a_machine_learning_framework_for_long_term_forecasting_of_spare_part_demand_in_end_of_life_p.pdf,hardlink
20,paper-0337,paper-0337_active_sensing_based_prognostics_for_impacted_cfrp_structures_under_compressive_fatigue_load.pdf,extraction_papers/paper-0337_active_sensing_based_prognostics_for_impacted_cfrp_structures_under_compressive_fatigue_load.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0337_active_sensing_based_prognostics_for_impacted_cfrp_structures_under_compressive_fatigue_load.pdf,hardlink
21,paper-0339,paper-0339_novel_fault_diagnosis_technology_based_on_integrated_spectral_kurtosis_for_gearboxes.pdf,extraction_papers/paper-0339_novel_fault_diagnosis_technology_based_on_integrated_spectral_kurtosis_for_gearboxes.pdf,extraction_papers/ontocast_runs/run_500_20260710_185042/input/paper-0339_novel_fault_diagnosis_technology_based_on_integrated_spectral_kurtosis_for_gearboxes.pdf,hardlink
