id,decision,reason_category,confidence,notes
paper-1935,included,physical_asset_maintenance,high,solar tower heliostat condition monitoring
paper-1948,excluded,civil_geotechnical_infrastructure,high,concrete plaster and wall crack classification
paper-1953,excluded,civil_geotechnical_infrastructure,high,rail squat and track condition monitoring
paper-1954,included,physical_asset_maintenance,high,train wheel defect detection
paper-1959,included,physical_asset_maintenance,high,pantograph contact strip defect detection
paper-1967,excluded,civil_geotechnical_infrastructure,high,railway track vertical alignment monitoring
paper-1969,excluded,civil_geotechnical_infrastructure,high,construction formwork support structural monitoring
paper-1971,excluded,civil_geotechnical_infrastructure,high,road defect detection
paper-1976,included,physical_asset_maintenance,medium,power cable bending deformation monitoring
paper-1998,included,physical_asset_maintenance,medium,electrical distribution network fault prediction
paper-2002,excluded,civil_geotechnical_infrastructure,medium,smart water infrastructure operations focus
paper-2009,included,physical_asset_maintenance,high,elevator PMSM drive fault prediction
paper-2018,included,physical_asset_maintenance,high,generic RUL prediction tool for PHM
paper-2020,excluded,civil_geotechnical_infrastructure,high,winter road surface condition monitoring
paper-2026,excluded,civil_geotechnical_infrastructure,high,concrete structure deterioration assessment
paper-2039,included,physical_asset_maintenance,high,fuel cell vehicle digital twin monitoring
paper-2051,included,physical_asset_maintenance,high,industrial engine digital twin monitoring
paper-2053,included,physical_asset_maintenance,high,wind turbine gear transmission fault warning
paper-2058,excluded,civil_geotechnical_infrastructure,high,historical building structural assessment
paper-2069,excluded,civil_geotechnical_infrastructure,high,bridge seismic retrofitting and deterioration
paper-2072,included,physical_asset_maintenance,medium,subsea pipeline and offshore platform monitoring
paper-2076,excluded,civil_geotechnical_infrastructure,high,pavement roughness monitoring
paper-2085,excluded,civil_geotechnical_infrastructure,high,highway pavement performance prediction
paper-2090,included,physical_asset_maintenance,high,manufacturing tool wear monitoring
paper-2098,included,physical_asset_maintenance,high,lunar manufacturing equipment digital twins
paper-2108,included,physical_asset_maintenance,high,industrial robotic process digital twin
paper-2118,included,physical_asset_maintenance,high,air compressor condition monitoring
paper-2121,included,physical_asset_maintenance,high,industrial component maintenance effectiveness
paper-2124,excluded,civil_geotechnical_infrastructure,high,cultural heritage site conservation monitoring
paper-2127,excluded,civil_geotechnical_infrastructure,high,pavement crack deterioration prediction
paper-2132,excluded,civil_geotechnical_infrastructure,high,rail corrugation track defect detection
paper-2138,excluded,civil_geotechnical_infrastructure,high,reinforced concrete deterioration modeling
paper-2141,excluded,civil_geotechnical_infrastructure,high,reinforced concrete beam debonding failure
paper-2161,included,physical_asset_maintenance,high,engine oil condition based maintenance
paper-2169,excluded,civil_geotechnical_infrastructure,medium,rail infrastructure and well deformation monitoring
paper-2191,excluded,civil_geotechnical_infrastructure,high,railway track irregularity detection
paper-2195,included,physical_asset_maintenance,high,industrial machine condition indicator monitoring
paper-2202,included,physical_asset_maintenance,high,battery electrode failure prediction
paper-2204,included,physical_asset_maintenance,medium,power systems predictive maintenance use case
paper-2207,included,physical_asset_maintenance,high,power equipment insulation diagnostics
paper-2209,included,physical_asset_maintenance,high,aircraft maintenance digital twin framework
paper-2214,excluded,civil_geotechnical_infrastructure,high,reinforced concrete column seismic degradation
paper-2220,excluded,civil_geotechnical_infrastructure,high,bridge condition monitoring
paper-2221,included,physical_asset_maintenance,high,solar panel fault detection and cleaning
paper-2222,included,physical_asset_maintenance,high,lithium ion battery SOH and RUL
paper-2229,included,physical_asset_maintenance,medium,buried pipeline failure pressure prediction
paper-2231,included,physical_asset_maintenance,medium,water pipeline leak and burst detection
paper-2232,included,physical_asset_maintenance,high,industrial system reduced order digital twins
paper-2243,excluded,civil_geotechnical_infrastructure,high,paved road network condition management
paper-2246,included,physical_asset_maintenance,high,passenger car brake pad wear estimation
paper-2253,excluded,civil_geotechnical_infrastructure,high,steel bridge corrosion fatigue degradation
paper-2255,included,physical_asset_maintenance,high,cement mill fan vibration prediction
paper-2267,included,physical_asset_maintenance,high,wind turbine blade defect criticality
