lambda_relevance,query_index,task,baseline_refs,reranked_refs,changed_order,changed_reference_set,top1_preserved,baseline_top_similarity,diverse_top_similarity,baseline_mean_similarity,diverse_mean_similarity,baseline_unique_models,diverse_unique_models,baseline_has_duplicate_models,diverse_has_duplicate_models,baseline_intra_list_dissimilarity,diverse_intra_list_dissimilarity
0.5,1,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,2,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.521,0.521,0.521,0.521,4,5,1,0,0.3189603238866397,0.5494555202976256
0.5,3,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,4,Fault identification,"210,201,202,203,48","210,48,247,212,243",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.5280894698410694,0.6597099496709253
0.5,5,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,6,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,7,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,8,Fault detection,"218,245,19,166,167","218,47,200,215,19",True,True,True,0.514,0.514,0.5115999999999999,0.5098,4,5,1,0,0.5024491064491065,0.5484096941070625
0.5,9,One step future state forecast,"131,132,106,135,133","131,10,135,132,133",True,True,True,0.509,0.509,0.509,0.5075999999999999,5,5,0,0,0.29957983193277304,0.32854030501089326
0.5,10,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,11,Fault identification,"252,210,48,50,49","252,210,212,216,246",True,True,True,0.601,0.601,0.5985999999999999,0.5955999999999999,5,5,0,0,0.4748623876765084,0.5775378957086275
0.5,12,One step future state forecast,"106,10,131,132,135","106,132,247,135,10",True,True,True,0.591,0.591,0.5851999999999999,0.49660000000000004,5,5,0,0,0.3490736383442266,0.5554592592592592
0.5,13,Fault identification,"255,210,48,50,49","255,216,13,201,246",True,True,True,0.527,0.527,0.5126,0.5102,5,5,0,0,0.5451870578084556,0.6176765447667087
0.5,14,Fault detection,"20,175,72,195,42","20,44,34,195,33",True,True,True,0.589,0.589,0.5835999999999999,0.5833999999999999,5,5,0,0,0.34420448679288984,0.5023265854420493
0.5,15,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,16,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,17,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,18,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,19,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,20,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,21,Remaining useful life estimation,"225,172,155,51,53","225,222,126,55,53",True,True,True,0.523,0.523,0.5146000000000001,0.5134000000000001,5,5,0,0,0.4250524064171123,0.43797631487286665
0.5,22,Fault detection,"209,211,230,191,19","209,42,211,215,72",True,True,True,0.516,0.516,0.5154,0.5119999999999999,5,5,0,0,0.48677655677655673,0.5960707847636602
0.5,23,Fault feature extraction,"32,253,198,229,190","32,190,229,198,235",True,True,True,0.532,0.532,0.5236,0.5187999999999999,5,5,0,0,0.6079609279609279,0.5967863247863248
0.5,24,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,25,Remaining useful life estimation,"68,67,197,35,37","68,197,120,30,36",True,True,True,0.536,0.536,0.5312,0.5288,4,5,1,0,0.49052959188421974,0.5162971659919029
0.5,26,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,27,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,28,Fault feature extraction,"32,253,198,18,235","32,190,198,229,235",True,True,True,0.671,0.671,0.6404,0.6234,5,5,0,0,0.4523768115942029,0.5967863247863249
