screening_decision,screening_reason_category,screening_confidence,screening_notes,corpus_id,year,title,authors,source_title,doi,doi_url,doi_prefix,publisher_family,open_access,scopus_link,eid,retrieval_status,attempted_candidates,notes,expected_pdf_filename
included,physical_asset_maintenance,high,RUL estimation for industrial systems,paper-0003,2026,GRADA: Gradient regularized adversarial domain adaptation for remaining useful lifetime estimation,Rafay Bin Shah S.; Schwung A.,Expert Systems with Applications,10.1016/j.eswa.2026.132600,https://doi.org/10.1016/j.eswa.2026.132600,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105037866225?origin=resultslist,2-s2.0-105037866225,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0003_grada_gradient_regularized_adversarial_domain_adaptation_for_remaining_useful_lifetime_estim.pdf
included,physical_asset_maintenance,high,Spline wear degradation monitoring,paper-0006,2026,A Riemannian-Hyperbolic Space-Based Algorithm for multisensor data fusion in spline degradation monitoring,Yu H.; Yan W.; Xie J.; Cao Y.; Zhou W.; Wan Q.; Zhu R.; Chen W.,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114321,https://doi.org/10.1016/j.ymssp.2026.114321,10.1016,Elsevier / ScienceDirect,All Open Access; Green Open Access,https://www.scopus.com/pages/publications/105036666597?origin=resultslist,2-s2.0-105036666597,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0006_a_riemannian_hyperbolic_space_based_algorithm_for_multisensor_data_fusion_in_spline_degradat.pdf
included,physical_asset_maintenance,high,Bearing defect prognostics,paper-0009,2026,Dynamics-based condition indicators for defective rolling elements in ball bearings: a multi-sensorial endurance test and simulation analysis,Talan A.; Schwarcz O.; Bublil T.; Shoham S.; Dolev E.; Maimon Y.; Bortman J.,Engineering Failure Analysis,10.1016/j.engfailanal.2026.110879,https://doi.org/10.1016/j.engfailanal.2026.110879,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105036645531?origin=resultslist,2-s2.0-105036645531,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0009_dynamics_based_condition_indicators_for_defective_rolling_elements_in_ball_bearings_a_multi.pdf
included,physical_asset_maintenance,high,Bearing health and RUL prediction,paper-0016,2026,Bearing health status assessment based on unsupervised clustering and dual-prediction model,Chen J.; Zhang W.; Zhang X.; Yan X.,Measurement Science and Technology,10.1088/1361-6501/ae599b,https://doi.org/10.1088/1361-6501/ae599b,10.1088,IOP/ECS,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105037753303?origin=resultslist,2-s2.0-105037753303,requires_manual_download,1,No candidate OA PDF URL produced a usable PDF automatically.,paper-0016_bearing_health_status_assessment_based_on_unsupervised_clustering_and_dual_prediction_model.pdf
included,physical_asset_maintenance,high,Aircraft engine clearance monitoring,paper-0020,2026,Integration of the Phase Shift Method Into Intensity-Modulated Optical Sensors for Extended-Range Distance Measurements in Aircraft Engines,Aldabaldetreku G.; Durana G.; Amorebieta J.; Zubia J.; Zubia G.; Novoa D.,IEEE Sensors Journal,10.1109/JSEN.2026.3668044,https://doi.org/10.1109/JSEN.2026.3668044,10.1109,IEEE,All Open Access; Green Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105031962384?origin=resultslist,2-s2.0-105031962384,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0020_integration_of_the_phase_shift_method_into_intensity_modulated_optical_sensors_for_extended.pdf
included,physical_asset_maintenance,high,Boiler tube predictive maintenance,paper-0027,2026,Development of a Boiler Monitoring System for Predictive Maintenance of Boiler Tube Failures,Marangwanda G.T.; Musonda I.,"Journal of Energy Resources Technology, Part A: Sustainable and Renewable Energy",10.1115/1.4071543,https://doi.org/10.1115/1.4071543,10.1115,Other,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105037129052?origin=resultslist,2-s2.0-105037129052,requires_manual_download,1,No candidate OA PDF URL produced a usable PDF automatically.,paper-0027_development_of_a_boiler_monitoring_system_for_predictive_maintenance_of_boiler_tube_failures.pdf
included,physical_asset_maintenance,high,Pipeline steel degradation monitoring,paper-0028,2026,In situ eddy current and ultrasonic monitoring of hydrogen diffusion in API X70 pipeline steel,Inc Y.; Suman S.; Siddig M.; Puthiyaveettil N.,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2026.155434,https://doi.org/10.1016/j.ijhydene.2026.155434,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105038266888?origin=resultslist,2-s2.0-105038266888,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0028_in_situ_eddy_current_and_ultrasonic_monitoring_of_hydrogen_diffusion_in_api_x70_pipeline_ste.pdf
included,physical_asset_maintenance,high,Industrial equipment condition monitoring,paper-0030,2026,FedSSLMfg: Federated self-supervised learning for heterogeneity-resilient and label-efficient condition monitoring in smart manufacturing,Wang J.; Qin X.; Lu W.,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114295,https://doi.org/10.1016/j.ymssp.2026.114295,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105036253471?origin=resultslist,2-s2.0-105036253471,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0030_fedsslmfg_federated_self_supervised_learning_for_heterogeneity_resilient_and_label_efficient.pdf
included,physical_asset_maintenance,high,Gear transmission misalignment diagnosis,paper-0032,2026,Dynamic modelling and vibration characteristic analysis of gear transmission system under the effect of time-varying misalignment from clearance of bearings,Xu M.; Wang M.; Zeng Y.; Han Y.; Huang J.; Yu W.; Gu F.,Measurement: Journal of the International Measurement Confederation,10.1016/j.measurement.2026.120961,https://doi.org/10.1016/j.measurement.2026.120961,10.1016,Elsevier / ScienceDirect,All Open Access; Green Open Access,https://www.scopus.com/pages/publications/105032146647?origin=resultslist,2-s2.0-105032146647,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0032_dynamic_modelling_and_vibration_characteristic_analysis_of_gear_transmission_system_under_th.pdf
included,physical_asset_maintenance,high,Railway detector maintenance framework,paper-0033,2026,"Hot axle box detectors hot wheel detectors: towards a harmonised, digital and international safety framework",Botella J.; Cabral J.-M.,Railway Sciences,10.1108/RS-09-2025-0046,https://doi.org/10.1108/RS-09-2025-0046,10.1108,Other,All Open Access; Gold Open Access; Green Open Access,https://www.scopus.com/pages/publications/105030511223?origin=resultslist,2-s2.0-105030511223,requires_manual_download,1,No candidate OA PDF URL produced a usable PDF automatically.,paper-0033_hot_axle_box_detectors_hot_wheel_detectors_towards_a_harmonised_digital_and_international_sa.pdf
