corpus_id,old_decision,new_decision,strict_reason_category,mapped_screening_reason_category,strict_confidence,strict_notes,Title,DOI,Source title
paper-0017,included,excluded,generic_structural_material,other_nonmaintenance,high,Pipeline design failure modeling not maintenance,Data-driven machine learning and finite element-informed surrogate modeling for design optimization and failure prediction of reinforced thermoplastic pipes,10.1016/j.jmrt.2026.05.062,Journal of Materials Research and Technology
paper-0059,included,excluded,generic_structural_material,other_nonmaintenance,medium,Ignition mechanism lacks maintenance use-case,Ignition of Vegetation Induced by Discharge from Abraded Medium-Voltage Insulated Overhead Lines,10.3390/en19081990,Energies
paper-0139,included,excluded,generic_structural_material,other_nonmaintenance,medium,Polyimide aging study lacks maintenance decision,High temperature performance of polyimide under accelerated thermal aging: linking chemical modifications to electrical properties,10.1016/j.polymdegradstab.2026.111939,Polymer Degradation and Stability
paper-0181,included,excluded,generic_structural_material,other_nonmaintenance,high,Composite failure mechanics lacks maintenance use-case,Multi-fidelity probabilistic failure onset analysis of composite structures under uncertainties,10.1016/j.cma.2026.118849,Computer Methods in Applied Mechanics and Engineering
paper-0188,included,excluded,generic_structural_material,other_nonmaintenance,medium,Numerical corrosion solver lacks asset case,Fast solution of a phase-field model of pitting corrosion,10.1016/j.jcp.2026.114717,Journal of Computational Physics
paper-0191,included,excluded,other_nonmaintenance,other_nonmaintenance,high,Dental restoration diagnostics not equipment maintenance,Smart Diagnostics: Hierarchical Deep Learning of Acoustic Emission Signals for Early Crack Detection in Zirconia Dental Structures,10.3390/s26092682,Sensors
paper-0194,included,excluded,heritage_culture_building,other_nonmaintenance,high,Cultural heritage risk prediction excluded,Optimization of architectural cultural heritage protection and sustainable development strategy based on deep learning and data mining,10.1007/s44163-026-00913-0,Discover Artificial Intelligence
paper-0199,included,excluded,heritage_culture_building,other_nonmaintenance,high,Residential building energy retrofit maintenance excluded,Maintenance as an Opportunity to Improve Residential Buildings’ Energy Efficiency: Evaluation of Life-Cycle Costs,10.3390/buildings16081551,Buildings
paper-0342,included,excluded,generic_structural_material,other_nonmaintenance,high,Hydrogen tank mechanics lacks maintenance decision,Failure prediction in composite hydrogen storage tanks using recurrent deep learning models,10.1016/j.est.2026.122150,Journal of Energy Storage
paper-0413,included,excluded,generic_structural_material,other_nonmaintenance,medium,Aqueduct FEM assessment lacks maintenance decision,Temperature sensitivity analysis and service performance evaluation of aqueduct arch ring beam structures based on finite element method,10.1038/s41598-025-34804-8,Scientific Reports
paper-0455,included,excluded,generic_structural_material,other_nonmaintenance,medium,Drill-pipe strength prediction lacks maintenance use-case,Hybrid experimental-numerical-machine learning study for high temperature working limit characteristics and efficient failure prediction of aluminum-drill-pipe-tool-joint-assemblies,10.1016/j.rineng.2026.110823,Results in Engineering
paper-0460,included,excluded,generic_structural_material,other_nonmaintenance,high,Pipe fracture mechanics lacks maintenance decision,"A brittle failure evaluation of a semi-elliptical surface crack in a pipe mock-up using three variations of the advanced master curve assessment accounting for ductile crack growth, constraint loss and crack front length",10.1016/j.ijpvp.2026.105796,International Journal of Pressure Vessels and Piping
paper-0494,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Tunnel stability prediction in clay excluded,An innovative UBRTME–ANN hybrid approach for failure characteristic prediction of circular tunnels in heterogeneous undrained clay,10.1016/j.tust.2026.107573,Tunnelling and Underground Space Technology
paper-0559,included,excluded,generic_structural_material,other_nonmaintenance,high,Cavitation erosion model lacks asset case,A universal phenomenological model for cavitation erosion based on a modified Weibull distribution,10.1016/j.rineng.2026.109545,Results in Engineering
paper-0587,included,excluded,heritage_culture_building,other_nonmaintenance,high,Facilities appliance classification lacks maintenance focus,Automating appliance verification in facilities management using a denoised Voltage-Current feature extraction and classification pipeline,10.1016/j.jii.2025.101040,Journal of Industrial Information Integration
paper-0634,included,excluded,generic_structural_material,other_nonmaintenance,high,Pipeline material corrosion study lacks maintenance decision,"An investigation into the degradation of the mechanical properties of mild steel pipelines in simulated soil and tap water environments sourced from Bishoftu Town, Ethiopia",10.1007/s42452-026-08230-y,Discover Applied Sciences
paper-0691,included,excluded,heritage_culture_building,other_nonmaintenance,high,Architectural heritage conservation is excluded,Digital twin for cultural heritage: A computational approach to predictive conservation,10.1016/j.daach.2026.e00519,Digital Applications in Archaeology and Cultural Heritage
paper-0833,included,excluded,generic_structural_material,other_nonmaintenance,medium,Generic eddy current crack method lacks asset context,Demonstrating the Viability of Through-Transmission Eddy Current for Crack Detection,10.1007/s10921-026-01328-8,Journal of Nondestructive Evaluation
paper-0847,included,excluded,heritage_culture_building,other_nonmaintenance,medium,Facility structural monitoring is building management,Integration of Digital Twin Technology and Industry 4.0 Principles for Real-Time Structural Health Monitoring in Smart Manufacturing Facilities,10.24867/IJIEM-400,International Journal of Industrial Engineering and Management
paper-0897,included,excluded,generic_structural_material,other_nonmaintenance,high,Marine steel corrosion study lacks asset maintenance context,"Corrosion, Microstructural Evolution and Non-Destructive Monitoring of High-Strength Low-Alloy Steels Under Multiparametric Marine Exposure",10.3390/met16030270,Metals
paper-0920,included,excluded,generic_structural_material,other_nonmaintenance,high,Pressure vessel creep mechanics lacks maintenance decision,Predicting creep failure time of thick-walled spherical vessels considering large strains,10.1016/j.apples.2025.100267,Applications in Engineering Science
paper-1015,included,excluded,generic_structural_material,other_nonmaintenance,high,Composite plate deformation twin lacks maintenance use case,Real-time deformation digital twin of composite plates via distributed fiber optic sensing,10.1016/j.aei.2025.103992,Advanced Engineering Informatics
paper-1099,included,excluded,heritage_culture_building,other_nonmaintenance,high,Historical building preventive management is heritage conservation,GEPReS: A Geospatially Enabled Predictive Recommendation System for the Preventive Management of Historical Buildings,10.3390/ijgi15010001,ISPRS International Journal of Geo-Information
