screening_decision,screening_reason_category,screening_confidence,screening_notes,corpus_id,year,title,authors,source_title,doi,doi_url,doi_prefix,publisher_family,open_access,scopus_link,eid,retrieval_status,attempted_candidates,notes,expected_pdf_filename
excluded,generic_nonmaintenance_ai_control,high,controversial scan: Focuses on manufacturing quality-control ensemble fusion; asset degradation or maintenance decision is only a keyword-level linkage.,paper-0002,2026,ExpLusion: Explanation-driven Late Fusion for enhanced production process monitoring,Ferraro A.; Galli A.; Gallo M.; La Gatta V.; Postiglione M.; Moscato V.,Computers and Industrial Engineering,10.1016/j.cie.2026.112101,https://doi.org/10.1016/j.cie.2026.112101,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105038043185?origin=resultslist,2-s2.0-105038043185,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0002_explusion_explanation_driven_late_fusion_for_enhanced_production_process_monitoring.pdf
included,physical_asset_maintenance,high,RUL estimation for industrial systems,paper-0003,2026,GRADA: Gradient regularized adversarial domain adaptation for remaining useful lifetime estimation,Rafay Bin Shah S.; Schwung A.,Expert Systems with Applications,10.1016/j.eswa.2026.132600,https://doi.org/10.1016/j.eswa.2026.132600,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105037866225?origin=resultslist,2-s2.0-105037866225,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0003_grada_gradient_regularized_adversarial_domain_adaptation_for_remaining_useful_lifetime_estim.pdf
included,physical_asset_maintenance,high,Spline wear degradation monitoring,paper-0006,2026,A Riemannian-Hyperbolic Space-Based Algorithm for multisensor data fusion in spline degradation monitoring,Yu H.; Yan W.; Xie J.; Cao Y.; Zhou W.; Wan Q.; Zhu R.; Chen W.,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114321,https://doi.org/10.1016/j.ymssp.2026.114321,10.1016,Elsevier / ScienceDirect,All Open Access; Green Open Access,https://www.scopus.com/pages/publications/105036666597?origin=resultslist,2-s2.0-105036666597,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0006_a_riemannian_hyperbolic_space_based_algorithm_for_multisensor_data_fusion_in_spline_degradat.pdf
excluded,generic_nonmaintenance_ai_control,medium,Hot water control optimization,paper-0008,2026,Digital twin-based improvement of a domestic hot water control algorithm: A case study,Grela J.; Latoń D.,Energy and Buildings,10.1016/j.enbuild.2026.117354,https://doi.org/10.1016/j.enbuild.2026.117354,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105034490838?origin=resultslist,2-s2.0-105034490838,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0008_digital_twin_based_improvement_of_a_domestic_hot_water_control_algorithm_a_case_study.pdf
included,physical_asset_maintenance,high,Bearing defect prognostics,paper-0009,2026,Dynamics-based condition indicators for defective rolling elements in ball bearings: a multi-sensorial endurance test and simulation analysis,Talan A.; Schwarcz O.; Bublil T.; Shoham S.; Dolev E.; Maimon Y.; Bortman J.,Engineering Failure Analysis,10.1016/j.engfailanal.2026.110879,https://doi.org/10.1016/j.engfailanal.2026.110879,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105036645531?origin=resultslist,2-s2.0-105036645531,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0009_dynamics_based_condition_indicators_for_defective_rolling_elements_in_ball_bearings_a_multi.pdf
excluded,acronym_collision,high,PDM is melanoma prognosis,paper-0010,2026,Genomic copy number burden distinguishes the diagnosis and prognosis of primary dermal melanoma,Zhao P.; Chew C.; Szeto P.; Berry W.; Photiou L.; Wong N.C.; Dinan A.; McLean C.A.; Marshall V.M.; Cheung J.; Adler N.R.; Goodarzy F.; Andrews M.C.; Mar V.J.; Papenfuss A.T.; Shackleton M.,British Journal of Dermatology,10.1093/bjd/ljaf507,https://doi.org/10.1093/bjd/ljaf507,10.1093,Oxford University Press,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105035846541?origin=resultslist,2-s2.0-105035846541,requires_manual_download,2,No candidate OA PDF URL produced a usable PDF automatically.,paper-0010_genomic_copy_number_burden_distinguishes_the_diagnosis_and_prognosis_of_primary_dermal_melan.pdf
excluded,generic_nonmaintenance_ai_control,medium,controversial scan: Manufacturing anomaly/root-cause analysis targets process deviations and optimization; the physical asset health target is unclear.,paper-0013,2026,Multi-objective optimization-based sequential clustering and classification approach for anomaly detection and root cause analysis in the multi-stage manufacturing process,Nguyen T.P.Q.; Hoang T.N.H.G.; Le T.H.A.,Engineering Research Express,10.1088/2631-8695/ae6421,https://doi.org/10.1088/2631-8695/ae6421,10.1088,IOP/ECS,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105037897099?origin=resultslist,2-s2.0-105037897099,requires_manual_download,1,No candidate OA PDF URL produced a usable PDF automatically.,paper-0013_multi_objective_optimization_based_sequential_clustering_and_classification_approach_for_ano.pdf
excluded,generic_nonmaintenance_ai_control,medium,generic cleanup: Lubrication simulation lacks maintenance decision,paper-0014,2026,Lubrication film thickness prediction in the sliding contacts of axial piston pumps using physics-informed neural network,Qiu H.; Tinsley L.; Ompusunggu A.P.,Tribology International,10.1016/j.triboint.2026.112049,https://doi.org/10.1016/j.triboint.2026.112049,10.1016,Elsevier / ScienceDirect,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105035498196?origin=resultslist,2-s2.0-105035498196,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0014_lubrication_film_thickness_prediction_in_the_sliding_contacts_of_axial_piston_pumps_using_ph.pdf
included,physical_asset_maintenance,high,Bearing health and RUL prediction,paper-0016,2026,Bearing health status assessment based on unsupervised clustering and dual-prediction model,Chen J.; Zhang W.; Zhang X.; Yan X.,Measurement Science and Technology,10.1088/1361-6501/ae599b,https://doi.org/10.1088/1361-6501/ae599b,10.1088,IOP/ECS,All Open Access; Hybrid Gold Open Access,https://www.scopus.com/pages/publications/105037753303?origin=resultslist,2-s2.0-105037753303,requires_manual_download,1,No candidate OA PDF URL produced a usable PDF automatically.,paper-0016_bearing_health_status_assessment_based_on_unsupervised_clustering_and_dual_prediction_model.pdf
excluded,other_nonmaintenance,high,strict update: Pipeline design failure modeling not maintenance,paper-0017,2026,Data-driven machine learning and finite element-informed surrogate modeling for design optimization and failure prediction of reinforced thermoplastic pipes,Rezvanfar A.A.; Farokhi Nejad A.; Tamin M.N.; Dickhut T.; R. Koloor S.S.,Journal of Materials Research and Technology,10.1016/j.jmrt.2026.05.062,https://doi.org/10.1016/j.jmrt.2026.05.062,10.1016,Elsevier / ScienceDirect,All Open Access; Gold Open Access,https://www.scopus.com/pages/publications/105039050233?origin=resultslist,2-s2.0-105039050233,requires_manual_download,0,No candidate OA PDF URL produced a usable PDF automatically.,paper-0017_data_driven_machine_learning_and_finite_element_informed_surrogate_modeling_for_design_optim.pdf
