batch_index,corpus_id,filename,source_path,staged_path,staged_by,retry_reason
1,paper-3216,paper-3216_remaining_useful_life_prediction_of_turbofan_engine_in_varied_operational_conditions_conside.pdf,extraction_papers/paper-3216_remaining_useful_life_prediction_of_turbofan_engine_in_varied_operational_conditions_conside.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3216_remaining_useful_life_prediction_of_turbofan_engine_in_varied_operational_conditions_conside.pdf,hardlink,not_attempted_after_batch_1_crash
2,paper-3217,paper-3217_deep_learning_for_anomaly_detection_in_cnc_machine_vibration_data_a_roughlstm_based_approach.pdf,extraction_papers/paper-3217_deep_learning_for_anomaly_detection_in_cnc_machine_vibration_data_a_roughlstm_based_approach.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3217_deep_learning_for_anomaly_detection_in_cnc_machine_vibration_data_a_roughlstm_based_approach.pdf,hardlink,not_attempted_after_batch_1_crash
3,paper-3219,paper-3219_real_time_load_monitoring_in_linear_guideways_using_integrated_inductive_proximity_sensors.pdf,extraction_papers/paper-3219_real_time_load_monitoring_in_linear_guideways_using_integrated_inductive_proximity_sensors.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3219_real_time_load_monitoring_in_linear_guideways_using_integrated_inductive_proximity_sensors.pdf,hardlink,not_attempted_after_batch_1_crash
4,paper-3221,paper-3221_explainable_intelligent_inspection_of_solar_photovoltaic_systems_with_deep_transfer_learning.pdf,extraction_papers/paper-3221_explainable_intelligent_inspection_of_solar_photovoltaic_systems_with_deep_transfer_learning.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3221_explainable_intelligent_inspection_of_solar_photovoltaic_systems_with_deep_transfer_learning.pdf,hardlink,not_attempted_after_batch_1_crash
5,paper-3222,paper-3222_transient_collapse_failure_prediction_of_production_casing_after_packer_unsetting_in_high_pr.pdf,extraction_papers/paper-3222_transient_collapse_failure_prediction_of_production_casing_after_packer_unsetting_in_high_pr.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3222_transient_collapse_failure_prediction_of_production_casing_after_packer_unsetting_in_high_pr.pdf,hardlink,not_attempted_after_batch_1_crash
6,paper-3223,paper-3223_analysis_of_signals_from_air_conditioner_compressors_with_ordinal_patterns_and_machine_learn.pdf,extraction_papers/paper-3223_analysis_of_signals_from_air_conditioner_compressors_with_ordinal_patterns_and_machine_learn.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3223_analysis_of_signals_from_air_conditioner_compressors_with_ordinal_patterns_and_machine_learn.pdf,hardlink,not_attempted_after_batch_1_crash
7,paper-3224,paper-3224_a_novel_method_for_online_diagnosis_of_the_aging_state_of_high_voltage_hv_cables_based_on_im.pdf,extraction_papers/paper-3224_a_novel_method_for_online_diagnosis_of_the_aging_state_of_high_voltage_hv_cables_based_on_im.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3224_a_novel_method_for_online_diagnosis_of_the_aging_state_of_high_voltage_hv_cables_based_on_im.pdf,hardlink,not_attempted_after_batch_1_crash
8,paper-3227,paper-3227_condition_assessment_and_predictive_maintenance_for_contact_probe_using_health_index_and_enc.pdf,extraction_papers/paper-3227_condition_assessment_and_predictive_maintenance_for_contact_probe_using_health_index_and_enc.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3227_condition_assessment_and_predictive_maintenance_for_contact_probe_using_health_index_and_enc.pdf,hardlink,not_attempted_after_batch_1_crash
9,paper-3229,paper-3229_transmissibility_based_methods_for_damage_identification_on_a_railway_bogie_frame.pdf,extraction_papers/paper-3229_transmissibility_based_methods_for_damage_identification_on_a_railway_bogie_frame.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3229_transmissibility_based_methods_for_damage_identification_on_a_railway_bogie_frame.pdf,hardlink,not_attempted_after_batch_1_crash
10,paper-3232,paper-3232_tool_condition_monitoring_model_based_on_dae_svr.pdf,extraction_papers/paper-3232_tool_condition_monitoring_model_based_on_dae_svr.pdf,extraction_papers/ontocast_runs/run_retry_failed_106_gpt-5.6-luna_20260725_220000/input/paper-3232_tool_condition_monitoring_model_based_on_dae_svr.pdf,hardlink,not_attempted_after_batch_1_crash
