corpus_id,old_decision,new_decision,civil_reason_category,mapped_screening_reason_category,civil_confidence,civil_notes,Title,DOI,Source title
paper-0011,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge structure condition assessment,Accurate assessment technology of BIM bridge structure status using spatiotemporal transformation graph neural network,10.1007/s43926-026-00321-x,Discover Internet of Things
paper-0043,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pothole pavement monitoring,3D vision and depth sensing for intelligent pothole detection using time-of-flight imaging,10.1016/j.measen.2026.102002,Measurement: Sensors
paper-0045,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road surface classification,IDRRS: IOT INERTIAL DEVICE FOR REAL-TIME ROAD SURFACE CLASSIFICATION AND POSITION ESTIMATION ENHANCEMENT; [IDRRS: ИНЕРЦИАЛЬНОЕ ИОТ-УСТРОЙСТВО ДЛЯ КЛАССИФИКАЦИИ ДОРОЖНОГО ПОКРЫТИЯ В РЕЖИМЕ РЕАЛЬНОГО ВРЕМЕНИ И ПОВЫШЕНИЯ ТОЧНОСТИ ОЦЕНКИ МЕСТОПОЛОЖЕНИЯ],10.15622/ia.25.2.7,Informatics and Automation
paper-0074,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track irregularity monitoring,An approach based on a single bogie-mounted sensor for estimating track vertical irregularity from in-service railway vehicles,10.1016/j.advengsoft.2026.104209,Advances in Engineering Software
paper-0132,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,wharf pile structural monitoring,Field-Validated Digital Twin–Enabled Structural Health Monitoring for Offshore High-Pile Wharves,10.70917/fce-2026-010,Future Cities and Environment
paper-0151,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,reinforced concrete maintenance modeling,Effect of uncertainty in calibrated chloride diffusion coefficients on maintenance and life-cycle decisions of reinforced concrete structures,10.1016/j.cemconcomp.2026.106552,Cement and Concrete Composites
paper-0156,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge damage detection,Optimal reduced-order model for Vehicle-Bridge Interaction and bridge damage detection using model based SHM-ML techniques,10.1016/j.ymssp.2026.114188,Mechanical Systems and Signal Processing
paper-0186,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge damage mapping,Automated bridge damage mapping from UAV imagery slicing with BIM-based enrichment,10.1016/j.engstruct.2026.122909,Engineering Structures
paper-0202,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,civil structural condition assessment,Automated damage identification for condition monitoring using short and time-varying structural responses,10.1007/s13349-025-01064-z,Journal of Civil Structural Health Monitoring
paper-0225,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,civil structure crack detection,Advanced Hybrid Transformer–CNN Vision Framework for Automated Crack Detection to Enhance Structural Condition Assessment of Civil Structures,10.3390/app16094549,Applied Sciences (Switzerland)
paper-0240,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,concrete rail track slab fatigue,Physics-guided GNN-transformer model for multi-scale fatigue life prediction of concrete track slabs in high-speed railways,10.1038/s41598-026-37173-y,Scientific Reports
paper-0241,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,reinforced concrete cracking,A transfer learning approach to predict corrosion-induced concrete cracking based on steel weight loss distributions,10.1016/j.strusafe.2025.102684,Structural Safety
paper-0242,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,high-speed rail track defects,Research on multi-stage on-board detection algorithm of track defects of high-speed railway based on the influence mechanism of track defects,10.1038/s41598-025-34483-5,Scientific Reports
paper-0294,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,urban road crack detection,Urban road surface crack detection based on U-net and ResNeXt network,10.1371/journal.pone.0347145,PLOS ONE
paper-0295,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway ballast defect detection,Research on the Application of Time-Frequency Characteristics of GPR in Railway Mud Pumping Intelligent Detection,10.3390/rs18091393,Remote Sensing
paper-0299,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,steel railway bridge fatigue,Direct estimation of fatigue stress spectra from bridge vibration signals using an attention-enhanced convolutional neural network,10.1016/j.engstruct.2026.122514,Engineering Structures
paper-0310,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road damage classification,COMPARATIVE EVALUATION OF CNN ARCHITECTURES FOR ROAD DAMAGE CLASSIFICATION USING DIGITAL IMAGES IN SLEMAN REGENCY,10.30598/barekengvol20iss3pp2681-2692,Barekeng
paper-0318,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,urban water network leakage monitoring,Urban Water Leakage Detection System over Dark Fiber Networks Based on Distributed Acoustic Sensing and Sparse Autoencoders,10.3390/s26072152,Sensors
paper-0362,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,mine haul road condition monitoring,A Hybrid Physics-Based and AI-Enabled Framework for Mine Road Infrastructure Maintenance Using Inertial Sensors,10.3390/su18094402,Sustainability (Switzerland)
paper-0382,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,RC structure corrosion prediction,Multimodal NDT-integrated neural network with cGAN augmentation for predicting reinforcement corrosion in RC structures,10.1016/j.conbuildmat.2026.146058,Construction and Building Materials
paper-0395,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road surface condition monitoring,Development and Validation of a Cloud-Based Road Surface Condition Monitoring Framework using Citizen-Sourced Smartphone Sensor Data in the Philippines,10.5815/ijem.2026.02.13,International Journal of Engineering and Manufacturing
paper-0399,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement condition monitoring,"Design and laboratory evaluation of a low-cost, portable sensor-based system for pavement condition monitoring",10.1016/j.rineng.2026.110155,Results in Engineering
paper-0417,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,generic SHM data recovery,Spectrally normalised Wasserstein generative adversarial imputation framework for multi-modal SHM data recovery in digital-twin systems,10.1016/j.aei.2026.104734,Advanced Engineering Informatics
paper-0470,included,excluded,other_nonmaintenance,other_nonmaintenance,medium,generic active digital twin method,Active digital twins via active inference,10.1016/j.engappai.2026.114519,Engineering Applications of Artificial Intelligence
paper-0472,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,track geometry degradation,Bayesian multivariate track geometry degradation modeling and its use in condition-based inspection,10.1007/s40534-025-00394-4,Railway Engineering Science
paper-0485,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,railway network fault prediction,Automated prognostics and diagnostics of highspeed railway faults using machine learning approaches,10.1016/j.treng.2026.100438,Transportation Engineering
paper-0490,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,mine shaft structural maintenance,"Development of a predictive, risk-based model to assess the effects of maintenance decisions on vertical mine shaft structures",10.1016/j.tust.2026.107481,Tunnelling and Underground Space Technology
paper-0535,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge digital twin SHM,A demonstration of a digital twin framework for structural health monitoring: Application to bridge infrastructures,10.1016/j.iintel.2025.100184,Journal of Infrastructure Intelligence and Resilience
paper-0556,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail surface contaminant detection,Detecting Rail Surface Contaminants Using a Combined Short-Time Fourier Transform and Convolutional Neural Network Approach,10.3390/modelling7010035,Modelling
paper-0564,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track fault classification,Railway Track Fault Classification for Predictive Maintenance Using Deep Learning Algorithms Based on a 2D Train-Track-Bridge Interaction Model,10.1049/itr2.70191,IET Intelligent Transport Systems
