batch_index,corpus_id,filename,source_path,staged_path
1,paper-0001,paper-0001_decision_aware_multi_horizon_fault_prediction_for_photovoltaic_inverters_analysis_of_thresho.pdf,extraction_papers/paper-0001_decision_aware_multi_horizon_fault_prediction_for_photovoltaic_inverters_analysis_of_thresho.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0001_decision_aware_multi_horizon_fault_prediction_for_photovoltaic_inverters_analysis_of_thresho.pdf
2,paper-0004,paper-0004_a_novel_global_health_index_framework_for_asset_prognostics_and_health_management_in_the_oil.pdf,extraction_papers/paper-0004_a_novel_global_health_index_framework_for_asset_prognostics_and_health_management_in_the_oil.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0004_a_novel_global_health_index_framework_for_asset_prognostics_and_health_management_in_the_oil.pdf
3,paper-0005,paper-0005_material_adaptive_kurtosis_thresholding_for_real_time_multi_parameter_condition_monitoring_i.pdf,extraction_papers/paper-0005_material_adaptive_kurtosis_thresholding_for_real_time_multi_parameter_condition_monitoring_i.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0005_material_adaptive_kurtosis_thresholding_for_real_time_multi_parameter_condition_monitoring_i.pdf
4,paper-0007,paper-0007_predicting_the_remaining_useful_life_of_ship_shafting_using_bayesian_networks_with_asymmetri.pdf,extraction_papers/paper-0007_predicting_the_remaining_useful_life_of_ship_shafting_using_bayesian_networks_with_asymmetri.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0007_predicting_the_remaining_useful_life_of_ship_shafting_using_bayesian_networks_with_asymmetri.pdf
5,paper-0012,paper-0012_predictive_maintenance_of_railway_suspension_systems_using_multi_level_time_frequency_vibrat.pdf,extraction_papers/paper-0012_predictive_maintenance_of_railway_suspension_systems_using_multi_level_time_frequency_vibrat.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0012_predictive_maintenance_of_railway_suspension_systems_using_multi_level_time_frequency_vibrat.pdf
6,paper-0015,paper-0015_correlating_fouling_corrosion_in_naval_steels_with_magnetic_barkhausen_noise_under_real_mari.pdf,extraction_papers/paper-0015_correlating_fouling_corrosion_in_naval_steels_with_magnetic_barkhausen_noise_under_real_mari.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0015_correlating_fouling_corrosion_in_naval_steels_with_magnetic_barkhausen_noise_under_real_mari.pdf
7,paper-0019,paper-0019_ai_driven_system_for_enhancing_consumer_electronics_through_maintenance_personalization_and.pdf,extraction_papers/paper-0019_ai_driven_system_for_enhancing_consumer_electronics_through_maintenance_personalization_and.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0019_ai_driven_system_for_enhancing_consumer_electronics_through_maintenance_personalization_and.pdf
8,paper-0021,paper-0021_tool_health_digital_twin_for_cnc_predictive_maintenance_via_innovation_adaptive_sensor_fusio.pdf,extraction_papers/paper-0021_tool_health_digital_twin_for_cnc_predictive_maintenance_via_innovation_adaptive_sensor_fusio.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0021_tool_health_digital_twin_for_cnc_predictive_maintenance_via_innovation_adaptive_sensor_fusio.pdf
9,paper-0023,paper-0023_magnetostriction_of_silicon_steel_sheets_and_its_application_in_predicting_dc_bias.pdf,extraction_papers/paper-0023_magnetostriction_of_silicon_steel_sheets_and_its_application_in_predicting_dc_bias.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0023_magnetostriction_of_silicon_steel_sheets_and_its_application_in_predicting_dc_bias.pdf
10,paper-0024,paper-0024_an_edge_enabled_predictive_maintenance_approach_based_on_anomaly_driven_health_indicators_fo.pdf,extraction_papers/paper-0024_an_edge_enabled_predictive_maintenance_approach_based_on_anomaly_driven_health_indicators_fo.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0024_an_edge_enabled_predictive_maintenance_approach_based_on_anomaly_driven_health_indicators_fo.pdf
