query_index,facts_file,raw_parse_expected_to_fail_due_rdfstar,rdfstar_reification_blocks_removed,triples_after_cleanup,invalid_typed_literals,opmad_canonical_uri_occurrences,opmad_seed_uri_occurrences
1,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_007742b6c86c.ttl,True,196,211,0,0,42
2,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_021ea55a70f1.ttl,True,159,174,1,0,46
3,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_046ebc06c607.ttl,True,195,212,1,0,36
4,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_051f27a6a164.ttl,True,153,168,0,0,83
5,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_08d54e2673f7.ttl,True,81,96,1,0,43
6,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_098cb9c7ac60.ttl,True,153,168,0,0,64
7,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0d538c41d5c9.ttl,True,114,130,0,0,52
8,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0e5bc1020e80.ttl,True,229,246,2,0,53
9,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1015dc489115.ttl,True,180,198,0,0,30
10,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_13663772d3a7.ttl,True,138,154,0,0,56
11,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_14cabde81b60.ttl,True,176,191,0,0,44
12,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1a71ce029db3.ttl,True,222,238,0,0,30
13,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1f647e26aadf.ttl,True,148,164,0,0,60
14,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22144ece04a0.ttl,True,174,191,0,0,68
15,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22483bb7fa86.ttl,True,159,175,0,0,87
16,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_247755c3ba72.ttl,True,102,118,0,0,45
17,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_29441e0fc052.ttl,True,145,161,0,0,94
18,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_30b468dfe762.ttl,True,172,187,0,0,58
19,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_32c353e565f9.ttl,True,160,175,0,0,0
20,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_36823d5c6b0e.ttl,True,254,269,0,0,49
21,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_369f47a9c5e1.ttl,True,183,199,0,0,60
22,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_37204455217d.ttl,True,161,178,0,0,67
23,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_374ab1994bf9.ttl,True,268,284,0,0,51
24,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3945d25e6654.ttl,True,112,128,0,0,51
25,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_39a966494a3b.ttl,True,126,142,0,0,40
26,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3a301111e1fe.ttl,True,108,124,0,0,33
27,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_40a36423982c.ttl,True,155,170,0,0,68
28,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4660ee2adb7e.ttl,True,226,241,0,0,77
29,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4abf47988e1b.ttl,True,142,157,0,0,22
30,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4b28dc65fe44.ttl,True,140,155,0,0,32
31,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4ef590c98f1b.ttl,True,193,208,0,0,74
32,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5250ed7e7ce4.ttl,True,167,182,0,0,57
33,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_550b300f2513.ttl,True,225,240,0,0,0
34,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55a5963df187.ttl,True,135,150,0,0,49
35,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55e23d1ad9f5.ttl,True,147,162,0,0,73
36,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5d3461a99457.ttl,True,277,295,0,0,64
37,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5dec38f8cc66.ttl,True,153,168,0,0,72
38,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f139e146360.ttl,True,286,301,0,0,0
39,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f2bc68116b8.ttl,True,194,210,0,0,59
40,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_623ac38deaa2.ttl,True,109,125,0,0,58
41,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_6269de1ae371.ttl,True,156,172,0,0,46
42,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_64dc30950f8c.ttl,True,130,145,0,0,47
43,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_6e7c4f90a8d7.ttl,True,181,197,0,0,55
44,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_73e4a95e45ca.ttl,True,183,198,0,0,39
45,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_772695bf4051.ttl,True,185,200,0,0,64
46,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7893f607735e.ttl,True,177,192,0,16,50
47,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7e8b13361693.ttl,True,159,174,0,0,33
48,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7ecb8b8f68bb.ttl,True,187,204,0,0,62
49,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7f3c89f45832.ttl,True,121,136,0,0,62
50,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8068c91cfcfb.ttl,True,233,248,1,0,0
51,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8477986e81ed.ttl,True,167,182,0,0,57
52,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8a2e7a6c3819.ttl,True,311,326,0,0,103
53,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8bb32487bd90.ttl,True,332,347,6,0,0
54,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8c97841ffeb0.ttl,True,159,174,1,0,57
55,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8d2f5e129936.ttl,True,203,220,0,0,42
56,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8d8a5b72c774.ttl,True,172,189,1,0,45
57,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8ff4d31a1511.ttl,True,152,168,0,0,26
58,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_93799b400c86.ttl,True,213,228,0,0,47
59,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9a39f3592864.ttl,True,107,122,0,0,52
60,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9b451b7f7ee0.ttl,True,125,140,0,0,46
61,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9b53e6caba2d.ttl,True,100,116,0,0,60
62,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a012354ab36b.ttl,True,127,143,0,0,60
63,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a258a3b603ad.ttl,True,180,198,0,0,59
64,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a933cf332592.ttl,True,132,146,0,0,46
65,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_aca7906e2b63.ttl,True,132,149,0,0,56
66,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_b594a9ee5cb2.ttl,True,276,291,0,0,0
67,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_b60ff608bd4b.ttl,True,144,159,0,0,36
68,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ba25cb3a823e.ttl,True,199,218,0,0,21
69,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_bac0845f495f.ttl,True,178,194,0,0,49
70,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_be7e6c23b016.ttl,True,240,255,0,0,0
71,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c27ab4671a29.ttl,True,99,116,0,0,45
72,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c6db65a6433b.ttl,True,151,166,0,0,63
73,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c72bcc7ff5df.ttl,True,140,155,1,0,25
74,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c755cd0572dd.ttl,True,253,272,0,0,57
75,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c7f80acd8249.ttl,True,226,241,0,0,0
76,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c8939242503a.ttl,True,147,163,0,0,81
77,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_cb41385fe115.ttl,True,230,245,0,0,56
78,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ccf62781b4c5.ttl,True,244,262,0,0,73
79,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_cfc179a146da.ttl,True,186,201,0,0,43
80,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_d8bff7381708.ttl,True,171,187,0,0,56
81,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_db4c696f6545.ttl,True,207,224,0,0,60
