batch_index,corpus_id,source_pdf,facts_file,status
1,paper-0269,extraction_papers/paper-0269_service_oriented_architecture_for_decision_support_in_industrial_life_cycle_management_desig.pdf,facts_7927f1f673b8.ttl,extracted
2,paper-0273,extraction_papers/paper-0273_physics_enhanced_orthogonal_sensing_for_self_supervised_anomaly_detection_in_rolling_mills.pdf,facts_d17d87c3a3eb.ttl,extracted
3,paper-0280,extraction_papers/paper-0280_early_fault_detection_in_gearboxes_via_dynamic_principal_component_analysis_driven_multivari.pdf,facts_ac94a4053e5f.ttl,extracted
4,paper-0284,extraction_papers/paper-0284_explainable_machine_learning_for_incipient_anomaly_detection_in_compact_molten_salt_heat_exc.pdf,facts_06c8822b55d2.ttl,extracted
5,paper-0287,extraction_papers/paper-0287_shap_driven_fractional_long_range_model_for_degradation_trend_prediction_of_proton_exchange.pdf,facts_4296efeaf057.ttl,extracted
6,paper-0289,extraction_papers/paper-0289_mechaforge_a_multi_strategy_time_series_synthesis_framework_for_intelligent_fault_diagnosis.pdf,facts_e8d1b9b021c6.ttl,extracted
7,paper-0302,extraction_papers/paper-0302_dban_net_a_dual_branch_attention_network_for_acoustic_fault_detection_in_electrical_power_eq.pdf,facts_359c9220d540.ttl,extracted
8,paper-0305,extraction_papers/paper-0305_machine_learning_applications_in_predictive_maintenance_data_balancing_and_feature_selection.pdf,facts_3e0ce37a59da.ttl,extracted
9,paper-0306,extraction_papers/paper-0306_development_and_practical_application_of_condition_monitoring_system_for_ultra_high_voltage.pdf,facts_0565684ca025.ttl,extracted
10,paper-0307,extraction_papers/paper-0307_an_rl_guided_hybrid_forecasting_framework_for_aircraft_engine_rul_and_performance_emission_p.pdf,facts_3ccee18dcf6a.ttl,extracted
11,paper-0313,extraction_papers/paper-0313_optimizing_charge_discharge_cycles_using_qpponet_enabled_hybrid_learning_framework_for_energ.pdf,facts_fb83d9a66daa.ttl,extracted
12,paper-0315,extraction_papers/paper-0315_value_of_information_based_assessment_of_strain_based_thickness_loss_monitoring_in_ship_hull.pdf,facts_c0d21534f79d.ttl,extracted
13,paper-0319,extraction_papers/paper-0319_condition_diagnostics_of_marine_centrifugal_pumps_based_on_blade_passing_frequency_harmonics.pdf,facts_21bd9d788c78.ttl,extracted
14,paper-0320,extraction_papers/paper-0320_gpcn_a_decomposition_based_hybrid_model_for_a_lithium_ion_capacity_forecasting_and_rul_infer.pdf,facts_f29d09158cf0.ttl,extracted
15,paper-0324,extraction_papers/paper-0324_rul_estimation_of_rolling_element_bearings_using_a_hybrid_wavelet_packet_decomposition_recur.pdf,facts_b47b20ea7c9c.ttl,extracted
16,paper-0326,extraction_papers/paper-0326_genetic_algorithm_based_series_parallel_mode_narx_model_gabpm_narx_for_remaining_useful_life.pdf,facts_a3194078c97a.ttl,extracted
17,paper-0330,extraction_papers/paper-0330_a_simulation_study_on_wear_monitoring_and_prognosis_in_electro_mechanical_brakes_for_a_small.pdf,facts_a184b5b27a7f.ttl,extracted
18,paper-0331,extraction_papers/paper-0331_a_lightweight_1d_cnn_transformer_for_bearing_fault_diagnosis_under_limited_data_and_awgn_int.pdf,facts_541c334faec8.ttl,extracted
19,paper-0333,extraction_papers/paper-0333_a_machine_learning_framework_for_long_term_forecasting_of_spare_part_demand_in_end_of_life_p.pdf,facts_8cc33107cf16.ttl,duplicate_source_content
20,paper-0337,extraction_papers/paper-0337_active_sensing_based_prognostics_for_impacted_cfrp_structures_under_compressive_fatigue_load.pdf,facts_74b3bb0b5533.ttl,extracted
21,paper-0339,extraction_papers/paper-0339_novel_fault_diagnosis_technology_based_on_integrated_spectral_kurtosis_for_gearboxes.pdf,facts_5916ba4e485a.ttl,extracted
22,paper-0340,extraction_papers/paper-0340_hybrid_fault_prognosis_using_health_index_fusion.pdf,facts_524e1be52051.ttl,extracted
23,paper-0343,extraction_papers/paper-0343_identification_model_of_distribution_equipment_insulation_aging_enhancement_based_on_scada_k.pdf,facts_b069352153b8.ttl,extracted
24,paper-0346,extraction_papers/paper-0346_a_unified_framework_combining_tsa_cwt_sk_vmd_and_transformers_for_multi_label_gearbox_diagno.pdf,facts_db4017381234.ttl,extracted
25,paper-0347,extraction_papers/paper-0347_construction_and_research_of_a_data_driven_model_for_early_fault_detection_in_rotating_machi.pdf,facts_4b85cdf3b014.ttl,extracted
