normalized_signature,normalized_task,normalized_case_study_type,normalized_case_study,normalized_online_offline,normalized_input_for_model,normalized_input_type,count
one step future state forecast |  |  |  |  | ,one step future state forecast,,,,,,51
fault detection |  |  |  |  | ,fault detection,,,,,,34
remaining useful life estimation |  |  |  |  | ,remaining useful life estimation,,,,,,16
health assessment |  |  |  |  | ,health assessment,,,,,,14
remaining useful life estimation |  | lithium-ion battery |  |  | ,remaining useful life estimation,,lithium-ion battery,,,,6
fault identification |  |  |  |  | ,fault identification,,,,,,4
fault detection |  | power grid |  |  | ,fault detection,,power grid,,,,3
fault detection |  | wind turbine |  |  | ,fault detection,,wind turbine,,,,3
fault detection |  | bearing |  |  | ,fault detection,,bearing,,,,3
fault detection |  | equipment |  |  | ,fault detection,,equipment,,,,3
remaining useful life estimation |  | battery |  |  | ,remaining useful life estimation,,battery,,,,3
fault detection |  | gear |  |  | ,fault detection,,gear,,,,2
fault detection |  | rotating machinery |  |  | ,fault detection,,rotating machinery,,,,2
fault detection |  | power transformer |  |  | ,fault detection,,power transformer,,,,2
fault detection |  | bearings |  |  | ,fault detection,,bearings,,,,2
fault detection |  | insulator |  |  | ,fault detection,,insulator,,,,2
fault detection |  | bearing |  |  | pressure,fault detection,,bearing,,,pressure,2
health assessment |  | equipment |  |  | ,health assessment,,equipment,,,,2
one step future state forecast |  | equipment |  |  | ,one step future state forecast,,equipment,,,,2
"remaining useful life estimation |  | turbine engine |  |  | c-mapss, sensor data",remaining useful life estimation,,turbine engine,,,"c-mapss, sensor data",1
"remaining useful life estimation |  | turbine engine |  |  | factsconcept1, acoustic signal, grayscale image, resulting vector",remaining useful life estimation,,turbine engine,,,"factsconcept1, acoustic signal, grayscale image, resulting vector",1
remaining useful life estimation |  | turbofan engine |  |  | ,remaining useful life estimation,,turbofan engine,,,,1
"remaining useful life estimation |  | turbofan engine |  |  | equipment health state, sensor data",remaining useful life estimation,,turbofan engine,,,"equipment health state, sensor data",1
"remaining useful life estimation |  | turbofan engine |  |  | factsperformance3_2, sensor 11",remaining useful life estimation,,turbofan engine,,,"factsperformance3_2, sensor 11",1
remaining useful life estimation |  | uav bldc motor |  |  | ,remaining useful life estimation,,uav bldc motor,,,,1
"remaining useful life estimation |  | uav lithium-ion battery |  |  | discharge c-rate (experimental range), humidity level (experimental range), wind speed (experimental range), factstemplow",remaining useful life estimation,,uav lithium-ion battery,,,"discharge c-rate (experimental range), humidity level (experimental range), wind speed (experimental range), factstemplow",1
remaining useful life estimation |  | unmanned aerial vehicle |  |  | ,remaining useful life estimation,,unmanned aerial vehicle,,,,1
"remaining useful life estimation |  | vehicles |  |  | factscandata, co2 emissions, consumption variables, dangerous cornering at speeds over 110 km/h, frequency of the vehicle's entries into service, fuel consumption efficiency, intervention frequency, maintenance costs, number of aggressive starts, number of incidents associated with dangerous speeds, predictors, time spent driving over 110 km/h, total distance traveled in kilometers, unsafe braking at speeds over 110 km/h, vehicle lifespan",remaining useful life estimation,,vehicles,,,"factscandata, co2 emissions, consumption variables, dangerous cornering at speeds over 110 km/h, frequency of the vehicle's entries into service, fuel consumption efficiency, intervention frequency, maintenance costs, number of aggressive starts, number of incidents associated with dangerous speeds, predictors, time spent driving over 110 km/h, total distance traveled in kilometers, unsafe braking at speeds over 110 km/h, vehicle lifespan",1
"remaining useful life estimation |  | vibration modes |  |  | multi-scale feature fusion, channel attention mechanisms, residual connections, complex machining environments, external disturbances, instability at boundaries, large oscillations, vibration modes, rul, intrinsic mode functions",remaining useful life estimation,,vibration modes,,,"multi-scale feature fusion, channel attention mechanisms, residual connections, complex machining environments, external disturbances, instability at boundaries, large oscillations, vibration modes, rul, intrinsic mode functions",1
"remaining useful life estimation |  | wheat combine harvester |  |  | factscuttingwidth, intelligent yield prediction model",remaining useful life estimation,,wheat combine harvester,,,"factscuttingwidth, intelligent yield prediction model",1
